,公司代號,公司名稱,發言日期,發言時間,主旨
0,3024,憶聲,104/01/16,11:17:09,工商時報B3版報導說明
1,3024,憶聲,104/01/28,19:10:12,公告本公司103年12月底自結合併財務報表高流動資產、短期借款 及一年內到期之長期負債金額等財務資訊
2,3024,憶聲,104/02/13,18:22:55,公告本公司董事會重大決議
3,3024,憶聲,104/02/13,18:29:03,本公司資金貸與情形公告
4,3024,憶聲,104/02/13,18:35:36,本公司背書保證情形公告
5,3024,憶聲,104/02/26,16:09:12,公告本公司104年01月底自結合併財務報表高流動資產、短期借款 及一年內到期之長期負債金額等財務資訊
6,3024,憶聲,104/02/27,19:58:01,代子公司Action Asia Limited公告董事會重大決議。
7,3024,憶聲,104/02/27,20:50:01,代子公司ALMOND GARDEN CORP.公告董事會決議投資案
8,3024,憶聲,104/03/02,10:45:08,工商時報B3版報導說明
9,3024,憶聲,104/03/25,18:55:43,代重要子公司公告董事會重大決議
10,3024,憶聲,104/03/26,18:03:09,公告本公司董事會重大決議
11,3024,憶聲,104/03/26,18:06:58,公告本公司董事會決議104年股東常會相關事宜
12,3024,憶聲,104/03/26,18:28:39,公告本公司董事會決議103年度不分配股利
13,3024,憶聲,104/03/26,18:46:15,本公司資金貸與情形公告
14,3024,憶聲,104/03/31,10:22:41,公告本公司104年02月底自結合併財務報表高流動資產、短期借款 及一年內到期之長期負債金額等財務資訊
15,3024,憶聲,104/04/13,15:14:17,公告本公司代理發言人、財務主管、會計主管異動
16,3024,憶聲,104/04/15,13:45:51,更正本公司104年3月資金貸與資訊揭露明細表
17,3024,憶聲,104/04/16,17:05:12,代子公司ASD ELECTRONICS LIMITED公告資金貸與情形
18,3024,憶聲,104/04/30,17:31:28,公告本公司104年03月底自結合併財務報表高流動資產、短期借款 及一年內到期之長期負債金額等財務資訊
19,3024,憶聲,104/05/12,19:24:08,公告本公司董事會重大決議
20,3024,憶聲,104/05/12,19:29:14,公告本公司於104年會計年度開始日後變動會計估計事項
21,3024,憶聲,104/05/12,19:35:03,公告本公司代理發言人、財務主管、會計主管異動
22,3024,憶聲,104/05/12,19:39:15,補充公告本公司董事會決議104年股東常會相關事宜
23,3024,憶聲,104/05/29,17:47:09,公告本公司104年04月底自結合併財務報表高流動資產、短期借款 及一年內到期之長期負債金額等財務資訊
24,3024,憶聲,104/06/26,17:51:15,公告本公司104年05月底自結合併財務報表高流動資產、短期借款 及一年內到期之長期負債金額等財務資訊
25,3024,憶聲,104/06/30,16:23:48,公告本公司股東會重大決議
26,3024,憶聲,104/07/08,18:45:29,代子公司Action Asia Limited公告
27,3024,憶聲,104/07/27,14:30:26,公告補正本公司103年度年報部分內容。
28,3024,憶聲,104/07/30,16:51:50,公告本公司104年06月底自結合併財務報表高流動資產、短期借款 及一年內到期之長期負債金額等財務資訊
29,3024,憶聲,104/08/01,09:48:11,代子公司Action Asia Limited公告臨時股東會決議
30,3024,憶聲,104/08/03,09:38:11,代子公司Action Asia Limited公告臨時股東會決議更正日期
31,3024,憶聲,104/08/12,18:19:09,公告本公司董事會重要決議。
32,3024,憶聲,104/08/12,18:30:36,公告本公司背書保證情形
33,3024,憶聲,104/08/12,18:31:37,公告本公司資金貸與情形
34,3024,憶聲,104/08/31,15:57:15,公告本公司104年07月底自結合併財務報表高流動資產、短期借款 及一年內到期之長期負債金額等財務資訊
35,3024,憶聲,104/09/25,16:17:13,代子公司倍適得電器(股)公司公告
36,3024,憶聲,104/09/30,12:55:14,公告本公司104年08月底自結合併財務報表高流動資產、短期借款 及一年內到期之長期負債金額等財務資訊
37,3024,憶聲,104/10/21,17:11:21,代子公司亞憶電子(深圳)有限公司法人代表董事異動公告
38,3024,憶聲,104/10/21,17:13:05,代子公司ASD ELECTONICS LTD法人代表董事異動公告
39,3024,憶聲,104/10/22,17:49:12,代子公司ASD ELECTORNICS LTD公告董事會重大決議
40,3024,憶聲,104/10/29,14:31:46,公告本公司104年09月底自結合併財務報表高流動資產、短期借款 及一年內到期之長期負債金額等財務資訊
41,3024,憶聲,104/11/04,18:17:20,代子公司公告董事會重要決議。
42,3024,憶聲,104/11/12,18:02:59,公告本公司財務主管、會計主管異動
43,3024,憶聲,104/11/12,18:10:22,公告本公司董事會重要決議。
44,3024,憶聲,104/11/12,18:19:24,公告本公司董事會決議註銷庫藏股暨訂定減資基準日
45,3024,憶聲,104/11/12,18:21:29,公告本公司總經理辭任
46,3024,憶聲,104/11/16,10:22:26,經濟日報C4版報導說明
47,3024,憶聲,104/11/27,18:26:58,公告本公司104年10月底自結合併財務報表高流動資產、短期借款 及一年內到期之長期負債金額等財務資訊
48,3024,憶聲,104/11/27,18:27:45,公告本公司總經理異動
49,3024,憶聲,104/12/31,17:18:53,公告本公司104年11月底自結合併財務報表高流動資產、短期借款 及一年內到期之長期負債金額等財務資訊
