,公司代號,公司名稱,發言日期,發言時間,主旨
0,3026,禾伸堂,101/03/16,17:14:24,本公司董事會決議發放股利
1,3026,禾伸堂,101/03/16,17:14:54,公司董事會決議召集101年股東常會
2,3026,禾伸堂,101/04/19,16:01:38,公告桃園縣政府裁處本公司違反水污染防治法罰鍰新台幣14萬元
3,3026,禾伸堂,101/05/16,13:34:34,澄清101/05/16工商時報B3版報導
4,3026,禾伸堂,101/06/05,15:51:14,本公司101年股東常會重要決議事項
5,3026,禾伸堂,101/06/05,15:51:36,本公司董事及監察人任期屆滿全面改選
6,3026,禾伸堂,101/06/05,15:52:02,本公司101年股東常會通過解除董事競業禁止之限制案
7,3026,禾伸堂,101/06/13,15:51:48,公告豪大雨對本公司財務及業務並無重大影響
8,3026,禾伸堂,101/06/15,16:24:33,董事會決議通過配息基準日
9,3026,禾伸堂,101/06/15,16:27:28,公告本公司第二屆「薪資報酬委員會」委員
10,3026,禾伸堂,101/07/25,14:59:43,調整本公司發行之國內第三次無擔保轉換公司債 (禾伸三，代號：30263)轉換價格
11,3026,禾伸堂,101/08/03,10:48:26,公告蘇拉颱風對本公司財務及業務並無重大影響
