,公司代號,公司名稱,發言日期,發言時間,主旨
0,3027,盛達,104/03/13,18:39:04,公告本公司董事會決議104年股東會相關事宜
1,3027,盛達,104/03/13,18:41:57,公告本公司董事會決議盈餘分配案
2,3027,盛達,104/03/13,18:42:29,公告本公司董事會決議盈餘轉增資發行新股
3,3027,盛達,104/06/02,13:54:55,公告本公司一O四年股東常會重要決議事項
4,3027,盛達,104/06/02,13:55:32,本公司股利分派經股東會決議有所變動
5,3027,盛達,104/06/02,13:56:04,公告本公司104年股東常會董事改選當選名單
6,3027,盛達,104/06/02,13:56:37,公告本公司104年股東常會監察人改選當選名單
7,3027,盛達,104/06/02,13:57:20,公告本公司104年股東常會獨立董事改選當選名單
8,3027,盛達,104/06/02,13:58:15,公告本公司董事會推選陳忠廷先生續任董事長
9,3027,盛達,104/06/02,13:58:41,公告本公司薪資報酬委員會委員任期屆滿
10,3027,盛達,104/06/02,14:00:04,本公司股東會通過解除新選任董事競業禁止之限制
11,3027,盛達,104/06/24,16:24:15,公告本公司新任代理發言人
12,3027,盛達,104/07/22,18:53:15,公告本公司董事會決議實施買回庫藏股
13,3027,盛達,104/08/13,18:33:02,公告本公司調整配股、配息率
14,3027,盛達,104/08/13,18:33:32,公告本公司董事會決議除息除權基準日
15,3027,盛達,104/08/25,16:37:47,公告本公司第三屆薪資報酬委員會委員名單
16,3027,盛達,104/09/22,17:19:16,公告本公司買回庫藏股執行期間已屆滿
17,3027,盛達,104/11/02,13:57:25,代子公司EG-Billion Company Limited公告處分私募基金 KF ASIA OPPORTUNITY FUND
18,3027,盛達,104/11/06,16:33:14,代子公司EG-Billion公告處分私募基金 KF ASIA OPP. FUND (補充說明104/11/2處分私募基金公告資訊）
