,公司代號,公司名稱,發言日期,發言時間,主旨
0,3028,增你強,106/03/21,18:46:46,公告本公司董事會決議召開106年股東常會相關事宜
1,3028,增你強,106/03/21,18:57:09,本公司董事會通過105年度個體財務報表及合併財務報表
2,3028,增你強,106/03/21,19:07:01,董事會決議股利分派
3,3028,增你強,106/03/21,19:16:44,公告本公司新增背書保證金額達新臺幣三千萬元以上 且達本公司最近期財務報表淨值百分之五以上
4,3028,增你強,106/03/21,19:21:20,公告本公司新增背書保證金額達新臺幣三千萬元以上 且達本公司最近期財務報表淨值百分之五以上
5,3028,增你強,106/03/21,19:27:05,公告本公司新增背書保證金額達新臺幣三千萬元以上 且達本公司最近期財務報表淨值百分之五以上
6,3028,增你強,106/03/21,19:29:23,公告本公司因會計師事務所內部調整更換簽證會計師
7,3028,增你強,106/05/12,18:07:05,公告本公司提報董事會106年第一季合併財務報表
8,3028,增你強,106/05/12,18:13:36,依公開發行公司資金貸與及背書保證處理準則 第二十二條第一項第二款及第三款公告
9,3028,增你強,106/05/12,18:19:09,公告本公司新增背書保證金額達新臺幣三千萬元以上 且達本公司最近期財務報表淨值百分之五以上
10,3028,增你強,106/06/13,16:59:04,公告本公司106年股東常會重要決議事項
11,3028,增你強,106/06/15,16:13:02,公告本公司106年除息基準日
12,3028,增你強,106/07/28,17:45:37,公告修正本公司105年度年報(股東會年報)部份內容
13,3028,增你強,106/08/11,18:16:02,公告本公司提報董事會106年第二季合併財務報表
14,3028,增你強,106/08/11,18:19:45,公告本公司總經理異動
15,3028,增你強,106/08/11,18:26:12,依公開發行公司資金貸與及背書保證處理準則 第二十二條第一項第三款公告
16,3028,增你強,106/08/11,18:30:46,公告本公司及子公司資金貸與餘額達處理準則第二十二條 第一項第一款標準
17,3028,增你強,106/08/11,18:36:11,公告本公司新增背書保證金額達新臺幣三千萬元以上 且達本公司最近期財務報表淨值百分之五以上
18,3028,增你強,106/09/01,17:51:47,公告本公司新任營運長
19,3028,增你強,106/11/07,18:35:03,公告本公司提報董事會106年第三季合併財務報表
20,3028,增你強,106/11/07,18:37:17,公告本公司內部稽核主管異動
21,3028,增你強,106/11/07,18:44:32,公告本公司新增背書保證金額達新臺幣三千萬元以上 且達本公司最近期財務報表淨值百分之五以上
22,3028,增你強,106/11/07,18:49:04,公告本公司新增背書保證金額達新臺幣三千萬元以上 且達本公司最近期財務報表淨值百分之五以上
