,公司代號,公司名稱,發言日期,發言時間,主旨
0,3030,德律,108/01/08,18:41:24,公告本公司截至107年12月份自行結算損益情形
1,3030,德律,108/02/14,17:59:53,公告本公司截至108年01月份自行結算損益情形
2,3030,德律,108/02/27,17:08:46,公告董事會決議召開108年股東常會相關事宜
3,3030,德律,108/02/27,17:09:17,公告本公司董事會決議107年度股利分派情形
4,3030,德律,108/03/08,16:28:52,公告本公司截至108年02月份自行結算損益情形
5,3030,德律,108/04/09,15:02:08,公告本公司截至108年03月份自行結算損益情形
6,3030,德律,108/05/03,16:45:30,本公司受邀參加中國信託證券舉辦之法人說明會
7,3030,德律,108/05/08,18:25:50,公告本公司截至108年04月份自行結算損益情形
8,3030,德律,108/05/08,18:36:31,公告本公司設置公司治理主管
9,3030,德律,108/05/29,13:33:11,公告本公司108年股東常會重要決議事項
10,3030,德律,108/05/29,13:33:59,公告本公司108年配息基準日
11,3030,德律,108/06/10,16:24:22,公告本公司截至108年05月份自行結算損益情形
12,3030,德律,108/06/14,15:41:38,係因本公司有價證券於集中市場達公布注意交易資訊標準， 故公布相關財務業務等重大訊息，以利投資人區別瞭解。
13,3030,德律,108/07/05,17:08:19,公告本公司截至108年06月份自行結算損益情形
14,3030,德律,108/08/07,16:57:09,公告本公司董事會決議 子公司TRI MALAYSIA SDN BHD 設立越南分公司
15,3030,德律,108/08/07,16:57:39,公告本公司截至108年07月份自行結算損益情形
16,3030,德律,108/09/06,15:18:15,公告本公司截至108年08月份自行結算損益情形
17,3030,德律,108/10/04,16:21:04,公告本公司截至108年09月份自行結算損益情形
18,3030,德律,108/10/31,14:55:23,本公司受邀參加中國信託證券舉辦之法人說明會
19,3030,德律,108/11/07,15:39:32,公告本公司截至108年10月份自行結算損益情形
20,3030,德律,108/11/08,13:36:15,說明媒體報導本公司前高階主管搬走 FCT生產線搶訂單16人遭起訴乙案
21,3030,德律,108/12/06,15:19:31,公告本公司截至108年11月份自行結算損益情形
