,公司代號,公司名稱,發言日期,發言時間,主旨
0,3031,佰鴻,106/01/03,16:38:58,公告本公司買回庫藏股數量累積達已發行股份總數百分之四
1,3031,佰鴻,106/01/10,14:46:15,公告本公司買回庫藏股執行期間屆滿及執行情形
2,3031,佰鴻,106/01/16,14:21:10,公告本公司內部稽核主管異動
3,3031,佰鴻,106/03/07,16:38:21,公告本公司董事會決議通過變更買回股份之目的
4,3031,佰鴻,106/03/07,16:38:48,公告本公司董事會通過內部稽核主管任命案
5,3031,佰鴻,106/03/21,16:19:04,本公司因有價證券於集中交易市場達公布注意交易資訊標 準而公布相關財務業務訊息供投資人區別瞭解
6,3031,佰鴻,106/03/23,16:09:27,公告本公司董事會決議股利分派
7,3031,佰鴻,106/03/23,16:09:58,公告本公司董事會決議註銷庫藏股及減資基準日
8,3031,佰鴻,106/03/23,16:10:40,公告本公司董事會決議召開股東會相關事宜
9,3031,佰鴻,106/03/24,14:41:09,補充公告本公司董事會決議註銷庫藏股之減資基準日
10,3031,佰鴻,106/05/08,17:34:05,公告本公司辦理庫藏股註銷減資變更登記完成
11,3031,佰鴻,106/05/16,16:15:07,代重要孫公司高輝光電科技(股)公司公告董事異動
12,3031,佰鴻,106/06/07,19:39:16,公告本公司召開法人說明會之相關資訊
13,3031,佰鴻,106/06/12,10:26:01,說明媒體報導
14,3031,佰鴻,106/06/13,13:12:24,公告本公司106年股東常會重要決議事項
15,3031,佰鴻,106/06/29,17:23:45,公告本公司董事會決議配息基準日
16,3031,佰鴻,106/06/30,14:49:19,公告本公司法人監察人代表人異動
17,3031,佰鴻,106/07/19,15:47:53,本公司被刊登政府採購公報之說明
18,3031,佰鴻,106/10/20,15:04:48,公告本公司內部稽核主管異動
19,3031,佰鴻,106/11/09,17:43:16,公告本公司董事會通過內部稽核主管任命案
