,公司代號,公司名稱,發言日期,發言時間,主旨
0,3031,佰鴻,107/03/19,18:08:16,公告本公司董事會決議股利分派
1,3031,佰鴻,107/03/19,18:08:48,公告本公司董事會決議召開股東會相關事宜
2,3031,佰鴻,107/03/22,11:39:20,澄清媒體報導
3,3031,佰鴻,107/05/14,17:14:42,代重要孫公司高輝光電科技(股)公司公告董監事改選
4,3031,佰鴻,107/05/14,17:50:24,代重要孫公司高輝光電科技(股)公司公告董監事改選-更正 新任生效日期
5,3031,佰鴻,107/06/08,14:41:25,公告本公司107年股東常會重要決議事項
6,3031,佰鴻,107/06/08,14:41:52,公告本公司董事會決議配息基準日
7,3031,佰鴻,107/06/08,14:42:18,公告本公司內部稽核主管異動
8,3031,佰鴻,107/07/31,13:43:14,公告本公司代理發言人異動
9,3031,佰鴻,107/07/31,13:46:46,公告本公司法人董事代表人異動
10,3031,佰鴻,107/07/31,13:47:29,公告本公司發言人異動
11,3031,佰鴻,107/12/03,17:56:06,公告本公司召開法說會相關訊息
