,公司代號,公司名稱,發言日期,發言時間,主旨
0,3032,偉訓,103/01/08,16:07:52,係因本公司有價證券於集中交易達公佈注意交易資訊標準， 故公布相關財務業務等重大訊息，以利投資人區別暸解。
1,3032,偉訓,103/01/09,15:38:27,公告本公司102年12月份自結合併營業收入
2,3032,偉訓,103/01/27,10:09:15,澄清媒體有關本公司增值利益報導。
3,3032,偉訓,103/02/05,16:37:21,公告本公司發言人異動。
4,3032,偉訓,103/02/10,14:51:13,公告本公司103年1月份自結合併營業收入
5,3032,偉訓,103/02/11,15:38:09,澄清媒體有關本公司增值利益報導。
6,3032,偉訓,103/03/10,16:27:41,公告本公司103年2月份自結合併營業收入
7,3032,偉訓,103/03/26,16:47:57,董事會決議一○三年股東常會召開日期及相關事宜
8,3032,偉訓,103/03/26,16:48:15,本公司董事會通過一○二年度財務報告暨合併子公司 財務報告。
9,3032,偉訓,103/03/26,16:49:54,董事會決議股利分派
10,3032,偉訓,103/03/26,16:53:11,代重要子公司公告盈餘分配案。
11,3032,偉訓,103/03/26,17:46:47,符合「資金貸與及背書保證處理準則」第25條第1項第4款 公告-為子公司背書保證額度展期
12,3032,偉訓,103/03/27,14:15:46,監察人辭職事項
13,3032,偉訓,103/04/03,14:02:16,公告更正本公司衍生性商品之契約種類。
14,3032,偉訓,103/04/03,16:04:44,更正本公司衍生性商品之契約種類。
15,3032,偉訓,103/04/10,08:48:34,公告本公司103年3月份自結合併營業收入
16,3032,偉訓,103/04/29,15:13:52,董事辭職事項
17,3032,偉訓,103/04/29,15:16:11,監察人辭職事項
18,3032,偉訓,103/05/07,13:36:00,補充公告本公司董事會決議召開一○三年股東常會事宜。
19,3032,偉訓,103/05/07,13:36:38,本公司董事會通過一○三年第一季合併子公司財務報告。
20,3032,偉訓,103/05/07,14:24:59,董事會決議修改員工紅利金額
21,3032,偉訓,103/05/09,13:33:33,公告本公司103年4月份自結合併營業收入
22,3032,偉訓,103/06/10,14:43:13,公告本公司103年5月份自結合併營業收入
23,3032,偉訓,103/06/20,16:02:16,公告一○三年股東常會重要決議事項
24,3032,偉訓,103/06/20,16:02:36,公告本公司獨立董事變動
25,3032,偉訓,103/06/20,16:02:58,公告本公司董事變動
26,3032,偉訓,103/06/20,16:03:22,公告本公司監察人變動
27,3032,偉訓,103/06/20,16:03:45,公告本公司董事會決議配息基準日公告
28,3032,偉訓,103/06/20,16:04:07,公告本公司薪酬委員變動
29,3032,偉訓,103/06/20,16:04:42,本公司股東會通過解除新任董事競業禁止之限制
30,3032,偉訓,103/07/10,13:33:09,公告本公司103年6月份自結合併營業收入
31,3032,偉訓,103/08/07,16:05:17,本公司董事會通過一○三年上半年度合併子公司財務報表。
32,3032,偉訓,103/08/08,17:21:52,公告本公司103年7月份自結合併營業收入
33,3032,偉訓,103/09/01,16:14:40,偉訓科技公告財務主管及會計主管變動事宜。
34,3032,偉訓,103/09/10,14:54:50,公告本公司103年8月份自結合併營業收入
35,3032,偉訓,103/10/09,13:50:37,公告本公司103年9月份自結合併營業收入
36,3032,偉訓,103/11/10,14:53:39,公告本公司103年10月份自結合併營業收入
37,3032,偉訓,103/11/11,13:47:20,本公司董事會通過一○三年前三季合併子公司財務報表。
38,3032,偉訓,103/12/10,13:56:51,公告本公司103年11月份自結合併營業收入
