,公司代號,公司名稱,發言日期,發言時間,主旨
0,3035,智原,106/01/03,15:03:16,本公司董事會決議處分安控產品業務相關資產
1,3035,智原,106/01/03,15:04:46,代孫公司昇邁科技股份有限公司公告擬結束安控產品相關業務
2,3035,智原,106/01/04,11:11:06,澄清經濟日報報紙與網路新聞
3,3035,智原,106/02/07,15:41:42,公告本公司105年度第四季法人說明會日期
4,3035,智原,106/02/17,20:21:58,公告本公司董事會決議召開106年股東常會事宜
5,3035,智原,106/02/17,20:22:27,公告本公司董事會決議現金增資子公司智宏投資股份有限公司
6,3035,智原,106/04/05,11:00:11,澄清經濟日報報紙與網路新聞
7,3035,智原,106/04/06,15:23:52,公告本公司106年度第一季法人說明會日期
8,3035,智原,106/04/25,18:58:10,董事會決議股利分派
9,3035,智原,106/06/15,17:51:53,公告本公司民國一０六年股東常會重要決議事項
10,3035,智原,106/06/15,17:53:10,公告一０六年股東常會同意解除董事競業禁止
11,3035,智原,106/06/23,17:22:35,代重要子公司勝邦投資股份有限公司公告股東常會重要決議事項
12,3035,智原,106/06/23,17:22:54,代重要子公司勝邦投資股份有限公司公告改選董事、監察人
13,3035,智原,106/06/23,17:23:09,代重要子公司勝邦投資股份有限公司公告董事會選任董事長
14,3035,智原,106/06/29,19:00:22,公告本公司受邀參加宏遠證券舉辦之「2017年科技創新應用產業論壇」
15,3035,智原,106/07/10,15:10:36,公告本公司106年度第二季法人說明會日期
16,3035,智原,106/07/24,17:49:17,公告補正本公司105年度年報部分內容
17,3035,智原,106/07/25,18:11:50,公告本公司106年現金股利除息基準日
18,3035,智原,106/07/28,17:55:16,公告本公司董事(暨副董事長)辭任
19,3035,智原,106/07/28,17:56:20,代重要子公司昇邁科技股份有限公司公告法人董事改派代表人
20,3035,智原,106/07/28,17:57:08,代重要子公司昇邁科技股份有限公司公告董事長異動
21,3035,智原,106/08/31,19:01:11,公告本公司處分私募基金(第一次公告)
22,3035,智原,106/09/07,17:58:55,公告本公司處分私募基金(補充8/31公告)
23,3035,智原,106/09/11,17:04:12,公告本公司受邀參加凱基證券舉辦之「2017年第三季投資論壇」
24,3035,智原,106/09/27,18:33:39,代子公司勝邦投資股份有限公司公告取得私募基金
25,3035,智原,106/10/12,18:36:08,代子公司勝邦投資股份有限公司公告取得私募基金(補充9/27公 告)
26,3035,智原,106/10/16,16:00:01,公告本公司106年第三季法人說明會日期
27,3035,智原,106/11/29,15:55:56,澄清時報資訊網路新聞
28,3035,智原,106/11/30,16:59:46,公告本公司受邀參加花旗證券所舉辦之『Taiwan Corporate Day 2017』
29,3035,智原,106/11/30,18:53:43,代子公司勝邦投資股份有限公司公告處分私募基金
30,3035,智原,106/12/07,18:09:51,代子公司勝邦投資股份有限公司公告處分私募基金(補充11/30公 告)
