,公司代號,公司名稱,發言日期,發言時間,主旨
0,3036,文曄,107/01/10,17:22:39,公告本公司106年12月份自結合併營收約新台幣203億元
1,3036,文曄,107/01/22,17:06:49,本公司依公開發行公司資金貸與及背書保證處理準則第二十二條第 一項第三款公告
2,3036,文曄,107/01/22,17:07:25,本公司依公開發行公司資金貸與及背書保證處理準則第二十五條第 一項第四款公告
3,3036,文曄,107/01/25,17:02:43,公告本公司受邀參加兆豐證券於107年2月8日舉辦之法人說明會相關資訊
4,3036,文曄,107/02/08,14:41:38,本公司召開2017年第四季法人說明會
5,3036,文曄,107/02/08,14:43:19,公告本公司107年1月份自結合併營收約新台幣208億元
6,3036,文曄,107/02/08,17:06:27,本公司民國107年第一季簡式合併財務預測公告
7,3036,文曄,107/02/08,17:13:26,公告本公司董事會決議通過對「財團法人文曄教育基金會」捐贈案
8,3036,文曄,107/03/09,17:05:07,公告本公司107年2月份自結合併營收約新台幣110.7億元
9,3036,文曄,107/03/21,17:00:54,公告本公司受邀參加國泰證券於107年3月22日舉辦之投資論壇相關資訊
10,3036,文曄,107/03/26,17:01:04,公告董事會決議召開107年股東常會相關事宜
11,3036,文曄,107/04/10,17:02:03,公告本公司107年3月份自結合併營收約新台幣177.4億元
12,3036,文曄,107/04/13,17:01:55,公告本公司受邀參加瑞穗證券於日本舉辦之法人說明會相關資訊
13,3036,文曄,107/05/03,15:27:18,公告本公司受邀參加兆豐證券於107年5月11日舉辦之法人說明會相關資訊
14,3036,文曄,107/05/10,17:11:17,公告本公司107年4月份自結合併營收約新台幣167.7億元
15,3036,文曄,107/05/11,14:40:59,本公司召開2018年第一季法人說明會
16,3036,文曄,107/05/11,17:00:12,本公司民國107年第二季簡式合併財務預測公告
17,3036,文曄,107/05/11,17:07:35,董事會決議股利分派
18,3036,文曄,107/05/11,17:18:08,公告董事會決議增列107年股東常會議案
19,3036,文曄,107/06/08,17:43:39,公告本公司107年5月份自結合併營收約新台幣182.2億元
20,3036,文曄,107/06/28,17:06:05,公告本公司107年股東常會重要決議事項
21,3036,文曄,107/07/09,17:02:06,公告本公司107年除息基準日
22,3036,文曄,107/07/09,17:03:50,公告本公司107年6月份自結合併營收約新台幣182.6億元
23,3036,文曄,107/07/25,17:09:13,公告本公司受邀參加兆豐證券於107年8月8日舉辦之法人說明會相關資訊
24,3036,文曄,107/08/08,14:40:28,本公司召開2018年第二季法人說明會
25,3036,文曄,107/08/08,17:01:29,本公司民國107年第三季簡式合併財務預測公告
26,3036,文曄,107/08/08,19:21:39,公告本公司107年7月份自結合併營收約新台幣188億元
27,3036,文曄,107/08/10,17:02:42,公告本公司受邀參加花旗證券於新加坡與香港舉辦法人說明會相關資訊
28,3036,文曄,107/09/09,23:12:31,代重要子公司Wintech Microelectronics Holding Limited公告處 分Ambarella Inc.股票
29,3036,文曄,107/09/10,17:01:47,公告本公司107年8月份自結合併營收約新台幣309億元
30,3036,文曄,107/10/09,17:04:23,公告本公司107年9月份自結合併營收約新台幣350億元
31,3036,文曄,107/10/12,17:08:02,公告本公司受邀參加永豐證券於歐洲舉辦法人說明會相關資訊
32,3036,文曄,107/10/12,17:09:28,公告本公司受邀參加大華證券於歐洲舉辦法人說明會相關資訊
33,3036,文曄,107/10/25,17:01:21,公告本公司受邀參加元富證券於107年11月8日舉辦之法人說明會相關資訊
34,3036,文曄,107/11/08,14:40:44,本公司召開2018年第三季法人說明會
35,3036,文曄,107/11/08,17:04:41,本公司民國107年第四季簡式合併財務預測公告
36,3036,文曄,107/11/08,17:40:36,公告本公司107年10月份自結合併營收約新台幣316億元
37,3036,文曄,107/11/08,17:50:34,本公司依公開發行公司資金貸與及背書保證處理準則第二十五條第 一項第四款公告
38,3036,文曄,107/11/20,10:40:51,澄清107年11月20日工商時報B5版之新聞內容
39,3036,文曄,107/12/10,17:56:41,公告本公司107年11月份自結合併營收約新台幣314億元
