,公司代號,公司名稱,發言日期,發言時間,主旨
0,3037,欣興,101/01/03,15:31:30,公告本公司經有關機關罰鍰達新台幣 10 萬元以上
1,3037,欣興,101/01/30,16:21:19,澄清1月28日經濟日報A4版「欣興盈餘估成長20%」、1月 29日A3版「欣興審慎樂觀看今年」報導
2,3037,欣興,101/02/14,17:31:31,本公司召開100年度第4季財務暨營運報告說明會
3,3037,欣興,101/02/16,20:59:25,欣興電子股份有限公司公告子公司與同泰電子科技 股份有限公司（以下稱台灣同泰）進行策略合作。
4,3037,欣興,101/02/16,22:13:12,公告本公司取得明興光電股份有限公司股票之相關資料
5,3037,欣興,101/02/20,20:50:14,澄清2月18日蘋果日報B8版「(欣興)第1季營收估減 1成」報導
6,3037,欣興,101/03/12,18:47:24,本公司參與法人說明會相關資訊
7,3037,欣興,101/03/27,18:06:48,本公司董事會決議召開股東會
8,3037,欣興,101/03/27,18:12:42,本公司董事會決議發放股利
9,3037,欣興,101/03/27,18:22:44,公告本公司董事會解除經理人同類公司競業禁止限制
10,3037,欣興,101/03/27,19:21:29,資金貸與予子公司HEMINGWAY  INT'L LIMITED
11,3037,欣興,101/03/29,16:24:30,本公司更正關係人交易申報作業自結數字
12,3037,欣興,101/04/06,19:24:29,本公司 3 月份合併營收數字含子公司明興等三家公司營收
13,3037,欣興,101/04/16,19:03:54,本公司取得廠房土建工程之相關資料
14,3037,欣興,101/04/18,15:21:29,本公司召開101年度第1季財務暨營運報告說明會
15,3037,欣興,101/04/19,17:10:05,本公司更正99年第4季投資海外子公司資訊(實際數)
16,3037,欣興,101/05/08,17:04:56,本公司更正民國100年度合併財務報表暨會計師查核報告 第82頁地區別資訊
17,3037,欣興,101/05/11,18:33:28,公告本公司取得欣揚投資股份有限公司股票之相關資料
18,3037,欣興,101/05/18,16:47:29,本公司受Merrill Lynch(美林證券)邀請參加 Taiwan Component Corporate Day
19,3037,欣興,101/05/25,13:50:36,本公司參加海外法人說明會
20,3037,欣興,101/05/25,13:52:17,本公司參加海外法人說明會
21,3037,欣興,101/05/30,16:14:34,澄清5月30日工商時報B3版「欣興進補 吃下英特爾訂單」
22,3037,欣興,101/06/12,19:04:15,公告豪大雨對本公司財務業務影響
23,3037,欣興,101/06/21,16:41:02,公告本公司101年股東常會重要決議事項
24,3037,欣興,101/06/21,16:53:18,公告本公司101年股東常會決議解除董事 競業禁止情形(非大陸地區)
25,3037,欣興,101/06/21,16:55:03,公告本公司101年股東常會決議解除 董事競業禁止情形(大陸地區)
26,3037,欣興,101/06/21,17:32:11,本公司受UBS(瑞銀證券)邀請參加2012 Taiwan Conference
27,3037,欣興,101/07/05,17:49:28,公告本公司 101 年除息基準日
28,3037,欣興,101/07/18,14:31:23,本公司召開101年度第2季財務暨營運報告說明會
29,3037,欣興,101/07/26,21:06:55,澄清7月26日經濟日報C3版「欣興 HDI 產能快滿載」報導
30,3037,欣興,101/08/17,15:06:39,本公司參與法人說明會相關資訊
31,3037,欣興,101/08/28,18:35:28,本公司第九屆第十次董事會通過之重要議案
32,3037,欣興,101/08/28,18:47:05,本公司赴大陸地區投資公告
33,3037,欣興,101/08/28,18:47:23,本公司赴大陸地區投資公告
34,3037,欣興,101/08/31,18:35:39,本公司受邀參加瑞士信貸證券所舉辦之「Credit Suisse Asian Technology Conference 2012」
35,3037,欣興,101/09/07,19:10:40,本公司受德意志證券邀請至美國紐約、波士頓、芝加哥、舊金山進行NDR。
36,3037,欣興,101/10/23,14:07:08,本公司召開101年度第3季財務暨營運報告說明會
37,3037,欣興,101/10/29,19:28:00,代子公司公告明興光電股份有限公司與龍興光電股份有限公司 合併事宜
38,3037,欣興,101/11/02,15:26:05,本公司受邀參加Morgan Stanley 11月5日至11月6日在香港舉辦之「Asia Pacific Corporate Day」及11月7日至11月8日在新加坡舉辦之「11th Annual Asia Pacific Summit」
39,3037,欣興,101/11/02,19:51:05,公告本公司經有關機關罰鍰達新台幣 10 萬元以上
40,3037,欣興,101/11/13,15:35:38,受邀參加德意志證券於台北舉辦之「dbAccess Taiwan Conference 2012」
41,3037,欣興,101/12/20,18:43:14,公告本公司取得欣揚投資股份有限公司股票之相關資料
42,3037,欣興,101/12/20,18:43:33,公告本公司取得明興光電股份有限公司股票之相關資料
43,3037,欣興,101/12/20,18:44:11,代子公司欣揚投資股份有限公司公告其董事會通過 擬間接增資聯興光電(深圳)有限公司案
