,公司代號,公司名稱,發言日期,發言時間,主旨
0,3040,遠見,107/03/07,17:13:08,本公司董事會通過106年度員工及董監事酬勞
1,3040,遠見,107/03/07,17:13:20,公告本公司董事會通過106年度財務報告
2,3040,遠見,107/03/07,17:13:43,本公司董事會決議召開107年股東常會相關事宜
3,3040,遠見,107/03/07,17:17:48,董事會決議股利分派
4,3040,遠見,107/05/09,17:10:34,公告本公司董事會通過107年第1季財務報告
5,3040,遠見,107/06/08,15:31:26,公告本公司107年股東常會重要決議事項
6,3040,遠見,107/06/08,15:31:43,公告本公司訂定除息基準日
7,3040,遠見,107/06/08,15:32:02,公告本公司107年股東常會解除董事之競業禁止事宜
8,3040,遠見,107/07/10,14:34:41,公告本公司原預定107年07月12日為現金股利發放日，如因 颱風致07月11日停止上班，現金股利發放日將順延至下一營業日。
9,3040,遠見,107/08/07,15:47:24,公告本公司董事會通過107年第2季合併財務報告
10,3040,遠見,107/11/08,16:02:37,公告本公司董事會通過107年第3季合併財務報告
11,3040,遠見,107/11/14,14:45:31,本公司受邀參加元大證券舉辦之產業座談會
