,公司代號,公司名稱,發言日期,發言時間,主旨
0,3042,晶技,109/01/15,16:30:03,本公司108年12月自結損益公告
1,3042,晶技,109/02/10,16:35:23,有關新型冠狀病毒疫情影響及因應之說明
2,3042,晶技,109/02/14,14:57:56,本公司109年1月自結損益公告
3,3042,晶技,109/03/13,14:20:50,本公司109年2月自結損益公告
4,3042,晶技,109/03/19,14:58:07,本公司將受邀參加國泰證券舉辦之『國泰證券第一季產業論壇』電話會議
5,3042,晶技,109/03/23,17:20:09,公告本公司董事會決議召開一○九年股東常會
6,3042,晶技,109/03/23,17:24:19,董事會決議股利分派
7,3042,晶技,109/03/23,17:27:05,代子公司台晶(寧波)電子有限公司公告董事會決議 不發放股利
8,3042,晶技,109/03/25,17:37:25,代子公司台晶(重慶)電子有限公司補正公告 取得易方達天天理財貨幣基金B類
9,3042,晶技,109/03/25,17:37:51,代子公司台晶(重慶)電子有限公司補正公告 處分易方達天天理財貨幣基金B類
10,3042,晶技,109/04/14,16:27:50,本公司將受邀參加凱基證券舉辦之『2020高殖利率主題式研討會』
11,3042,晶技,109/04/15,16:34:41,本公司109年3月自結損益公告
12,3042,晶技,109/04/20,16:06:13,係因有價證券於集中交易市場達公布注意交易資訊標準， 故公布相關財務業務等重大訊息，以利投資人區別瞭解
13,3042,晶技,109/05/15,16:25:04,本公司109年4月自結損益公告
14,3042,晶技,109/05/28,18:09:50,代子公司台晶(重慶)電子有限公司公告取得 乾元-日日鑫開放式資產組合型理財商品
15,3042,晶技,109/06/09,13:52:26,公告本公司一○九年股東常會重要決議事項
16,3042,晶技,109/06/09,13:53:10,本公司股東常會通過解除董事競業禁止之限制
17,3042,晶技,109/06/15,16:35:15,本公司109年5月自結損益公告
18,3042,晶技,109/06/17,14:10:15,本公司將參加臺灣證券交易所及永豐金證券共同舉辦之線上數位引資論壇「Taiwan Double Good」
19,3042,晶技,109/07/06,17:22:28,代子公司台晶(重慶)電子有限公司公告 處分“乾元-日日鑫”開放式資產組合型理財商品
20,3042,晶技,109/07/13,14:32:06,公告本公司董事會決議通過除息基準日
21,3042,晶技,109/07/13,14:32:43,公告本公司內部稽核主管異動
22,3042,晶技,109/07/15,14:51:56,本公司109年6月自結損益公告
23,3042,晶技,109/08/10,16:41:20,公告本公司董事會決議通過對「財團法人台灣晶技教育 基金會」捐贈案
24,3042,晶技,109/08/13,15:37:33,本公司109年7月自結損益公告
25,3042,晶技,109/08/17,16:18:47,本公司將參加美林證券舉辦之「2020 Taiwan Tech Corporate Day」線上會議
26,3042,晶技,109/08/17,16:20:56,本公司將參加花旗證券舉辦之「Taiwan Corporate Day 2020」線上會議
27,3042,晶技,109/09/04,15:11:15,本公司召開法人說明會
28,3042,晶技,109/09/11,16:15:35,本公司109年8月自結損益公告
29,3042,晶技,109/09/18,10:49:13,澄清109年09月17日媒體報導內容
30,3042,晶技,109/09/23,13:33:03,本公司將參加國泰證券舉辦之「Tech Corporate Day」
31,3042,晶技,109/10/12,14:21:05,更正109年08月衍生性商品資訊公告
32,3042,晶技,109/10/15,15:02:52,本公司109年9月自結損益公告
