,公司代號,公司名稱,發言日期,發言時間,主旨
0,3043,科風,109/01/10,13:31:26,公告本公司108年12月合併營業額
1,3043,科風,109/01/10,13:31:52,公告本公司108年12月份自結財務報表相關財務資訊
2,3043,科風,109/02/14,13:52:06,公告本公司109年1月合併營業額
3,3043,科風,109/02/14,13:52:23,公告本公司109年1月份自結財務報表相關財務資訊
4,3043,科風,109/03/10,14:30:07,公告本公司109年2月合併營業額
5,3043,科風,109/03/10,14:30:26,公告本公司109年2月份自結財務報表相關財務資訊
6,3043,科風,109/03/30,18:53:57,董事會決議股利分派
7,3043,科風,109/03/30,19:02:54,本公司董事會決議召開109年度股東常會相關事宜
8,3043,科風,109/03/30,19:07:05,停止辦理108年股東常會通過之私募普通股案
9,3043,科風,109/03/30,19:10:13,公告本公司108年第四季資金貸與超限改善計畫執行情形
10,3043,科風,109/03/30,19:12:15,公告本公司108年第四季背書保證超限改善執行情形
11,3043,科風,109/03/30,19:40:54,本公司董事會決議辦理私募普通股
12,3043,科風,109/04/10,13:37:22,公告本公司109年3月合併營業額
13,3043,科風,109/04/10,13:37:54,公告本公司109年3月份自結財務報表相關財務資訊
14,3043,科風,109/04/20,14:44:54,更正公告資金貸與他人申報資訊
15,3043,科風,109/05/11,13:32:39,公告本公司109年4月合併營業額
16,3043,科風,109/05/11,13:33:05,公告本公司109年4月份自結財務報表相關財務資訊
17,3043,科風,109/05/14,16:06:54,補充公告本公司董事會決議召開109年度股東常會相關事宜 (增加議案)
18,3043,科風,109/05/14,16:20:11,公告本公司109年第一季資金貸與超限改善計畫執行情形
19,3043,科風,109/05/14,16:21:14,公告本公司109年第一季背書保證超限改善執行情形
20,3043,科風,109/06/10,13:40:18,公告本公司109年5月合併營業額
21,3043,科風,109/06/10,13:41:47,公告本公司109年5月份自結財務報表相關財務資訊
22,3043,科風,109/06/12,15:07:59,"因本公司有價證券於集中交易達公布注意交易資訊標準, 故公布相關財務業務等重大訊息,以利投資人區別瞭解"
23,3043,科風,109/06/23,14:31:02,公告本公司109年股東常會重要決議事項
24,3043,科風,109/06/23,14:31:33,公告本公司109年股東常會改選後董事資料
25,3043,科風,109/06/23,14:31:58,公告本公司109年股東常會改選後獨立董事資料
26,3043,科風,109/06/23,14:32:26,股東會決議解除本公司董事競業禁止之限制
27,3043,科風,109/06/23,15:38:28,公告本公司設置審計委員會
28,3043,科風,109/06/23,15:40:29,本公司薪資報酬委員會委員任期屆滿
29,3043,科風,109/06/24,14:13:10,公告本公司新任董事長
30,3043,科風,109/06/24,14:13:26,公告本公司法人董事指派代表人
31,3043,科風,109/07/01,17:35:13,公告本公司董事會決議委任第四屆薪酬委員會委員
32,3043,科風,109/07/10,13:50:27,公告本公司109年6月合併營業額
33,3043,科風,109/07/10,13:51:25,公告本公司109年6月份自結財務報表相關財務資訊
34,3043,科風,109/07/17,15:21:21,"因本公司有價證券於集中交易達公布注意交易資訊標準, 故公布相關財務業務等重大訊息,以利投資人區別瞭解"
35,3043,科風,109/07/24,17:00:44,公告更正108年年報部份內容
36,3043,科風,109/08/10,14:02:07,公告本公司109年7月合併營業額
37,3043,科風,109/08/10,14:02:30,公告本公司109年7月份自結財務報表相關財務資訊
38,3043,科風,109/08/13,19:07:04,公告本公司109年第二季資金貸與超限改善計畫執行情形
39,3043,科風,109/08/13,19:07:41,公告本公司109年第二季背書保證超限改善執行情形
40,3043,科風,109/08/14,17:09:10,公告本公司財務兼會計主管任免案
41,3043,科風,109/08/14,17:15:03,公告本公司法人董事指派代表人
42,3043,科風,109/08/14,17:22:03,公告本公司法人董事指派代表人
43,3043,科風,109/08/14,17:22:22,公告本公司發言人異動
44,3043,科風,109/08/14,17:24:33,公告本公司財務兼會計主管任免案
45,3043,科風,109/08/14,17:46:09,公告本公司總經理異動
46,3043,科風,109/08/18,15:27:05,"因本公司有價證券於集中交易達公布注意交易資訊標準, 故公布相關財務業務等重大訊息,以利投資人區別瞭解"
47,3043,科風,109/09/10,13:36:52,公告本公司109年8月合併營業額
48,3043,科風,109/09/10,13:38:00,公告本公司109年8月份自結財務報表相關財務資訊
49,3043,科風,109/10/05,14:05:56,公告本公司財務主管及會計主管新任(尚未經董事會通過)
50,3043,科風,109/10/06,15:09:28,"因本公司有價證券於集中交易達公布注意交易資訊標準, 故公布相關財務業務等重大訊息,以利投資人區別瞭解"
51,3043,科風,109/10/08,15:03:36,公告本公司109年9月份自結合併營收情形
52,3043,科風,109/10/08,15:04:50,公告本公司109年9月份自結財務報表相關財務資訊
