,公司代號,公司名稱,發言日期,發言時間,主旨
0,3044,健鼎,103/02/11,10:32:36,澄清103/2/11工商時報有關本公司第一季 合併營收、去年度及本年度每股盈餘之報導
1,3044,健鼎,103/02/13,15:27:18,"代本公司之子公司Tripod Overseas Co.,Ltd公告 其新增資金貸與金額達新台幣一千萬以上且達本 公司最近期財務報表淨值百分之二以上。"
2,3044,健鼎,103/02/25,14:57:52,董事會決議股利分派
3,3044,健鼎,103/02/25,14:58:13,董事會決議103年股東常會召集相關事項
4,3044,健鼎,103/02/27,14:44:07,健鼎科技參加巴克萊證券2014年Asia Smart Mobility Corporate Days
5,3044,健鼎,103/03/18,14:15:09,"健鼎科技參加美林證券2014年Taiwan, Technology & Beyond Conference"
6,3044,健鼎,103/03/24,14:50:55,"代本公司之子公司Tripod Overseas Co.,Ltd公告 其新增資金貸與金額達新台幣一千萬以上且達本 公司最近期財務報表淨值百分之二以上。"
7,3044,健鼎,103/04/03,11:03:53,澄清103/04/03工商時報有關本公司本年度 第一、二季合併營收及每股盈餘之報導
8,3044,健鼎,103/04/21,14:28:45,"代本公司之子公司Tripod Overseas Co.,Ltd公告 其新增資金貸與金額達新台幣一千萬以上且達本 公司最近期財務報表淨值百分之二以上。"
9,3044,健鼎,103/04/24,14:41:56,"代本公司之子公司Tripod Overseas Co.,Ltd公告 其新增資金貸與金額達新台幣一千萬以上且達本 公司最近期財務報表淨值百分之二以上。"
10,3044,健鼎,103/05/06,14:59:33,公告董事會決議，子公司健鼎（無錫）電子有限公司 以債權作價投資匯寶電子（嘉興）有限公司
11,3044,健鼎,103/05/07,15:34:34,健鼎科技參加花旗證券2014年台灣投資論壇
12,3044,健鼎,103/05/09,10:22:22,代子公司健鼎(無錫)電子有限公司公告小型火警事宜。
13,3044,健鼎,103/06/11,13:41:32,公告本公司103年股東常會重要決議事項。
14,3044,健鼎,103/06/12,14:51:51,代本公司之子公司健鼎(無錫)電子有限公司 公告其新增資金貸與金額達新台幣一千萬以 上且達本公司最近期財務報表淨值百分之二以上。
15,3044,健鼎,103/06/17,14:35:04,公告本公司與非屬本公司關係人之自然人 簽訂購買股票意向書
16,3044,健鼎,103/06/23,14:17:32,"代本公司之子公司Tripod Overseas Co.,Ltd公告 其新增資金貸與金額達新台幣一千萬以上且達本 公司最近期財務報表淨值百分之二以上。"
17,3044,健鼎,103/06/26,16:19:41,健鼎科技參加瑞銀證券2014年台灣投資論壇
18,3044,健鼎,103/06/30,15:37:41,公告本公司與富巨投資有限公司、 寶巨投資有限公司簽訂股份買賣合約
19,3044,健鼎,103/06/30,15:39:06,公告本公司與非屬本公司關係人之自然人 簽訂轉讓正弘投資有限公司全部出資額合約
20,3044,健鼎,103/07/01,16:57:21,公告本公司股權轉讓合約交易完成
21,3044,健鼎,103/07/01,16:57:48,公告本公司股權轉讓合約交易完成
22,3044,健鼎,103/07/01,16:58:05,公告本公司股權轉讓合約交易完成
23,3044,健鼎,103/07/10,15:24:36,公告除息申報相關事宜
24,3044,健鼎,103/07/24,15:58:45,"代本公司之子公司Tripod Overseas Co.,Ltd公告 其新增資金貸與金額達新台幣一千萬以上且達本 公司最近期財務報表淨值百分之二以上。"
25,3044,健鼎,103/07/29,11:56:16,澄清103/7/29工商時報有關本公司本年度第三季合併營收、 第二季獲利及全年度每股盈餘之報導
26,3044,健鼎,103/07/30,17:15:14,公告本公司簽訂股份買賣合約
27,3044,健鼎,103/08/11,16:27:16,"代本公司之子公司Tripod Overseas Co.,Ltd公告 其新增資金貸與金額達新台幣一千萬以上且達本 公司最近期財務報表淨值百分之二以上。"
28,3044,健鼎,103/08/22,17:58:19,"代本公司之子公司Tripod Overseas Co.,Ltd公告 其新增資金貸與金額達新台幣一千萬以上且達本 公司最近期財務報表淨值百分之二以上。"
29,3044,健鼎,103/09/10,14:10:42,健鼎科技參加瑞信證券2014年亞洲科技投資論壇
30,3044,健鼎,103/09/19,13:41:45,"代子公司Tripod Overseas Co., Ltd.公告處分機器設備"
31,3044,健鼎,103/09/19,13:42:19,代子公司健鼎(湖北)電子有限公司公告取得機器設備
32,3044,健鼎,103/09/24,17:21:23,"代本公司之子公司Tripod Overseas Co.,Ltd公告 其新增資金貸與金額達新台幣一千萬以上且達本 公司最近期財務報表淨值百分之二以上。"
33,3044,健鼎,103/10/24,13:43:15,"代本公司之子公司Tripod Overseas Co.,Ltd公告 其新增資金貸與金額達新台幣一千萬以上且達本 公司最近期財務報表淨值百分之二以上。"
34,3044,健鼎,103/12/15,17:18:24,代本公司之子公司健鼎(無錫)電子有限公司 公告其新增資金貸與金額達新台幣一千萬以 上且達本公司最近期財務報表淨值百分之二以上。
35,3044,健鼎,103/12/23,10:47:13,澄清聯合晚報B3版有關本公司明年獲利之報導
36,3044,健鼎,103/12/24,15:58:29,"代本公司之子公司Tripod Overseas Co.,Ltd公告 其新增資金貸與金額達新台幣一千萬以上且達本 公司最近期財務報表淨值百分之二以上。"
37,3044,健鼎,103/12/29,09:45:09,公告本公司平鎮廠倉庫外圍冷凍櫃發生火災相關事宜。
