,公司代號,公司名稱,發言日期,發言時間,主旨
0,3049,和鑫,105/01/07,11:07:11,澄清105年1月7日經濟日報新聞內容
1,3049,和鑫,105/01/08,15:20:30,公告本公司12月份合併營業收入
2,3049,和鑫,105/01/08,15:21:15,依臺灣證券交易所來函規定，公告本公司104年12月自結合併 報表之高流動資產、短期借款及一年內到期長期負債相關財務資 訊。
3,3049,和鑫,105/02/05,14:54:58,公告本公司1月份合併營業收入
4,3049,和鑫,105/02/05,14:55:44,依臺灣證券交易所來函規定，公告本公司105年1月自結合併 報表之高流動資產、短期借款及一年內到期長期負債相關財務資 訊。
5,3049,和鑫,105/02/06,15:44:27,公告105/2/6凌晨3:57高雄美濃地震對本公司財務、 業務 之影響說明
6,3049,和鑫,105/02/25,17:04:20,和鑫光電因高雄美濃地震之復原進度說明
7,3049,和鑫,105/03/09,17:58:28,公告本公司2月份合併營業收入
8,3049,和鑫,105/03/09,17:59:20,依臺灣證券交易所來函規定，公告本公司105年2月自結合併 報表之高流動資產、短期借款及一年內到期長期負債相關財務資 訊。
9,3049,和鑫,105/03/15,18:04:45,公告本公司董事會決議105年股東常會召開事宜
10,3049,和鑫,105/03/15,18:05:49,董事會決議辦理國內現金增資或現金增資發行新股參與發行 海外存託憑證或私募普通股。
11,3049,和鑫,105/03/15,18:06:55,董事會決議辦理國內現金增資或現金增資發行新股參與發行 海外存託憑證或私募普通股。
12,3049,和鑫,105/03/15,18:08:05,公告本公司董事會決議不分派股利
13,3049,和鑫,105/03/15,18:09:03,本公司董事會通過104年度員工酬勞及董監事酬勞分派案
14,3049,和鑫,105/04/08,17:16:59,公告本公司3月份合併營業收入
15,3049,和鑫,105/04/08,17:17:32,依臺灣證券交易所來函規定，公告本公司105年3月自結合併 報表之高流動資產、短期借款及一年內到期長期負債相關財務資 訊。
16,3049,和鑫,105/05/06,17:22:36,公告本公司4月份合併營業收入
17,3049,和鑫,105/05/06,17:23:07,依臺灣證券交易所來函規定，公告本公司105年4月自結合併 報表之高流動資產、短期借款及一年內到期長期負債相關財務資 訊。
18,3049,和鑫,105/05/10,15:40:59,公告本公司財務主管及代理發言人異動
19,3049,和鑫,105/05/10,16:14:19,本公司董事會通過解除經理人競業禁止之限制
20,3049,和鑫,105/06/06,18:02:15,公告本公司5月份合併營業收入
21,3049,和鑫,105/06/07,17:14:09,本公司105年股東常會重要決議事項
22,3049,和鑫,105/06/07,18:13:33,依臺灣證券交易所來函規定，公告本公司105年5月自結合併 報表之高流動資產、短期借款及一年內到期長期負債相關財務資 訊。
23,3049,和鑫,105/07/07,18:15:03,本公司董事會通過取得躍馬貳號投資股份有限公司普通股。
24,3049,和鑫,105/07/07,18:16:12,本公司董事會通過認購躍馬貳號投資股份有限公司發行之特別股。
25,3049,和鑫,105/07/07,18:21:45,本公司董事會決議進行投資計劃達實收資本額百分之二十或 新台幣拾億元以上之相關公告。
26,3049,和鑫,105/07/07,21:04:04,公告本公司6月份合併營業收入
27,3049,和鑫,105/07/07,21:06:03,依臺灣證券交易所來函規定，公告本公司105年6月自結合併 報表之高流動資產、短期借款及一年內到期長期負債相關財務資 訊。
28,3049,和鑫,105/08/09,17:48:59,公告本公司7月份合併營業收入
29,3049,和鑫,105/08/09,17:49:58,依臺灣證券交易所來函規定，公告本公司105年7月自結合併 報表之高流動資產、短期借款及一年內到期長期負債相關財務資 訊。
30,3049,和鑫,105/09/09,17:30:43,依臺灣證券交易所來函規定，公告本公司105年8月自結合併 報表之高流動資產、短期借款及一年內到期長期負債相關財務資 訊。
31,3049,和鑫,105/09/09,17:31:48,公告本公司8月份合併營業收入
32,3049,和鑫,105/10/07,17:32:49,公告本公司9月份合併營業收入
33,3049,和鑫,105/10/07,17:33:59,依臺灣證券交易所來函規定，公告本公司105年9月自結合併 報表之高流動資產、短期借款及一年內到期長期負債相關財務資 訊。
34,3049,和鑫,105/10/26,18:21:03,董事會決議辦理發行私募普通公司債
35,3049,和鑫,105/10/31,17:36:42,公告本公司財務主管異動
36,3049,和鑫,105/10/31,17:37:13,公告本公司代理發言人異動
37,3049,和鑫,105/11/09,15:38:53,公告本公司10月份合併營業收入
38,3049,和鑫,105/11/09,15:42:37,依臺灣證券交易所來函規定，公告本公司105年10月自結合併 報表之高流動資產、短期借款及一年內到期長期負債相關財務資 訊。
39,3049,和鑫,105/11/24,16:08:20,本公司受邀參加康和綜合證券舉辦之法人說明會
40,3049,和鑫,105/12/08,17:53:02,公告本公司11月份合併營業收入
41,3049,和鑫,105/12/08,17:53:36,依臺灣證券交易所來函規定，公告本公司105年11月自結合併 報表之高流動資產、短期借款及一年內到期長期負債相關財務資 訊。
42,3049,和鑫,105/12/08,19:10:22,更新本公司105年11月自結合併報表之高流動資產、短期 借款及一年內到期長期負債相關財務資訊。
43,3049,和鑫,105/12/09,16:54:32,本公司董事會通過重大資本支出
44,3049,和鑫,105/12/09,17:36:41,本公司董事會通過取得躍馬貳號投資股份有限公司普通股。
45,3049,和鑫,105/12/09,17:37:24,本公司董事會通過取得躍馬貳號投資股份有限公司特別股。
