,公司代號,公司名稱,發言日期,發言時間,主旨
0,3050,鈺德,104/02/16,18:10:42,公告本公司取得不動產
1,3050,鈺德,104/03/23,16:34:06,公告本公司董事會決議103年股東常會通過之私募有價證券案， 於剩餘期限內不繼續辦理。
2,3050,鈺德,104/03/23,16:34:53,董事會決議召開本公司民國104年股東常會事宜
3,3050,鈺德,104/03/23,16:35:21,公告本公司董事會決議不配發股利
4,3050,鈺德,104/05/08,16:06:04,公告本公司董事會決議買回公司庫藏股事宜
5,3050,鈺德,104/06/02,15:44:28,公告本公司庫藏股累積買回達已發行股份總額百分之二
6,3050,鈺德,104/06/18,16:36:54,公告本公司庫藏股累積買回達已發行股份總額百分之二
7,3050,鈺德,104/06/24,15:05:56,公告本公司民國104年股東常會重要決議事項
8,3050,鈺德,104/06/24,15:06:32,本公司104年股東常會通過解除新任董事及 其代表人競業禁止之限制案
9,3050,鈺德,104/06/24,15:07:07,公告本公司董事及監察人當選名單
10,3050,鈺德,104/06/24,15:07:31,公告本公司董事會推舉張昭焚先生續任董事長
11,3050,鈺德,104/06/24,15:07:52,本公司董事會選任第三屆薪資報酬委員會委員
12,3050,鈺德,104/06/30,15:41:01,公告本公司買回本公司股份期間屆滿之相關事宜
13,3050,鈺德,104/07/20,14:19:04,公告修正本公司103年度股東會年報第26、31頁部分內容
14,3050,鈺德,104/07/21,16:51:56,公告本公司董事會決議買回公司庫藏股事宜
15,3050,鈺德,104/07/21,16:52:53,本公司董事會決議庫藏股註銷減資案
16,3050,鈺德,104/07/30,14:46:12,公告本公司辦理庫藏股註銷完成實收資本額變更登記事宜
17,3050,鈺德,104/08/20,15:24:31,公告本公司庫藏股累積買回達已發行股份總額百分之二
18,3050,鈺德,104/08/25,16:11:51,"代重要子公司U-Tech Media Korea Co., Ltd.公告 辦理發放現金股利事宜"
19,3050,鈺德,104/08/25,16:12:21,"代重要子公司U-Tech Media Korea Co., Ltd.公告辦理減資事宜"
20,3050,鈺德,104/08/25,16:13:13,"代重要子公司U-Tech Media Korea, Co., Ltd.公告 召集臨時股東會"
21,3050,鈺德,104/09/08,16:34:35,"代重要子公司U-Tech Media Korea Co., Ltd.公告 臨時股東會重要決議事項"
22,3050,鈺德,104/09/09,15:56:14,公告本公司庫藏股累積買回達已發行股份總額百分之二
23,3050,鈺德,104/09/09,15:56:56,公告本公司第十二次實施庫藏股期間未滿已執行完畢
24,3050,鈺德,104/10/29,18:00:40,"代重要子公司U-Tech Media Korea Co., Ltd.公告完成減資 變更登記"
25,3050,鈺德,104/11/10,17:35:37,本公司董事會決議庫藏股註銷減資案
26,3050,鈺德,104/11/10,17:36:37,公告本公司董事會決議買回公司庫藏股事宜
27,3050,鈺德,104/11/17,17:09:26,公告本公司庫藏股累積買回達已發行股份總額百分之二
28,3050,鈺德,104/11/19,15:40:21,公告本公司辦理庫藏股註銷完成實收資本額變更登記事宜
29,3050,鈺德,104/11/19,16:43:39,更正公告本公司辦理庫藏股註銷完成登記完成日期
30,3050,鈺德,104/11/24,17:31:54,公告本公司庫藏股累積買回達已發行股份總額百分之二
31,3050,鈺德,104/11/25,15:02:17,公告本公司買回本公司股份期間屆滿之相關事宜
32,3050,鈺德,104/12/11,17:37:47,本公司董事會決議庫藏股註銷減資案
33,3050,鈺德,104/12/17,14:00:33,公告本公司辦理庫藏股註銷完成實收資本額變更登記事宜
