,公司代號,公司名稱,發言日期,發言時間,主旨
0,3052,夆典,102/01/11,18:25:07,本公司獲選為「嘉義縣馬稠後產業園區第一期委託 開發、出售及管理案」第一名優勝廠商。
1,3052,夆典,102/03/27,17:02:52,公告本公司董事會決議召開股東會相關事宜
2,3052,夆典,102/03/27,17:07:37,本公司董事會決議盈餘轉增資發行新股
3,3052,夆典,102/03/27,17:08:45,代子公司昌吉營造股份有限公司公告 董事會決議一○一年度盈餘分配案
4,3052,夆典,102/03/27,17:09:29,代子公司昌吉營造股份有限公司公告 董事會決議召開股東會相關事宜
5,3052,夆典,102/03/27,17:36:37,本公司董事會決議一○一年度盈餘分配案
6,3052,夆典,102/05/24,12:08:22,代子公司昌吉營造股份有限公司公告一○二年 股東常會重要決議事項
7,3052,夆典,102/06/14,09:32:08,公告本公司一○二年股東常會重要決議事項
8,3052,夆典,102/07/12,12:03:03,澄清本日經濟日報C6版及自由時報C2版媒體對本公司營收獲 利之報導。
9,3052,夆典,102/07/15,17:56:34,補充澄清102年7月12日媒體之報導
10,3052,夆典,102/08/13,15:45:54,代子公司昌吉營造股份有限公司公告董事會決議除息基準日
11,3052,夆典,102/08/13,16:52:40,公告本公司董事會決議除權息基準日
12,3052,夆典,102/08/23,09:05:57,本公司第二季財務報告補充說明。
13,3052,夆典,102/08/27,08:56:24,公告本公司處分台北市中正區城中段一小段土地
14,3052,夆典,102/10/14,08:52:29,更正公告本公司102年9月營收及累計營收。
15,3052,夆典,102/12/04,11:00:16,澄清本日經濟日報C7版之報導。
