,公司代號,公司名稱,發言日期,發言時間,主旨
0,3054,立萬利,105/02/24,14:20:14,公告本公司董事會決議買回庫藏股
1,3054,立萬利,105/02/24,17:16:45,公告本公司法人董事改派代表人事宜
2,3054,立萬利,105/02/24,17:18:13,公告本公司董事會推舉副董事長事宜
3,3054,立萬利,105/02/24,17:18:51,公告本公司解除經理人競業禁止之限制
4,3054,立萬利,105/03/18,17:50:38,公告本公司董事會決議通過104年度員工酬勞及 董事、監察人酬勞分派事宜
5,3054,立萬利,105/03/18,17:51:10,本公司董事會決議召開105年度股東常會相關事宜
6,3054,立萬利,105/03/18,17:51:37,公告本公司內部稽核主管及研發主管異動
7,3054,立萬利,105/03/18,17:51:58,董事會決議股利分派
8,3054,立萬利,105/03/18,17:52:30,公告本公司董事會決議取得私募普通股相關事宜
9,3054,立萬利,105/03/31,15:59:16,公告本公司第一次買回庫藏股已執行完畢
10,3054,立萬利,105/05/03,16:48:42,公告本公司內部稽核主管異動
11,3054,立萬利,105/06/07,16:14:50,公告本公司105年度股東常會重要決議事項
12,3054,立萬利,105/06/07,16:16:03,公告本公司105年股東常會同意解除董事及 其代表人競業禁止案
13,3054,立萬利,105/07/04,15:52:24,公告本公司自然人董事辭任事宜
14,3054,立萬利,105/07/25,16:58:41,公告修正本公司104年度年報部份資訊
15,3054,立萬利,105/11/09,18:24:18,公告本公司董事會決議買回庫藏股
16,3054,立萬利,105/11/21,16:07:32,本公司國內第三次有擔保轉換公司債終止上櫃暨到期還本事宜
17,3054,立萬利,105/11/22,14:57:56,更正本公司國內第三次有擔保轉換公司債終止上櫃暨到期還本之 最後申請轉換日期事宜
