,公司代號,公司名稱,發言日期,發言時間,主旨
0,3055,蔚華科,103/01/02,17:05:57,公告本公司董事辭職事宜
1,3055,蔚華科,103/01/07,17:10:36,公告買回本公司股份執行結果
2,3055,蔚華科,103/01/22,19:16:45,公告本公司董事會決議庫藏股減資事宜
3,3055,蔚華科,103/01/22,19:17:37,公告本公司董事會通過捐贈事宜
4,3055,蔚華科,103/02/08,09:12:47,公告本公司因庫藏股減資辦理資本變更登記完成
5,3055,蔚華科,103/03/07,18:35:08,董事會決議一○二年度虧損撥補及以資本公積發放現金
6,3055,蔚華科,103/03/07,18:43:41,本公司董事會決議103年股東常會召開日期及召集事由
7,3055,蔚華科,103/03/07,18:48:48,公告本公司及子公司依據國際會計準則第39號認列金融資產之減損
8,3055,蔚華科,103/03/07,18:53:57,公告本公司董事會決議辦理股份買回事宜
9,3055,蔚華科,103/04/02,18:11:17,公告本公司獨立董事辭任
10,3055,蔚華科,103/04/09,19:22:24,本公司董事會決議103年股東常會召開日期及召集事由(增列)
11,3055,蔚華科,103/04/25,17:36:45,公告本公司買回股份數量累積達公司已發行股份總額百分之二
12,3055,蔚華科,103/05/09,16:56:38,公告買回本公司股份執行結果
13,3055,蔚華科,103/05/13,19:08:11,本公司董事會決議103年股東常會召開日期及召集事由(增列)
14,3055,蔚華科,103/05/13,19:18:37,公告本公司薪酬委員異動
15,3055,蔚華科,103/05/13,19:25:22,公告董事會決議擬發行限制員工權利新股案
16,3055,蔚華科,103/06/25,19:16:37,本公司一○三年股東常會重要決議事項公告
17,3055,蔚華科,103/06/25,19:17:41,公告本公司一○三年股東常會決議解除新任董事之競業禁止限制
18,3055,蔚華科,103/06/26,07:12:39,公告本公司103年股東常會獨立董事補選當選名單
19,3055,蔚華科,103/06/26,07:15:17,公告本公司103年股東常會董事補選當選名單
20,3055,蔚華科,103/07/10,14:50:09,公告本公司103年以資本公積配發現金基準日
21,3055,蔚華科,103/07/18,16:34:38,補正本公司102年度年報部分資料
22,3055,蔚華科,103/07/22,17:06:44,公告本公司會計主管更動
23,3055,蔚華科,103/07/31,16:29:47,本公司訂定庫藏股減資基準日
24,3055,蔚華科,103/08/12,21:53:32,公告本公司董事會通過捐贈事宜
25,3055,蔚華科,103/08/12,22:12:10,公告本公司董事會追認限制員工權利新股發行辦法及發行事宜
26,3055,蔚華科,103/08/13,08:51:23,本公司訂定庫藏股減資基準日
27,3055,蔚華科,103/08/13,08:53:02,公告本公司新任會計主管
28,3055,蔚華科,103/08/26,21:06:34,公告本公司因庫藏股減資辦理資本變更登記完成
29,3055,蔚華科,103/11/12,18:44:07,公告本公司一○三年以限制員工權利新股發行普通股 之增資基準日
30,3055,蔚華科,103/11/12,18:44:32,公告本公司一○三年第三季員工認股權憑證換發普通股 之增資基準日
31,3055,蔚華科,103/11/17,16:34:31,"更正本公司103年度第三季合併財務報告之XBRL檔所上傳 ""母公司暨子公司所持有之母公司庫藏股股數""。"
