,公司代號,公司名稱,發言日期,發言時間,主旨
0,3056,總太,106/02/06,09:55:38,公告更正本公司106年1月營收資訊
1,3056,總太,106/02/09,16:52:08,公告本公司自然人監察人辭任
2,3056,總太,106/02/09,18:32:38,獨立董事對本公司董事會討論事項第二案表示意見
3,3056,總太,106/03/13,15:09:53,代子公司高章營造股份有限公司公告董事會決議更名 為總太營造股份有限公司
4,3056,總太,106/03/23,09:37:37,澄清106年3月23日工商時報B4版對本公司報導
5,3056,總太,106/03/24,13:32:19,董事會決議股利分派
6,3056,總太,106/03/24,16:24:04,公告本公司董事會決議召開106年度股東常會相關事宜
7,3056,總太,106/03/24,16:25:52,公告本公司董事會通過對財團法人總太永福教育基金會捐贈事宜
8,3056,總太,106/03/24,16:27:11,本公司因配合簽證會計師事務所內部調整更換會計師
9,3056,總太,106/03/28,18:54:35,代子公司公告「高章營造股份有限公司」更名為 「總太營造股份有限公司」
10,3056,總太,106/05/11,16:43:50,公告台中市北屯區太順段57-19地號新建工程之承攬合約
11,3056,總太,106/06/13,17:42:12,公告本公司106年股東常會重要決議事項
12,3056,總太,106/06/13,17:46:18,公告本公司股東會決議股利分派異動事宜
13,3056,總太,106/06/13,17:52:01,公告本公司董事會決議除息基準日
14,3056,總太,106/06/29,14:33:44,代重要子公司總太營造股份有限公司公告董事會決議 民國105年度股利分派
15,3056,總太,106/06/29,14:41:56,代重要子公司總太營造股份有限公司公告董事會決議股利 配發基準日
16,3056,總太,106/07/25,16:12:38,公告本公司薪酬委員會成員就會議之議決事項表示保留意見
17,3056,總太,106/08/11,15:04:18,公告台中市東區旱溪段296-2、296-32地號 等2筆新建工程之承攬合約
18,3056,總太,106/08/11,17:13:17,公告本公司董事長辭任
19,3056,總太,106/08/11,17:15:44,公告本公司董事辭任
20,3056,總太,106/08/11,18:19:18,本公司經行政院農業委員會林務局評選為「臺中市東勢林業 文化園區民間自提投資(BOT+ROT)案」最優申請人
21,3056,總太,106/08/14,13:59:31,公告本公司召開法人說明會相關資訊。
22,3056,總太,106/08/31,16:01:18,代子公司總太營造公告董事監察人任期屆滿改選名單
23,3056,總太,106/08/31,16:02:44,代子公司總太營造公告選任董事長
24,3056,總太,106/09/25,16:32:44,代取得人吳錫坤依證券交易法第43條之1第1項規定辦理公告
25,3056,總太,106/10/02,16:42:22,代子公司總太營造公告董事會重要決議
26,3056,總太,106/10/03,16:08:11,公告本公司董事會補選董事長及台中分公司經理人異動事宜
27,3056,總太,106/10/03,16:09:57,公告本公司發言人異動
28,3056,總太,106/10/05,10:06:51,補充本公司105/8/10董事會決議處分不動產予關係人之公告
29,3056,總太,106/11/10,15:52:38,公告本公司董事會重要決議
30,3056,總太,106/11/17,18:17:25,補充說明本公司獲行政院農業委員會林務局評選為「臺中市 東勢林業文化園區民間自提投資(BOT+ROT)案」最優申請人
