,公司代號,公司名稱,發言日期,發言時間,主旨
0,3059,華晶科,100/01/20,16:09:45,公告本公司召開99年第四季線上法人說明會
1,3059,華晶科,100/01/27,16:50:25,公本公司召開99年第四季線上法人說明會事宜
2,3059,華晶科,100/02/08,17:09:39,本公司法人董事改派代表人
3,3059,華晶科,100/02/11,17:10:44,公告本公司買回股份已執行完畢
4,3059,華晶科,100/03/14,14:59:25,公告日本強震對本公司財務及業務並無重大影響
5,3059,華晶科,100/03/17,17:37:03,本公司董事會決議召開100年股東常會
6,3059,華晶科,100/03/25,17:13:36,公告本公司發言人變動
7,3059,華晶科,100/04/21,17:27:52,公告本公司召開100年第一季線上法人說明會
8,3059,華晶科,100/04/25,19:09:52,本公司董事會決議以盈餘轉增資發行新股
9,3059,華晶科,100/04/25,19:10:03,本公司董事會決議九十九年度盈餘分派案
10,3059,華晶科,100/04/25,19:14:55,本公司經由第三地區投資事業間接在大陸地區發起設立投資 「○晶光電科技有限公司」(暫定)
11,3059,華晶科,100/04/25,19:15:14,公告本公司董事會決議通過修正99年4月8日公告之赴大陸投資案
12,3059,華晶科,100/04/28,17:23:40,公告本公司召開100年第一季線上法人說明會事宜
13,3059,華晶科,100/04/29,15:50:01,"有關自由時報報導""華晶科第二季營收會比首季成長2成--等"""
14,3059,華晶科,100/05/26,11:24:53,"澄清有關時報資訊報導""華晶科H2毛利率可望回升至1成， 血糖檢測機明年出貨量可望達100萬台 -- 等"""
15,3059,華晶科,100/06/15,17:17:58,公告本公司100年股東常會重要決議事項
16,3059,華晶科,100/06/15,17:19:11,公告本公司100年股東常會改選董事及監察人
17,3059,華晶科,100/06/15,17:21:25,公告本公司股東常會解除第六屆董事之競業限制
18,3059,華晶科,100/06/15,17:21:49,本公司董事會一致推舉徐善可先生續任董事長
19,3059,華晶科,100/08/09,18:10:47,公告本公司董事會決議辦理一○○年度第一次買回本公司股份
20,3059,華晶科,100/08/10,17:05:22,本公司法人董事改派代表人
21,3059,華晶科,100/08/22,18:11:28,公告本公司召開100年第二季線上法人說明會
22,3059,華晶科,100/08/26,15:55:34,公告本公司召開100年第二季線上法人說明會事宜
23,3059,華晶科,100/08/30,18:28:41,決議除權息配發基準日等公告
24,3059,華晶科,100/09/28,14:57:54,"有關經濟日報100年9月28日報導""華晶科砸4.5億昆山設廠"""
25,3059,華晶科,100/10/07,15:46:10,公告買回股份數量每累積達公司已發行股份總數2%
26,3059,華晶科,100/10/07,15:46:23,本公司買回股份執行期間屆滿公告
27,3059,華晶科,100/10/12,16:24:48,公告100年盈餘分派案股票股利及現金股利之配股配息率
28,3059,華晶科,100/10/24,17:03:00,公告本公司召開100年第三季線上法人說明會
29,3059,華晶科,100/10/28,15:54:05,公告本公司召開100年第三季線上法人說明會事宜
30,3059,華晶科,100/10/28,18:21:10,本公司董事會決議成立第一屆薪資報酬委員會
31,3059,華晶科,100/10/31,15:57:06,"有關蘋果日報100年10月29日報導""預料本季營收 將較上季衰退10%以上--等"""
