,公司代號,公司名稱,發言日期,發言時間,主旨
0,3062,建漢,108/03/28,16:51:57,公告本公司董事會決議召開108年股東常會
1,3062,建漢,108/03/28,17:25:19,公告本公司因會計師事務所內部作業輪調變更會計師
2,3062,建漢,108/05/08,17:13:52,公告本公司董事會決議股利分派
3,3062,建漢,108/05/08,17:14:07,公告本公司設置公司治理主管
4,3062,建漢,108/05/10,18:36:07,更正本公司108年3月衍生性商品交易資訊
5,3062,建漢,108/06/06,17:59:54,公告本公司發言人異動
6,3062,建漢,108/06/21,16:58:40,公告本公司108年股東常會重要決議事項
7,3062,建漢,108/07/04,17:10:06,公告本公司決議除息基準日
8,3062,建漢,108/08/12,17:45:54,公告本公司董事會決議解除經理人競業禁止限制
9,3062,建漢,108/09/20,16:47:58,公告本公司受邀參加福邦證券所舉辦之法人說明會
10,3062,建漢,108/10/31,17:27:35,公告本公司代理發言人異動
11,3062,建漢,108/11/21,15:24:50,更正本公司108年7-9月關係人交易自結申報數資訊
