,公司代號,公司名稱,發言日期,發言時間,主旨
0,3130,一零四,108/03/13,17:37:58,公告本公司董事會決議召開108年股東常會
1,3130,一零四,108/03/13,17:38:44,董事會決議股利分派
2,3130,一零四,108/03/13,17:41:41,公告本公司設置公司治理主管
3,3130,一零四,108/03/27,16:04:23,公告本公司受邀參加元大證券舉辦之法人說明會
4,3130,一零四,108/04/17,18:43:09,公告本公司董事會決議更新召開108年股東常會相關事宜
5,3130,一零四,108/05/29,11:14:40,公告本公司108年股東常會重要決議事項
6,3130,一零四,108/05/29,11:15:06,董事會決議現金股利除息基準日及發放日
7,3130,一零四,108/05/29,11:15:31,公告本公司董事會決議改聘請薪資報酬委員會委員
8,3130,一零四,108/08/14,14:07:20,公告本公司董事會決議註銷已收回限制員工權利新股
9,3130,一零四,108/09/09,13:43:45,公告本公司註銷限制員工權利新股減資變更登記完成
10,3130,一零四,108/10/14,16:06:04,公告本公司參加機構投資人說明會
