,公司代號,公司名稱,發言日期,發言時間,主旨
0,3149,正達,109/03/05,17:02:58,公告本公司108年12月份自結合併財務報表之高流動資產、 短期借款、應付短期票券及一年內到期之長期負債等財務資訊
1,3149,正達,109/03/05,17:03:15,公告本公司109年1月份自結合併財務報表之高流動資產、 短期借款、應付短期票券及一年內到期之長期負債等財務資訊
2,3149,正達,109/03/26,15:12:22,公告本公司董事會決議召開109年股東常會相關事宜
3,3149,正達,109/03/26,15:25:22,公告本公司不繼續辦理108年股東常會通過之私募普通股案
4,3149,正達,109/03/31,14:06:41,公告本公司109年2月份自結合併財務報表之高流動資產、 短期借款、應付短期票券及一年內到期之長期負債等財務資訊
5,3149,正達,109/04/17,14:15:41,公告本公司109年3月份自結合併財務報表之高流動資產、 短期借款、應付短期票券及一年內到期之長期負債等財務資訊
6,3149,正達,109/05/08,14:21:00,董事會決議不分派股利
7,3149,正達,109/05/08,14:50:12,公告本公司董事會決議修訂109年股東常會召集事由
8,3149,正達,109/05/08,14:51:19,公告本公司董事會決議辦理現金增資發行新股案
9,3149,正達,109/05/08,14:53:34,本公司董事會決議辦理私募普通股案
10,3149,正達,109/05/08,15:02:59,公告本公司109年4月份自結合併財務報表之高流動資產、 短期借款、應付短期票券及一年內到期之長期負債等財務資訊
11,3149,正達,109/06/08,16:50:03,公告本公司109年5月份自結合併財務報表之高流動資產、 短期借款、應付短期票券及一年內到期之長期負債等財務資訊
12,3149,正達,109/06/18,14:32:51,本公司109年股東常會重要決議
13,3149,正達,109/06/18,14:35:32,公告本公司第十一屆董事會選任董事長
14,3149,正達,109/06/18,14:40:09,公告本公司109年股東常會改選董事 及三分之一董事發生變動
15,3149,正達,109/06/18,14:41:22,公告本公司薪資報酬委員會委員異動
16,3149,正達,109/06/18,14:42:34,公告本公司設置審計委員會
17,3149,正達,109/07/08,16:34:20,公告本公司109年6月份自結合併財務報表之高流動資產、 短期借款、應付短期票券及一年內到期之長期負債等財務資訊
18,3149,正達,109/08/07,15:34:52,本公司董事會決議109年上半會計年度不分派股利
19,3149,正達,109/08/10,16:11:18,公告本公司109年7月份自結合併財務報表之高流動資產、 短期借款、應付短期票券及一年內到期之長期負債等財務資訊
20,3149,正達,109/08/14,16:49:27,"因本公司有價證券於集中市場達公布注意交易資訊標準, 依台灣證券交易所股份有限公司規定辦理"
21,3149,正達,109/08/17,16:36:16,更正上周五因本公司有價證券於集中市場達公布注意交易 資訊標準，故公布相關財務業務等重大訊息
22,3149,正達,109/08/18,08:49:17,更正上周五因本公司有價證券於集中市場達公布注意交易 資訊標準，故公布相關財務業務等重大訊息
23,3149,正達,109/08/21,17:13:41,公告本公司董事會決議發行109年度員工認股權憑證
24,3149,正達,109/09/08,15:53:57,公告本公司109年8月份自結合併財務報表之高流動資產、 短期借款、應付短期票券及一年內到期之長期負債等財務資訊
25,3149,正達,109/10/08,15:51:25,公告本公司109年9月份自結合併財務報表之高流動資產、 短期借款、應付短期票券及一年內到期之長期負債等財務資訊
26,3149,正達,109/10/12,16:05:49,係因本公司有價證券於集中交易市場達公布注意交易資訊 標準，故公布相關財務業務等重大訊息，以利投資人區別瞭解
