,公司代號,公司名稱,發言日期,發言時間,主旨
0,3164,景岳,107/01/03,08:41:50,公告本公司申請股票上櫃轉上市時所出具之承諾事項 暨其後續執行情形
1,3164,景岳,107/03/02,14:53:33,公告本公司董事辭任事宜
2,3164,景岳,107/03/02,16:38:08,補充公告本公司董事辭任事宜
3,3164,景岳,107/03/27,16:02:49,公告本公司107年3月27日董事會通過之重要議案
4,3164,景岳,107/03/27,16:04:52,公告本公司董事會決議召開107年股東常會相關事宜
5,3164,景岳,107/03/27,16:05:57,公告本公司董事會決議通過106年度董監事及員工酬勞分派
6,3164,景岳,107/03/27,16:08:43,董事會決議不發放股利
7,3164,景岳,107/04/02,16:11:25,公告本公司申請股票上櫃轉上市時所出具之承諾事項 暨其後續執行情形
8,3164,景岳,107/05/11,13:54:43,公告本公司107年5月11日董事會通過之重要議案
9,3164,景岳,107/05/18,14:41:42,代本公司子公司白木屋食品(股)公司公告 因停業而停工
10,3164,景岳,107/05/18,14:43:02,公告本公司子公司白木屋食品(股)公司因停業而停工
11,3164,景岳,107/05/18,14:53:20,本公司投資子公司景岳生物科技(中國)有限公司
12,3164,景岳,107/05/18,15:31:11,本公司取得子公司白木屋食品(股)公司房屋兩棟
13,3164,景岳,107/05/18,16:16:21,更正公告本公司子公司白木屋食品(股)公司 因停業而停工
14,3164,景岳,107/06/07,17:12:57,本公司因有重大訊息待公布，經證交所同意自107年6月8日起 暫停交易。
15,3164,景岳,107/06/08,15:48:02,本公司處分白木屋食品(股)公司股權
16,3164,景岳,107/06/08,17:10:12,本公司經證交所同意自107年06月11日起恢復交易。
17,3164,景岳,107/06/27,16:27:07,公告本公司107年股東常會重要決議事項
18,3164,景岳,107/07/03,14:25:45,公告本公司申請股票上櫃轉上市時所出具之承諾事項 暨其後續執行情形
19,3164,景岳,107/08/10,13:32:23,公告本公司107年8月10日董事會通過之重要議案
20,3164,景岳,107/08/10,13:34:06,修正公告本公司投資子公司景岳生物科技(中國)有限公司
21,3164,景岳,107/10/03,17:08:46,公告本公司申請股票上櫃轉上市時所出具之承諾事項 暨其後續執行情形
22,3164,景岳,107/11/09,14:06:33,本公司任用重要營運主管(副總經理)
23,3164,景岳,107/11/09,14:13:06,公告本公司107年11月09日董事會通過之重要議案
24,3164,景岳,107/11/26,15:29:29,本公司受邀參加永豐金證券舉辦之法人說明會
