,公司代號,公司名稱,發言日期,發言時間,主旨
0,3189,景碩,100/01/12,17:30:09,本公司受邀參加瑞士信貸舉辦之2011台灣論壇
1,3189,景碩,100/01/14,13:46:28,澄清媒體報導
2,3189,景碩,100/01/26,17:40:32,本公司董事會決議召開九十九年股東常會相關事宜公告
3,3189,景碩,100/01/26,17:40:50,公告本公司董事會決議發放股利事宜
4,3189,景碩,100/01/26,17:41:17,公告本公司董事會通過九十九年度財務報表
5,3189,景碩,100/01/27,15:28:24,(更正)本公司董事會決議召開一百年股東常會相關事宜公告
6,3189,景碩,100/02/25,11:14:01,澄清媒體報導
7,3189,景碩,100/03/07,16:50:03,本公司受邀參加花旗環球證券2011台灣投資論壇
8,3189,景碩,100/03/14,13:22:35,公告100/03/11日本強震目前對本公司營運尚無重大影響
9,3189,景碩,100/03/14,13:23:00,本公司受邀參加美林證券2011台灣投資論壇
10,3189,景碩,100/05/09,15:22:19,澄清媒體報導
11,3189,景碩,100/05/11,16:15:10,桃園縣政府裁處本公司違反「水污染防治法」， 罰緩新台幣14萬元整。
12,3189,景碩,100/06/01,14:21:45,本公司受邀參加美林證券投資論壇
13,3189,景碩,100/06/22,14:31:04,公告本公司一百年股東常會重要決議事項
14,3189,景碩,100/07/04,15:42:42,澄清媒體報導
15,3189,景碩,100/07/04,15:42:57,澄清媒體報導
16,3189,景碩,100/07/15,13:41:43,桃園縣政府裁處本公司違反「水污染防治法」， 罰緩新台幣33萬元整。
17,3189,景碩,100/07/18,14:33:07,澄清媒體報導
18,3189,景碩,100/07/26,16:53:57,公告本公司董事會決議配息基準日
19,3189,景碩,100/07/26,16:54:08,公告本公司董事會通過一百年上半年度財務報表
20,3189,景碩,100/08/26,14:04:14,公告更正本公司100年上半年度財報資料
21,3189,景碩,100/08/29,13:12:42,澄清媒體報導
22,3189,景碩,100/09/06,15:26:10,本公司受邀參加花旗環球證券舉辦之 Greater China Mini Conference
23,3189,景碩,100/09/07,12:15:06,澄清媒體報導
24,3189,景碩,100/09/13,14:17:51,本公司受邀參加台灣證券交易所股份有限公司與 瑞士信貸股份有限公司共同舉辦之「2011亞洲科技論壇」
25,3189,景碩,100/10/31,11:01:13,澄清媒體報導
26,3189,景碩,100/10/31,18:14:11,公告更正本公司100年第三季合併財報報告
27,3189,景碩,100/11/15,16:30:10,公告本公司「薪資報酬委員會」之設置，訂定「薪資 報酬委員會組織規程」並委任本公司薪資報酬委員會成員
28,3189,景碩,100/11/15,19:42:43,代子公司晶碩光學股份有限公司公告間接對大陸投資案
29,3189,景碩,100/12/02,19:36:02,桃園縣政府裁處本公司違反「空氣污染防治法」， 罰緩新台幣10萬元整。
30,3189,景碩,100/12/19,17:42:12,補公告本公司背書保證金額達第二十五條第一項第四款之標準
