,公司代號,公司名稱,發言日期,發言時間,主旨
0,3189,景碩,108/02/18,19:04:10,公告本公司董事會決議辦理限制員工權利新股收買註銷 減資案
1,3189,景碩,108/02/18,19:04:44,公告本公司董事會決議發行107年第二次限制員工權利新股 之增資基準日
2,3189,景碩,108/02/18,19:05:15,公告本公司董事會通過107年度個體財務報表及合併 財務報表
3,3189,景碩,108/02/18,19:49:37,本公司董事會決議召開108年股東常會相關事宜公告
4,3189,景碩,108/02/18,19:50:36,董事會決議股利分派
5,3189,景碩,108/02/18,20:00:40,本公司董事會通過優於審計委員會決議之股東股利案
6,3189,景碩,108/03/06,18:58:48,本公司受邀參加日盛證券舉辦之投資論壇
7,3189,景碩,108/03/15,16:36:35,本公司受邀參加凱基證券舉辦之投資論壇
8,3189,景碩,108/03/18,18:54:12,本公司受邀參加美林證券舉辦之投資論壇
9,3189,景碩,108/04/02,17:51:40,本公司將收買已發行之限制員工權利新股辦理註銷完成公告
10,3189,景碩,108/04/11,15:38:55,更正107年度個體財務報告書(電子書)
11,3189,景碩,108/04/29,17:16:52,公告本公司董事會通過108年第1季合併財務報表
12,3189,景碩,108/04/29,17:17:05,公告本公司董事會決議辦理限制員工權利新股收買註銷 減資案
13,3189,景碩,108/04/29,17:17:18,公告本公司設置公司治理主管
14,3189,景碩,108/05/13,18:02:43,本公司受邀參加瑞銀證券所舉辦之投資論壇
15,3189,景碩,108/05/22,15:23:42,本公司受邀參加花旗證券舉辦之投資論壇
16,3189,景碩,108/05/22,15:23:59,本公司將收買已發行之限制員工權利新股辦理註銷完成公告
17,3189,景碩,108/05/29,17:39:57,公告本公司108年股東常會重要決議事項
18,3189,景碩,108/06/12,14:38:28,本公司受邀參加日盛證券舉辦之投資論壇
19,3189,景碩,108/06/21,15:57:46,本公司受邀參加瑞銀證券所舉辦之投資論壇
20,3189,景碩,108/07/04,18:04:56,公告本公司出售營業用機器設備予子公司 -蘇州統碩科技有限公司累計達新台幣3億元以上
21,3189,景碩,108/07/29,19:30:48,公告本公司董事會決議配息基準日
22,3189,景碩,108/07/29,19:31:02,公告本公司董事會決議辦理限制員工權利新股收買註銷 減資案
23,3189,景碩,108/07/29,19:31:18,本公司董事會通過優於薪酬委員會之建議案
24,3189,景碩,108/08/16,17:24:14,本公司將收買已發行之限制員工權利新股辦理註銷完成公告
25,3189,景碩,108/08/20,16:10:56,本公司受邀參加元富證券舉辦之投資論壇
26,3189,景碩,108/09/02,16:32:16,本公司受邀參加瑞士信貸所舉辦之投資論壇
27,3189,景碩,108/09/11,17:51:36,本公司受邀參加日盛證券舉辦之投資論壇
28,3189,景碩,108/10/28,17:17:56,公告本公司董事會決議辦理限制員工權利新股收買註銷 減資案
29,3189,景碩,108/11/14,16:50:15,本公司將收買已發行之限制員工權利新股辦理註銷完成公告
30,3189,景碩,108/11/25,17:01:04,本公司受邀參加里昂證券所舉辦之投資論壇
31,3189,景碩,108/12/06,16:35:48,本公司受邀參加凱基證券舉辦之投資論壇
32,3189,景碩,108/12/06,16:36:24,本公司受邀參加國泰證券舉辦之投資論壇
33,3189,景碩,108/12/06,16:36:42,本公司受邀參加永豐金證券舉辦之投資論壇
