,公司代號,公司名稱,發言日期,發言時間,主旨
0,3229,晟鈦,105/01/15,18:29:03,公告本公司對100%持有之子公司薩摩亞晟鈦新增背書保證達「公開 發行公司資金貸與及背書保證處理準則」第二十五條第一項第四款 標準。
1,3229,晟鈦,105/01/15,18:29:20,公告本公司新任董事長特別助理(職級約當副總經理)
2,3229,晟鈦,105/01/18,17:39:43,(更正)公告本公司對100%持有之子公司薩摩亞晟鈦新增背書保證達 「公開發行公司資金貸與及背書保證處理準則」第二十五條第一項 第四款標準。
3,3229,晟鈦,105/02/03,16:28:36,公告本公司法人董事代表人改派
4,3229,晟鈦,105/02/04,18:03:19,公告本公司自然人董事辭任
5,3229,晟鈦,105/02/04,18:03:48,代重要子公司浙江晟鈦科技工業有限公司公告董事辭任
6,3229,晟鈦,105/02/04,18:04:21,公告本公司總經理辭任
7,3229,晟鈦,105/02/04,18:04:59,代重要子公司浙江晟鈦科技工業有限公司公告總經理異動
8,3229,晟鈦,105/03/10,16:29:59,因本公司有價證券於集中交易市場達公布注意交易資訊標準， 故公告相關財務業務等重大訊息，以利投資人區別瞭解。
9,3229,晟鈦,105/03/30,18:39:30,公告本公司總管理處處長、財務及會計主管暨發言人異動
10,3229,晟鈦,105/03/30,18:39:46,代重要子公司浙江晟鈦科技工業有限公司公告財務及會計主管異動
11,3229,晟鈦,105/03/30,18:40:20,公告本公司董事會解除本公司經理人競業禁止限制事宜
12,3229,晟鈦,105/03/30,18:40:31,公告本公司董事會決議召開105年股東常會相關事宜
13,3229,晟鈦,105/03/30,18:40:56,董事會決議股利分派
14,3229,晟鈦,105/05/03,17:32:45,代重要子公司浙江晟鈦科技工業有限公司公告 法人董事及監察人代表人改派
15,3229,晟鈦,105/05/12,15:50:35,公告本公司董事會解除本公司經理人競業禁止限制事宜
16,3229,晟鈦,105/06/24,15:04:58,公告本公司105年股東常會重要決議事項
17,3229,晟鈦,105/06/26,11:12:30,公告本公司105年度股東會通過解除董事競業禁止
18,3229,晟鈦,105/07/21,13:18:00,更正本公司104年度年報部份資料
19,3229,晟鈦,105/10/05,16:46:14,公告本公司對100%持有之子公司薩摩亞晟鈦新增背書保證達 「公開發行公司資金貸與及背書保證處理準則」第二十五條 第一項第四款標準。
20,3229,晟鈦,105/11/14,17:29:57,公告董事會通過擬處分本公司100%持股之子公司 「晟鈦興業有限公司」全部股權
21,3229,晟鈦,105/11/21,15:44:25,更正本公司105年10月營業收入公告資訊
22,3229,晟鈦,105/12/30,15:42:34,公告本公司對100%持有之子公司薩摩亞晟鈦新增背書保證達「公開 發行公司資金貸與及背書保證處理準則」第二十五條第一項第四款 標準。
