,公司代號,公司名稱,發言日期,發言時間,主旨
0,3266,昇陽,101/03/01,22:52:24,公告本公司董事會決議現金增資發行新股之認股基準日等相關事宜
1,3266,昇陽,101/03/08,18:44:14,(補充)公告本公司董事會決議現金增資發行新股之認股基準 日等相關事宜
2,3266,昇陽,101/03/19,13:45:12,(補充)公告本公司董事會決議現金增資發行新股之認股基準 日等相關事宜
3,3266,昇陽,101/03/20,08:59:53,公告本公司現金增資託代收價款及存儲專戶銀行合約簽定事宜 日等相關事宜
4,3266,昇陽,101/03/27,18:32:57,公告本公司董事會決議發放現金股利
5,3266,昇陽,101/03/27,18:37:59,公告召開本公司101年度股東常會
6,3266,昇陽,101/04/03,18:09:04,公告本公司現金增資全體董監事放棄認購股數達得認購股數二 分之一以上，並洽特定人認購事宜
7,3266,昇陽,101/04/03,18:09:46,本公司現金增資催繳公告
8,3266,昇陽,101/06/15,16:36:51,公告本公司101年股東常會重要決議事項
9,3266,昇陽,101/06/28,19:48:49,公告本公司董事會決議通過除息基準日相關事宜
10,3266,昇陽,101/09/20,18:12:06,公告本公司董事會決議與昇陽建設企業股份有限公司合併案
11,3266,昇陽,101/09/20,18:25:35,公告本公司董事會決議召開股東臨時會
12,3266,昇陽,101/09/20,18:26:58,公告本公司董事會決議發行新股參與合併事宜
13,3266,昇陽,101/11/09,18:51:25,公告本公司101年第一次股東臨時會重要決議事項
14,3266,昇陽,101/11/09,21:18:27,公告本公司101年第一次股東臨時會增選董事一席當選名單， 董事變動已達1/3
15,3266,昇陽,101/11/16,14:53:58,本公司股東臨時會通過本公司與昇陽建設企業股份有限公司 合併案，特此對債權人公告
