,公司代號,公司名稱,發言日期,發言時間,主旨
0,3266,昇陽,102/01/29,17:52:55,公告本公司董事會決議變更合併基準日暨合併增資發行新股 基準日
1,3266,昇陽,102/03/20,20:19:28,公告本公司法人董事改派代表人
2,3266,昇陽,102/03/20,20:19:56,公告本公司法人董事改派代表人
3,3266,昇陽,102/03/21,22:01:31,公告本公司法人董事依法自動解任事宜，董事變動已達1/3
4,3266,昇陽,102/03/21,22:02:01,公告本公司董事長異動
5,3266,昇陽,102/03/21,22:02:19,公告本公司監察人辭任
6,3266,昇陽,102/03/21,22:02:39,公告本公司發言人、代理發言人、財務主管、會計主管、 內部稽核主管異動
7,3266,昇陽,102/03/21,22:03:10,公告本公司董事會決議不分派股利
8,3266,昇陽,102/03/21,22:03:25,公告本公司召開102年度股東常會
9,3266,昇陽,102/03/21,22:03:39,公告本公司董事會決議通過更名全面換票計畫相關事宜
10,3266,昇陽,102/03/21,22:05:27,依公開發行公司資金貸與及背書保證處理準則第二十五條第一項 規定辦理公告
11,3266,昇陽,102/03/25,12:44:46,澄清102年3月23日工商時報B1版有關本公司之報導
12,3266,昇陽,102/03/27,17:10:17,本公司有價證券近期多次達公佈注意交易資訊標準，故公告 相關訊息，以利投資人區別暸解
13,3266,昇陽,102/04/08,16:22:58,公告本公司名稱由「昇陽開發股份有限公司」更名為「昇陽 建設企業股份有限公司」
14,3266,昇陽,102/04/09,13:37:47,公告本公司名稱由「昇陽開發股份有限公司」更名為「昇陽 建設企業股份有限公司」
15,3266,昇陽,102/04/10,13:31:55,公告本公司名稱由「昇陽開發股份有限公司」更名為「昇陽 建設企業股份有限公司」
16,3266,昇陽,102/04/10,17:11:52,說明本公司合併後之營收公告事項
17,3266,昇陽,102/04/11,20:03:56,公告本公司名稱由「昇陽開發股份有限公司」更名為「昇陽 建設企業股份有限公司」
18,3266,昇陽,102/04/12,13:56:56,公告本公司名稱由「昇陽開發股份有限公司」更名為「昇陽 建設企業股份有限公司」
19,3266,昇陽,102/04/15,15:39:14,公告本公司名稱由「昇陽開發股份有限公司」更名為「昇陽 建設企業股份有限公司」
20,3266,昇陽,102/04/16,13:29:11,公告本公司名稱由「昇陽開發股份有限公司」更名為「昇陽 建設企業股份有限公司」
21,3266,昇陽,102/04/17,13:42:23,公告本公司名稱由「昇陽開發股份有限公司」更名為「昇陽 建設企業股份有限公司」
22,3266,昇陽,102/04/18,12:25:22,澄清102年4月18日工商時報B4版有關本公司之報導
23,3266,昇陽,102/04/18,13:31:40,公告本公司名稱由「昇陽開發股份有限公司」更名為「昇陽 建設企業股份有限公司」
24,3266,昇陽,102/04/19,15:35:28,公告本公司名稱由「昇陽開發股份有限公司」更名為「昇陽 建設企業股份有限公司」
25,3266,昇陽,102/04/22,17:24:48,公告本公司名稱由「昇陽開發股份有限公司」更名為「昇陽 建設企業股份有限公司」
26,3266,昇陽,102/04/23,13:30:50,公告本公司名稱由「昇陽開發股份有限公司」更名為「昇陽 建設企業股份有限公司」
27,3266,昇陽,102/04/24,14:50:49,公告本公司名稱由「昇陽開發股份有限公司」更名為「昇陽 建設企業股份有限公司」
28,3266,昇陽,102/04/25,17:49:43,公告本公司名稱由「昇陽開發股份有限公司」更名為「昇陽 建設企業股份有限公司」
29,3266,昇陽,102/04/26,14:45:07,公告本公司名稱由「昇陽開發股份有限公司」更名為「昇陽 建設企業股份有限公司」
30,3266,昇陽,102/04/29,13:30:21,公告本公司名稱由「昇陽開發股份有限公司」更名為「昇陽 建設企業股份有限公司」
31,3266,昇陽,102/04/30,14:02:13,公告本公司名稱由「昇陽開發股份有限公司」更名為「昇陽 建設企業股份有限公司」
32,3266,昇陽,102/05/01,13:21:42,公告本公司名稱由「昇陽開發股份有限公司」更名為「昇陽 建設企業股份有限公司」
33,3266,昇陽,102/05/02,13:35:49,公告本公司名稱由「昇陽開發股份有限公司」更名為「昇陽 建設企業股份有限公司」
34,3266,昇陽,102/05/03,09:09:34,公告本公司名稱由「昇陽開發股份有限公司」更名為「昇陽 建設企業股份有限公司」
35,3266,昇陽,102/05/06,09:34:22,公告本公司名稱由「昇陽開發股份有限公司」更名為「昇陽 建設企業股份有限公司」
36,3266,昇陽,102/05/07,09:06:53,公告本公司名稱由「昇陽開發股份有限公司」更名為「昇陽 建設企業股份有限公司」
37,3266,昇陽,102/05/08,17:02:58,公告本公司名稱由「昇陽開發股份有限公司」更名為「昇陽 建設企業股份有限公司」
38,3266,昇陽,102/05/08,18:16:00,公告本公司董事會解除經理人競業禁止之限制
39,3266,昇陽,102/05/08,18:38:20,本公司擬赴大陸投資公告
40,3266,昇陽,102/05/09,10:58:18,公告本公司名稱由「昇陽開發股份有限公司」更名為「昇陽 建設企業股份有限公司」
41,3266,昇陽,102/05/10,13:33:18,公告本公司名稱由「昇陽開發股份有限公司」更名為「昇陽 建設企業股份有限公司」
42,3266,昇陽,102/05/13,15:26:45,公告本公司名稱由「昇陽開發股份有限公司」更名為「昇陽 建設企業股份有限公司」
43,3266,昇陽,102/05/14,09:03:21,公告本公司名稱由「昇陽開發股份有限公司」更名為「昇陽 建設企業股份有限公司」
44,3266,昇陽,102/05/15,08:58:08,公告本公司名稱由「昇陽開發股份有限公司」更名為「昇陽 建設企業股份有限公司」
45,3266,昇陽,102/05/16,18:51:48,公告本公司名稱由「昇陽開發股份有限公司」更名為「昇陽 建設企業股份有限公司」
46,3266,昇陽,102/05/17,08:59:46,公告本公司名稱由「昇陽開發股份有限公司」更名為「昇陽 建設企業股份有限公司」
47,3266,昇陽,102/05/20,11:20:44,公告本公司名稱由「昇陽開發股份有限公司」更名為「昇陽 建設企業股份有限公司」
48,3266,昇陽,102/05/21,15:13:45,公告本公司名稱由「昇陽開發股份有限公司」更名為「昇陽 建設企業股份有限公司」
49,3266,昇陽,102/05/21,19:40:47,代子公司新東陽營造股份有限公司公告董事會決議股利分配案
50,3266,昇陽,102/05/21,19:47:05,代子公司新東陽營造股份有限公司公告召開102年股東常會
51,3266,昇陽,102/05/22,14:40:50,公告本公司名稱由「昇陽開發股份有限公司」更名為「昇陽 建設企業股份有限公司」
52,3266,昇陽,102/05/23,10:11:04,公告本公司名稱由「昇陽開發股份有限公司」更名為「昇陽 建設企業股份有限公司」
53,3266,昇陽,102/05/24,15:57:25,公告本公司名稱由「昇陽開發股份有限公司」更名為「昇陽 建設企業股份有限公司」
54,3266,昇陽,102/05/27,10:16:55,公告本公司名稱由「昇陽開發股份有限公司」更名為「昇陽 建設企業股份有限公司」
55,3266,昇陽,102/05/28,09:11:21,公告本公司名稱由「昇陽開發股份有限公司」更名為「昇陽 建設企業股份有限公司」
56,3266,昇陽,102/05/29,09:03:42,公告本公司名稱由「昇陽開發股份有限公司」更名為「昇陽 建設企業股份有限公司」
57,3266,昇陽,102/05/30,11:42:03,公告本公司名稱由「昇陽開發股份有限公司」更名為「昇陽 建設企業股份有限公司」
58,3266,昇陽,102/05/30,22:09:25,代子公司新東陽營造股份有限公司公告董事會決議更正股利分配案
59,3266,昇陽,102/05/30,22:17:30,代子公司新東陽營造股份有限公司公告更正102年股東常會議案
60,3266,昇陽,102/05/30,22:28:37,代子公司新東陽營造股份有限公司公告董事會決議盈餘暨 法定盈餘公積轉增資發行新股
61,3266,昇陽,102/05/31,10:01:49,公告本公司名稱由「昇陽開發股份有限公司」更名為「昇陽 建設企業股份有限公司」
62,3266,昇陽,102/06/03,11:07:14,公告本公司名稱由「昇陽開發股份有限公司」更名為「昇陽 建設企業股份有限公司」
63,3266,昇陽,102/06/04,09:17:37,公告本公司名稱由「昇陽開發股份有限公司」更名為「昇陽 建設企業股份有限公司」
