,公司代號,公司名稱,發言日期,發言時間,主旨
0,3296,勝德,106/01/03,14:13:15,公告本公司研發主管異動
1,3296,勝德,106/01/23,17:48:48,公告本公司第六次買回庫藏股相關資訊
2,3296,勝德,106/02/17,15:53:04,公告本公司買回庫藏股數量累積達已發行股份總數百分之二
3,3296,勝德,106/03/01,17:58:29,公告本公司買回庫藏股數量累積達已發行股份總數百分之四
4,3296,勝德,106/03/06,16:24:10,公告本公司第六次買回股份於期間內執行完畢
5,3296,勝德,106/03/13,16:56:46,董事會決議召開一○六年股東常會日期及相關事宜
6,3296,勝德,106/03/13,17:00:49,董事會決議股利分派
7,3296,勝德,106/03/13,17:01:54,公告本公司董事會通過105年度員工酬勞及董監酬勞分派案
8,3296,勝德,106/03/13,17:08:51,本公司配合會計師事務所內部輪調變更會計師
9,3296,勝德,106/03/13,18:19:34,公告本公司董事會補行委任薪資報酬委員會委員
10,3296,勝德,106/03/20,18:18:40,澄清聯合晚報報導
11,3296,勝德,106/05/08,18:13:03,公告本公司董事會決議註銷庫藏股減資事宜
12,3296,勝德,106/05/19,16:52:45,公告本公司辦理庫藏股註銷減資變更登記完成
13,3296,勝德,106/06/14,13:56:18,公告本公司106年股東常會重要決議事項
14,3296,勝德,106/07/07,15:52:44,係因本公司有價證券於集中市場有異常交易情形，故公布 基本資料及相關財務業務等重大訊息，以利投資人區別了解。
15,3296,勝德,106/07/20,14:02:14,公告修正本公司105年年報部分內容
16,3296,勝德,106/08/07,17:08:21,本公司董事會決議除息相關事項公告
17,3296,勝德,106/09/21,15:29:14,公告本公司受邀參加凱基證券舉辦之法人說明會。
