,公司代號,公司名稱,發言日期,發言時間,主旨
0,3305,昇貿,108/03/25,17:17:29,本公司董事會決議召開108年股東常會及相關事宜公告
1,3305,昇貿,108/03/25,17:17:51,董事會決議股利分派
2,3305,昇貿,108/03/25,17:18:11,公告本公司董事會決議庫藏股註銷暨訂定減資基準日
3,3305,昇貿,108/03/25,17:18:32,本公司董事會通過擬向關係人取得不動產
4,3305,昇貿,108/04/19,16:13:59,補充公告本公司向關係人取得不動產
5,3305,昇貿,108/04/30,16:38:21,公告本公司辦理庫藏股註銷減資變更登記完成
6,3305,昇貿,108/04/30,16:38:55,公告本公司會計及財務主管暨代理發言人異動
7,3305,昇貿,108/05/07,15:45:43,公告本公司會計及財務主管異動
8,3305,昇貿,108/05/07,15:46:21,公告本公司董事會決議通過擬處分桃園市觀音區工業二路 12-1號土地及廠房相關事宜
9,3305,昇貿,108/05/21,16:32:24,代子公司昇貿建設開發股份有限公司公告取得土地及其建造執照
10,3305,昇貿,108/05/27,14:50:25,更正本公司108年1月份~108年4月份之背書保證申報資訊及 補更正108年第一季合併財務報告附註揭露
11,3305,昇貿,108/05/31,15:04:30,(補充公告)代子公司昇貿建設開發股份有限公司公告取得土地鑑價 報告
12,3305,昇貿,108/06/19,15:59:46,公告本公司108年股東常會重要決議事項
13,3305,昇貿,108/06/19,16:00:28,公告本公司108年度股東常會改選董事
14,3305,昇貿,108/06/19,16:00:50,公告本公司108年股東常會通過解除董事競業禁止之限制案
15,3305,昇貿,108/06/19,16:01:20,公告本公司董事會選任董事長
16,3305,昇貿,108/06/19,16:01:45,公告本公司第二屆審計委員會成員
17,3305,昇貿,108/06/19,16:02:02,公告本公司第四屆薪酬委員會成員
18,3305,昇貿,108/07/01,15:55:37,公告董事會決議配息基準日
19,3305,昇貿,108/07/15,15:09:07,更正本公司107年12月份之背書保證申報資訊及 補更正107年度合併財務報告附註揭露
20,3305,昇貿,108/08/21,15:36:06,更正關係人交易申報數
21,3305,昇貿,108/11/08,16:35:34,公告本公司董事會決議庫藏股註銷暨訂定減資基準日
22,3305,昇貿,108/12/23,15:40:29,公告本公司召開法人說明會
23,3305,昇貿,108/12/31,16:17:58,公告本公司辦理庫藏股註銷減資變更登記完成
