,公司代號,公司名稱,發言日期,發言時間,主旨
0,3311,閎暉,100/01/06,14:06:23,閎暉實業自結2010年12月全球合併營收達新台幣12.2億元 全年全球合併營收達新台幣138.4億元 年成長率28%
1,3311,閎暉,100/01/20,11:28:34,澄清100/01/20經濟日報C4版報導
2,3311,閎暉,100/02/10,13:59:47,閎暉實業自結2011年1月全球合併營收達新台幣10.6億元
3,3311,閎暉,100/03/07,14:07:16,本公司受邀參加花旗證券舉辦 Citi Taiwan Investor Conference 法人說明會
4,3311,閎暉,100/03/07,14:07:26,閎暉實業自結2011年2月全球合併營收達新台幣10.3億元
5,3311,閎暉,100/03/11,16:41:29,日本強震對本公司並未造成影響
6,3311,閎暉,100/03/14,13:55:59,本公司受邀參加美林證券與交易所合辦之「2011台灣 投資論壇」
7,3311,閎暉,100/03/22,16:45:02,閎暉公司董事會通過九十九年度財務報表
8,3311,閎暉,100/03/22,16:45:12,董事會決議召開100年股東常會公告
9,3311,閎暉,100/03/22,16:45:21,閎暉實業九十九年度每股稅後盈餘為新台幣8.33元
10,3311,閎暉,100/04/07,14:51:49,閎暉實業自結2011年3月全球合併營收達新台幣10.6億元
11,3311,閎暉,100/04/26,16:31:18,閎暉公司董事會通過一○○年第一季財務報表
12,3311,閎暉,100/04/26,16:31:33,本公司董事會決議發放股利
13,3311,閎暉,100/04/26,16:31:43,本公司董事會決議增資發行新股
14,3311,閎暉,100/04/26,16:31:56,閎暉實業一百年度第一季每股稅後盈餘為新台幣1.53元
15,3311,閎暉,100/05/06,17:11:48,閎暉實業自結2011年4月全球合併營收達新台幣6.7億元
16,3311,閎暉,100/05/16,16:06:43,代重要子公司公告董事會決議盈餘分配案
17,3311,閎暉,100/05/16,16:06:55,配合(100)基秘字第046號函，公告更正本公司99年12月 及100年1月之衍生性商品交易資訊。
18,3311,閎暉,100/06/08,14:03:23,閎暉實業自結2011年5月全球合併營收達新台幣8.3億元
19,3311,閎暉,100/06/10,13:31:33,本公司100年股東常會重要決議事項
20,3311,閎暉,100/07/05,13:49:18,閎暉實業自結2011年6月全球合併營收達新台幣10.2億 元，較上月成長23%
21,3311,閎暉,100/07/13,15:40:10,公告本公司100年除權除息基準日
22,3311,閎暉,100/07/13,15:41:27,大陸地區投資業經董事會通過
23,3311,閎暉,100/08/03,10:42:57,澄清100/08/03自由時報C1版報導
24,3311,閎暉,100/08/04,13:46:49,閎暉實業自結2011年7月全球合併營收達新台幣12.2億 元，較上月成長19%
25,3311,閎暉,100/08/25,15:48:09,閎暉公司董事會通過一○○年上半年度財務報表
26,3311,閎暉,100/08/25,15:48:27,閎暉實業一百年度上半年每股稅後盈餘為新台幣2.78元
27,3311,閎暉,100/08/30,13:53:40,澄清100/08/30經濟日報C2版報導
28,3311,閎暉,100/09/02,14:19:13,本公司受邀參加美林證券舉辦之海外法人說明會
29,3311,閎暉,100/09/06,13:51:10,閎暉實業自結2011年8月全球合併營收達新台幣12.9億 元，較上月成長6%
30,3311,閎暉,100/09/15,14:06:32,本公司受邀參加臺灣證券交易所股份有限公司所與瑞士信貸 股份有限公司共同舉辦「2011亞洲科技論壇」
31,3311,閎暉,100/10/06,14:13:08,閎暉實業自結2011年9月全球合併營收達新台幣13.3億 元，較上月成長3%
32,3311,閎暉,100/10/24,16:59:38,閎暉公司董事會通過一○○年前三季財務報表
33,3311,閎暉,100/10/24,17:00:01,本公司董事會通過庫藏股註銷減資案
34,3311,閎暉,100/10/24,17:00:10,閎暉實業一百年度前三季每股稅後盈餘為新台幣5.38元
35,3311,閎暉,100/10/24,17:00:19,本公司董事會決議設置薪資報酬委員會並委任薪資報酬 委員會委員
36,3311,閎暉,100/11/03,11:30:45,澄清蘋果日報B4版報導
37,3311,閎暉,100/11/07,14:15:20,閎暉實業自結2011年10月全球合併營收達新台幣13億元
38,3311,閎暉,100/11/07,16:26:19,澄清中央網路報報導
39,3311,閎暉,100/12/06,13:52:31,閎暉實業自結2011年11月全球合併營收達新台幣13.4億元
40,3311,閎暉,100/12/21,12:01:58,公告本公司庫藏股註銷辦理減資變更登記完成
