,公司代號,公司名稱,發言日期,發言時間,主旨
0,3321,同泰,106/01/13,17:17:35,更正本公司105年12月資金貸與金額
1,3321,同泰,106/01/13,17:20:14,更正1051229- 代子公司同泰電子(泰州)有限公司公告依公開發行公司資金貸與 及背書保證處理準則第二十二條第一項第二款規定辦理
2,3321,同泰,106/03/28,15:07:26,公告本公司董事會決議106年股東常會召開有關事項
3,3321,同泰,106/03/28,15:07:49,董事會決議股利分派
4,3321,同泰,106/03/28,15:08:13,董事會決議申請庫藏股買回基本資料申報
5,3321,同泰,106/03/28,15:16:30,更正董事會決議申請庫藏股買回基本資料申報(董事會聲明書出席 董事人數)
6,3321,同泰,106/05/11,18:01:29,公告本公司辦理現金增資發行新股之相關發行條件
7,3321,同泰,106/05/11,18:02:20,公告本公司董事會決議發行無擔保轉換公司債
8,3321,同泰,106/05/26,18:25:08,公告本公司第二次買回本公司股份期間屆滿及執行情形
9,3321,同泰,106/06/28,13:39:26,公告本公司106年股東常會重要決議事項
10,3321,同泰,106/06/28,13:40:21,公告本公司106年股東常會補選董事一名
11,3321,同泰,106/06/28,13:40:55,公告本公司股東常會通過解除董事競業禁止之限制
12,3321,同泰,106/06/28,13:41:16,公告本公司法人董事代表人辭任
13,3321,同泰,106/07/04,16:21:35,係因本公司有價證券於集中交易市場達公布注意交易資訊標準， 故公布相關財務業務等重大訊息，以利投資人區別瞭解。
14,3321,同泰,106/07/05,10:32:21,澄清106年07月05日工商時報B5版報導
15,3321,同泰,106/07/21,15:15:13,係因本公司有價證券於集中交易市場達公布注意交易資訊標準， 故公布相關財務業務等重大訊息，以利投資人區別瞭解。
16,3321,同泰,106/07/21,15:18:32,公告修正本公司105年度年報部分內容
17,3321,同泰,106/12/11,18:03:59,受邀國票綜合證券舉辦法人座談會
18,3321,同泰,106/12/13,17:21:46,公告本公司更正106年11月份資金貸與明細表
19,3321,同泰,106/12/14,11:26:23,澄清有關106/12/13傳播媒體報導本公司之資訊
20,3321,同泰,106/12/14,16:53:01,係因本公司有價證券於集中交易市場達公布注意交易資訊標準， 故公布相關財務業務等重大訊息，以利投資人區別瞭解。
21,3321,同泰,106/12/25,16:42:23,本公司董事會決議資本支出預算案
22,3321,同泰,106/12/25,16:42:58,公告新增資金貸與餘額達公告標準，依「公開發行公 司資金貸與及背書保證處理準則」第22條第1項第1款 之規定辦理
23,3321,同泰,106/12/25,16:43:16,"代子公司同揚光電(江蘇)有限公司公告依 公開發行公司資金貸與到期展延人民幣 2,300萬元及增加人民幣1,700萬元"
24,3321,同泰,106/12/25,16:43:33,代子公司同泰電子(泰州)有限公司公告 依公開發行公司資金貸與到期展延 人民幣500萬元
