,公司代號,公司名稱,發言日期,發言時間,主旨
0,3376,新日興,109/01/29,13:17:23,代子公司欣日興精密電子有限公司公告春節復工時間延至2月10日
1,3376,新日興,109/02/06,14:08:29,本公司受邀參加元富證券舉辦之「2020年2月台股企業日」
2,3376,新日興,109/03/10,17:42:41,本公司董事會通過108年度財務報表
3,3376,新日興,109/03/10,17:43:11,公告本公司董事會決議召開109年股東常會相關事宜
4,3376,新日興,109/04/29,17:57:25,本公司109年第一季合併財務報表提報董事會
5,3376,新日興,109/04/29,17:57:47,補充公告本公司召開109年股東常會相關事宜
6,3376,新日興,109/04/29,18:02:23,通過本公司董事會決議辦理現金增資發行普通股
7,3376,新日興,109/04/29,18:06:00,本公司董事會決議股利分派 事宜
8,3376,新日興,109/05/22,10:38:36,本公司受邀參加花旗證券舉辦之「Regional Tech Conference 2020」，就公司營運概況等說明。
9,3376,新日興,109/06/08,15:30:12,本公司受邀參加證交所與元富證券舉辦之線上法說會「A Post-Pandemic World: Taiwan Market Outlook」就公司營運概況等說明。
10,3376,新日興,109/06/18,17:22:27,本公司109年股東常會重要決議事項
11,3376,新日興,109/06/18,17:22:44,公告本公司決議除息基準日相關事宜
12,3376,新日興,109/06/18,17:22:57,公告本公司決議現金增資認股基準日事宜
13,3376,新日興,109/07/06,17:20:25,公告本公司決議現金增資認股基準日事宜(補充公告發行 價格、委託代收股款銀行及存儲專戶銀行)
14,3376,新日興,109/08/04,10:26:49,澄清109年8月4日經濟日報C3版媒體報導
15,3376,新日興,109/08/07,17:00:49,本公司109年第二季合併財務報表提報董事會
16,3376,新日興,109/08/18,14:46:10,本公司受邀參加花旗證券舉辦之線上法說會「Taiwan Corporate Day 2020」，就公司營運概況等說明。
17,3376,新日興,109/08/25,12:25:15,澄清：「新日興電子股份有限公司」現增洽特定人繳款通知書 與本公司無關
18,3376,新日興,109/08/26,13:44:21,本公司受邀參加花旗證券舉辦之線上法說會，就公司營運概況等說明
19,3376,新日興,109/08/28,17:21:12,公告本公司現金增資收足股款暨增資基準日
20,3376,新日興,109/10/13,17:46:27,本公司受邀參加元富證券外資法人線上企業日「Taiwan Tech Corporate Day」，就公司營運概況等說明。
