,公司代號,公司名稱,發言日期,發言時間,主旨
0,3406,玉晶光,105/01/04,11:42:12,【澄清】105/01/01 經濟日報A6版
1,3406,玉晶光,105/03/29,15:01:36,公告本公司董事會決議召開一○四年股東常會事宜
2,3406,玉晶光,105/03/29,15:05:43,代重要子公司玉晶光電(廈門)有限公司公告本公司資產減損
3,3406,玉晶光,105/03/29,15:17:55,公告本公司董事會決議104年度不發放股利
4,3406,玉晶光,105/03/29,15:19:29,"代子公司GENIUS ELECTRONIC OPTICAL CO,LTD.(BVI) 依據公開發行公司資金貸與及背書保證處理準則 第二十二條第一項第三款規定辦理"
5,3406,玉晶光,105/03/29,15:19:45,代子公司玉晶光電(廈門)有限公司依據公開發行公司 資金貸與及背書保證處理準則第二十二條第一項第三款 規定公告
6,3406,玉晶光,105/03/29,15:20:07,代子公司玉晶光電(廈門)有限公司 依據公開發行公司資金貸與及背書保證處理準則 第二十二條第一項第三款規定辦理
7,3406,玉晶光,105/03/29,16:04:39,【更正公告】公告本公司董事會決議召開一○四年股東常會事宜
8,3406,玉晶光,105/03/30,10:11:48,【更正公告】公告本公司董事會決議召開一○五年股東常會事宜
9,3406,玉晶光,105/05/11,15:24:44,依據公開發行公司資金貸與及背書保證處理準則 第二十二條第一項第三款規定辦理
10,3406,玉晶光,105/05/11,15:25:09,代子公司GLOBALIZE INTERNATIONAL LTD. 依據公開發行公司資金貸與及背書保證處理準則 第二十二條第一項第三款規定辦理
11,3406,玉晶光,105/05/11,15:25:27,"代子公司GENIUS ELECTRONIC OPTICAL CO,LTD. 依據公開發行公司資金貸與及背書保證處理準則 第二十二條第一項第三款規定辦理"
12,3406,玉晶光,105/05/11,15:25:54,代子公司玉晶光電(廈門)有限公司 依據公開發行公司資金貸與及背書保證處理準則 第二十二條第一項第三款規定辦理
13,3406,玉晶光,105/05/31,16:35:30,公告本公司105年4月份自結財務報表中高流動資產、短期借款、 一年內到期之長期負債及長期借款等財務資訊
14,3406,玉晶光,105/06/08,10:32:51,【澄清】105/06/07 時報資訊新聞
15,3406,玉晶光,105/06/27,15:00:24,公告本公司一○五年股東常會重要決議事項
16,3406,玉晶光,105/06/27,15:00:56,公告本公司一○五年股東常會全面改選董事及監察人當選名單
17,3406,玉晶光,105/06/27,15:01:24,告105年股東會決議解除董事競業禁止限制案
18,3406,玉晶光,105/06/27,15:01:42,公告本公司董事長改選
19,3406,玉晶光,105/06/30,15:17:53,公告本公司105年5月份自結財務報表中高流動資產、短期借款、 一年內到期之長期負債及長期借款等財務資訊
20,3406,玉晶光,105/07/29,16:42:51,公告本公司105年6月份自結財務報表中高流動資產、短期借款、 一年內到期之長期負債及長期借款等財務資訊
21,3406,玉晶光,105/08/12,16:14:08,公告本公司董事會決議委任第三屆薪酬委員會委員
22,3406,玉晶光,105/08/12,16:15:52,"代子公司GENIUS ELECTRONIC OPTICAL CO,LTD.(BVI) 依據公開發行公司資金貸與及背書保證處理準則 第二十二條第一項第三款規定辦理"
23,3406,玉晶光,105/08/12,16:16:09,"代子公司ELECTRONIC OPTICAL CO,LTD.(BVI) 依據公開發行公司資金貸與及背書保證處理準則 第二十二條第一項第三款規定辦理"
24,3406,玉晶光,105/08/12,16:16:27,"代子公司GENIUS ELECTRONIC OPTICAL CO,LTD.(BVI) 依據公開發行公司資金貸與及背書保證處理準則 第二十二條第一項第三款規定辦理"
25,3406,玉晶光,105/08/25,15:11:27,公告本公司105年7月份自結財務報表中高流動資產、短期借款、 一年內到期之長期負債及長期借款等財務資訊
26,3406,玉晶光,105/09/23,16:00:55,公告本公司105年8月份自結財務報表中高流動資產、短期借款、 一年內到期之長期負債及長期借款等財務資訊
27,3406,玉晶光,105/10/11,16:59:46,公告變更本公司研發主管
28,3406,玉晶光,105/10/28,16:50:22,公告本公司105年9月份自結財務報表中高流動資產、短期借款、 一年內到期之長期負債及長期借款等財務資訊
