,公司代號,公司名稱,發言日期,發言時間,主旨
0,3406,玉晶光,106/01/20,16:20:15,"因本公司有價證券於集中市場有異常交易情形,故依規定公 布相關財務業務等重大訊息,以利投資人區別瞭解。"
1,3406,玉晶光,106/01/24,15:39:00,公告本公司105年11月份自結財務報表中高流動資產、短期借款、 一年內到期之長期負債及長期借款等財務資訊
2,3406,玉晶光,106/01/24,17:04:29,【更正】公告本公司105年12月份自結財務報表中高流動資產、 短期借款、一年內到期之長期負債及長期借款等財務資訊
3,3406,玉晶光,106/02/20,15:49:25,說明本公司廈門集美廠區工安意外事件對本公司及集美廠 之財務業務無重大影響
4,3406,玉晶光,106/02/20,16:16:42,"因本公司有價證券於集中市場有異常交易情形,故依規定公 布相關財務業務等重大訊息,以利投資人區別瞭解。"
5,3406,玉晶光,106/02/23,16:32:22,公告本公司106年1月份自結財務報表中高流動資產、 短期借款、一年內到期之長期負債及長期借款等財務資訊
6,3406,玉晶光,106/03/21,16:17:28,"因本公司有價證券於集中市場有異常交易情形,故依規定公 布相關財務業務等重大訊息,以利投資人區別瞭解。"
7,3406,玉晶光,106/03/24,16:52:03,公告本公司106年2月份自結財務報表中高流動資產、 短期借款、一年內到期之長期負債及長期借款等財務資訊
8,3406,玉晶光,106/03/30,15:49:52,公告本公司董事會決議召開一○六年股東常會事宜
9,3406,玉晶光,106/03/30,15:52:24,董事會決議股利分派
10,3406,玉晶光,106/03/30,15:56:35,"代子公司GENIUS ELECTRONIC OPTICAL CO,LTD.(BVI) 依據公開發行公司資金貸與及背書保證處理準則 第二十二條第一項第三款規定辦理"
11,3406,玉晶光,106/03/30,15:56:55,代子公司玉晶光電(廈門)有限公司依據公開發行公司 資金貸與及背書保證處理準則第二十二條第一項第三款 規定辦理。
12,3406,玉晶光,106/03/30,15:57:18,代子公司玉晶光電(廈門)有限公司 依據公開發行公司資金貸與及背書保證處理準則 第二十二條第一項第三款規定辦理
13,3406,玉晶光,106/03/30,16:56:59,【澄清】106/03/30 經濟日報
14,3406,玉晶光,106/04/11,16:02:39,"因本公司有價證券於集中市場有異常交易情形,故依規定公 布相關財務業務等重大訊息,以利投資人區別瞭解。"
15,3406,玉晶光,106/04/18,16:06:27,"因本公司有價證券於集中市場有異常交易情形,故依規定公 布相關財務業務等重大訊息,以利投資人區別瞭解。"
