,公司代號,公司名稱,發言日期,發言時間,主旨
0,3413,京鼎,104/01/15,15:49:34,公告本公司暨子公司103年12月自結報表財務比率
1,3413,京鼎,104/02/13,15:44:50,公告本公司暨子公司104年01月自結報表財務比率
2,3413,京鼎,104/03/09,18:50:55,董事會決議股利分派
3,3413,京鼎,104/03/09,18:51:38,公告本公司董事會通過之重要議案
4,3413,京鼎,104/03/09,18:53:28,公告本公司董事會決議召開104年股東常會相關事宜
5,3413,京鼎,104/03/10,14:21:41,公告本公司取得會計師「內部控制制度審查報告」
6,3413,京鼎,104/03/13,11:54:37,公告本公司暨子公司104年02月自結報表財務比率
7,3413,京鼎,104/03/25,16:00:35,更補正本公司101年及102年度財報相關資訊
8,3413,京鼎,104/04/15,17:14:06,公告本公司暨子公司104年03月自結報表財務比率
9,3413,京鼎,104/05/13,16:24:17,公告本公司董事會通過之重要議案
10,3413,京鼎,104/05/13,16:27:40,公告本公司董事會決議辦理現金增資發行新股
11,3413,京鼎,104/05/15,16:33:22,公告本公司暨子公司104年04月自結報表財務比率
12,3413,京鼎,104/05/25,16:58:30,公告本公司104年股東常會重要決議事項
13,3413,京鼎,104/06/03,18:39:26,公告本公司董事會決議除息基準日相關事宜
14,3413,京鼎,104/06/03,18:40:35,本公司依公開發行公司資金貸與及背書保證處理準則 第二十五條第三款規定之公告
15,3413,京鼎,104/06/15,15:49:59,公告本公司暨子公司104年05月自結報表財務比率
16,3413,京鼎,104/06/30,10:46:07,澄清104年6月30日經濟日報C8版報導
17,3413,京鼎,104/07/01,14:41:21,公告本公司初次上市現金增資委託代收及存儲價款機構
18,3413,京鼎,104/07/03,15:53:25,公告本公司召開上市前業績發表會
19,3413,京鼎,104/07/08,11:30:47,澄清104年7月8日蘋果日報B3版及聯合報AA版報導
20,3413,京鼎,104/07/13,15:39:08,公告本公司股票初次上市前現金增資基準日及認股繳款期間
21,3413,京鼎,104/07/15,15:46:03,公告本公司暨子公司104年06月自結報表財務比率
22,3413,京鼎,104/07/16,15:44:55,公告本公司股務單位名稱、辦公處所及連絡電話
23,3413,京鼎,104/07/21,10:34:42,澄清104年7月21日經濟日報C8版報導
24,3413,京鼎,104/07/21,16:15:30,本公司股票即將終止興櫃交易並轉至證券交易所上市交易公告
25,3413,京鼎,104/07/21,16:15:51,公告本公司股票初次上市現金增資每股承銷價格
26,3413,京鼎,104/07/24,16:30:24,公告本公司辦理股票初次上市過額配售內容
27,3413,京鼎,104/07/24,16:30:52,本公司辦理股票初次上市前現金增資收足股款暨增資基準日
28,3413,京鼎,104/08/05,15:45:41,公告本公司掛牌首五日營業日穩定價格操作結果
29,3413,京鼎,104/08/05,15:46:03,公告本公司初次申請股票上市時所出具之承諾事項 暨其後續執行情形
30,3413,京鼎,104/08/12,16:49:15,本公司董事會決議對子公司昇鼎精密科技股份有限公司增資事宜
31,3413,京鼎,104/08/20,09:41:41,澄清經濟日報104年08月20日C5版報導
32,3413,京鼎,104/09/14,17:13:03,公告本公司召開法說會
33,3413,京鼎,104/11/12,17:45:49,代重要子公司公告Foxsemicon Integrated Technology (Shanghai) Inc.(富士邁半導體精密工業（上海）有限公司) 變更法人代表、董、監事及總經理
34,3413,京鼎,104/11/12,18:03:27,本公司依公開發行公司資金貸與及背書保證處理準則 第二十五條第三款、第四款規定之公告
35,3413,京鼎,104/12/09,16:35:09,本公司受邀參加福邦證券舉辦之「105年新科技應用產業論壇」
36,3413,京鼎,104/12/30,15:33:01,代重要子公司承鼎精密股份有限公司公告 法人董事改派代表人
