,公司代號,公司名稱,發言日期,發言時間,主旨
0,3416,融程電,105/01/19,15:09:53,代子公司昱融科技公告董事會決議辦理減資事宜
1,3416,融程電,105/01/29,13:42:28,董事會決議簡易合併昱融科技股份有限公司
2,3416,融程電,105/01/29,13:43:02,代子公司昱融科技公告董事會決議與融程電訊簡易合併
3,3416,融程電,105/03/09,18:31:49,融程電訊股份有限公司召開一○五年股東常會公告
4,3416,融程電,105/03/09,18:32:33,董事會決議股利分派
5,3416,融程電,105/03/09,18:33:22,本公司董事會通過一○四年度員工及董監事酬勞分配案
6,3416,融程電,105/05/27,18:25:48,一○五年股東常會重要決議事項
7,3416,融程電,105/05/27,18:27:16,一○五年股東常會全面改選本公司董事及監察人 (含獨立董事)案，董事變動已達1/3
8,3416,融程電,105/05/27,18:27:56,公告本公司薪酬委員會委員因董事全面改選，任期屆滿
9,3416,融程電,105/05/27,18:29:01,公告本公司105年股東常會通過解除新任董事競業禁止之限制
10,3416,融程電,105/06/07,19:49:59,公告本公司董事長續任案
11,3416,融程電,105/06/07,19:50:32,公告本公司總經理續任案
12,3416,融程電,105/06/07,19:51:14,公告本公司董事會決議委任第三屆薪酬委員會委員
13,3416,融程電,105/06/07,19:51:46,解除本公司總經理競業禁止之限制案
14,3416,融程電,105/06/07,19:52:44,公告本公司董事會決議之配息基準日
15,3416,融程電,105/08/12,14:39:42,本公司董事會決議發行105年度員工認股權憑證
16,3416,融程電,105/08/19,11:10:12,澄清有關經濟日報105年8月19日 C3版報導相關內容
17,3416,融程電,105/11/11,16:56:32,本公司105年11月11日董事會追認修正後員工認股權憑證 發行及認股辦法
18,3416,融程電,105/12/05,14:20:02,公告本公司於105年12月7日召開法人說明會
