,公司代號,公司名稱,發言日期,發言時間,主旨
0,3437,榮創,107/03/23,16:31:12,公告本公司董事會決議召開107年股東常會事宜
1,3437,榮創,107/05/11,16:49:35,董事會決議股利分派
2,3437,榮創,107/06/22,15:21:59,公告本公司一○七年股東常會重要決議
3,3437,榮創,107/08/09,17:04:38,公告本公司董事會決議一○七年除息基準日及現金股利發放日
4,3437,榮創,107/08/09,17:06:19,本公司董事會決議辦理註銷庫藏股並訂定減資基準日
5,3437,榮創,107/08/09,17:11:19,公告本公司董事長兼任執行長職務
6,3437,榮創,107/08/09,17:12:17,公告本公司總經理異動
7,3437,榮創,107/08/24,16:07:58,公告本公司註銷庫藏股辦理減資變更登記完成
8,3437,榮創,107/09/21,13:46:50,代重要子公司展晶科技(深圳)有限公司公告法人董事改派代表人
9,3437,榮創,107/09/21,13:47:45,代重要子公司展晶科技(深圳)有限公司公告董事長及總經理異動
10,3437,榮創,107/09/21,13:48:21,公告本公司重要營運主管異動
11,3437,榮創,107/11/08,15:27:22,公告本公司董事會決議竹南廠遷至湖口四維廠， 並結束竹南分公司業務。
12,3437,榮創,107/11/27,14:41:25,本公司受邀參加福邦證券舉辦之法人說明會
