,公司代號,公司名稱,發言日期,發言時間,主旨
0,3450,聯鈞,108/01/15,17:45:16,董事會決議召開108年股東常會
1,3450,聯鈞,108/03/22,17:40:57,補充公告董事會決議召開108年股東常會
2,3450,聯鈞,108/03/22,17:50:50,董事會決議107年股利分派
3,3450,聯鈞,108/05/09,16:55:51,本公司召開法人說明會
4,3450,聯鈞,108/06/06,16:32:54,本公司108年股東常會重要決議事項
5,3450,聯鈞,108/06/06,16:35:12,公告本公司改選第八屆董事及獨立董事。
6,3450,聯鈞,108/06/06,16:36:42,本公司第八屆董事會一致推舉鄭祝良先生續任董事長。
7,3450,聯鈞,108/06/06,16:39:37,本公司一0八年股東常會通過解除第八屆董事競業禁止之限制
8,3450,聯鈞,108/06/06,16:41:03,公告本公司董事會改選第二屆審計委員會之委員
9,3450,聯鈞,108/06/06,16:42:39,公告本公司董事會改選第四屆薪資報酬委員會之委員
10,3450,聯鈞,108/06/21,14:19:05,公告本公司除息基準日
11,3450,聯鈞,108/08/08,18:22:36,公告本公司原預定108年08月12日為現金股利發放日， 如因利奇馬颱風致08月09日停止上班， 現金股利發放日將順延至下一營業日。
12,3450,聯鈞,108/08/12,14:48:48,公告本公司原預定108年08月12日為現金股利發放日， 因受利奇馬颱風致08月09日停止上班，現金股利發放日順延 至108年8月13日。
