,公司代號,公司名稱,發言日期,發言時間,主旨
0,3481,群創,103/01/09,15:57:50,群創光電2013年12月合併營收新台幣324億元
1,3481,群創,103/01/24,17:59:49,本公司公告處分有價證券
2,3481,群創,103/01/29,11:33:48,公告本公司102年12月份自結合併財務報表中高流動資產、短 期借款及一年內到期之長期負債等財務資訊
3,3481,群創,103/02/10,15:10:16,群創光電2014年1月合併營收新台幣274億元
4,3481,群創,103/02/10,15:22:21,群創光電於103年2月14日下午2點召開2013年第四季線上法說會
5,3481,群創,103/02/11,11:43:12,說明經濟日報新聞內容
6,3481,群創,103/02/14,13:41:49,"群創光電2013年全年合併營收為新台幣4,227億元 稅後淨利為新台幣51億元"
7,3481,群創,103/02/17,17:01:39,公告本公司董事會決議現金增資發行新股
8,3481,群創,103/02/24,11:39:28,說明經濟日報新聞內容
9,3481,群創,103/02/27,18:57:20,公告本公司103年1月份自結合併財務報表中高流動資產、 短期借款及一年內到期之長期負債等財務資訊
10,3481,群創,103/02/27,19:46:56,針對歐盟執委會裁罰上訴案，歐盟法院判決結果之聲明
11,3481,群創,103/03/07,14:03:12,群創光電2014年2月合併營收新台幣249億元
12,3481,群創,103/03/18,17:52:01,本公司公告處分有價證券
13,3481,群創,103/03/21,18:36:34,本公司取得機器設備公告
14,3481,群創,103/03/24,17:54:08,本公司董事會決議召開103年股東常會
15,3481,群創,103/03/24,17:54:42,本公司董事會決議收買已發行之限制員工權利新股註銷減資 事宜
16,3481,群創,103/03/24,18:09:40,本公司取得機器設備公告
17,3481,群創,103/03/24,18:34:03,董事會決議股利分派
18,3481,群創,103/03/24,18:58:28,本公司取得機器設備公告
19,3481,群創,103/03/31,08:55:28,公告本公司103年2月份自結合併財務報表中高流動資產、 短期借款及一年內到期之長期負債等財務資訊
20,3481,群創,103/04/09,14:06:26,群創光電2014年3月合併營收新台幣373億元
21,3481,群創,103/04/11,16:55:43,本公司收買已發行之限制員工權利新股註銷減資變更登記完成
22,3481,群創,103/04/22,13:46:43,群創光電於103年5月6日下午2點召開2014年第一季線上法說會
23,3481,群創,103/04/30,13:41:56,公告本公司103年3月份自結合併財務報表中高流動資產、 短期借款及一年內到期之長期負債等財務資訊
24,3481,群創,103/05/05,18:06:13,本公司取得機器設備公告
25,3481,群創,103/05/06,13:42:01,群創光電2014年第一季EBITDA利潤率19.9% 稅後淨利為新台幣1.5億元
26,3481,群創,103/05/06,13:42:40,群創光電2014年4月合併營收新台幣382億元
27,3481,群創,103/05/06,14:42:59,公告本公司董事會決議不繼續辦理102年股東常會通過之私 募有價證券案
28,3481,群創,103/05/06,14:44:24,本公司董事會決議召開103年股東常會補充公告
29,3481,群創,103/05/06,14:45:46,本公司財務主管、代理發言人異動
30,3481,群創,103/05/06,14:46:36,公告本公司董事會決議擬向金管會申請延長本公司現金 增資發行新股之募集期間
31,3481,群創,103/05/06,15:25:43,本公司擬向關係人取得供營業用機器設備公告
32,3481,群創,103/05/13,18:13:40,本公司取得機器設備公告
33,3481,群創,103/05/26,18:26:41,本公司公告處分有價證券
34,3481,群創,103/05/28,18:21:09,代子公司南京群志光電有限公司公告取得資產及 群康科技（深圳）有限公司公告處分資產
35,3481,群創,103/05/30,16:16:21,公告本公司103年4月份自結合併財務報表中高流動資產、 短期借款及一年內到期之長期負債等財務資訊
36,3481,群創,103/06/04,17:50:21,公告本公司現金增資發行新股延長募集期間經主管機關核准
37,3481,群創,103/06/09,14:04:13,群創光電2014年5月合併營收新台幣363億元
38,3481,群創,103/06/09,17:24:56,本公司取得機器設備公告
