,公司代號,公司名稱,發言日期,發言時間,主旨
0,3504,揚明光,102/01/10,17:40:36,本公司民國一百零一年十二月營收報告
1,3504,揚明光,102/02/05,16:32:31,公告本公司召開法人說明會時間及地點
2,3504,揚明光,102/02/08,17:24:06,本公司民國一百零二年一月營收報告
3,3504,揚明光,102/02/26,19:21:18,公告本公司董事會決議對關係人捐贈事宜
4,3504,揚明光,102/02/26,19:22:01,公告本公司董事會決議解除經理人競業限制案
5,3504,揚明光,102/02/26,19:22:51,公告本公司董事會決議召開民國一百零二年股東常會
6,3504,揚明光,102/02/27,18:44:20,公告本公司召開法人說明會事宜
7,3504,揚明光,102/03/08,17:06:02,本公司民國一百零二年二月營收報告
8,3504,揚明光,102/03/29,18:21:48,公告本公司提出對天瀚科技股份有限公司訴訟事宜
9,3504,揚明光,102/04/10,17:07:50,本公司民國一百零二年三月營收報告
10,3504,揚明光,102/04/19,17:38:17,本公司民國一百零二年第一季營收報告
11,3504,揚明光,102/04/19,18:06:11,公告本公司董事會決議民國一百零一年度盈餘分派案
12,3504,揚明光,102/05/09,17:50:22,本公司民國一百零二年四月營收報告
13,3504,揚明光,102/06/10,17:21:55,本公司民國一百零二年五月營收報告
14,3504,揚明光,102/06/11,16:52:20,公告本公司民國一○二年度股東常會重要決議
15,3504,揚明光,102/06/11,17:00:28,公告本公司股東常會決議解除董事及其代表人競業限制案
16,3504,揚明光,102/06/21,16:52:36,公告本公司民國一百零二年配息基準日
17,3504,揚明光,102/07/10,17:41:07,本公司民國一百零二年六月營收報告
18,3504,揚明光,102/07/30,16:38:37,公告本公司召開法人說明會時間及地點
19,3504,揚明光,102/08/09,19:00:49,本公司民國一百零二年七月營收報告
20,3504,揚明光,102/08/09,19:01:15,公告本公司召開法人說明會事宜
21,3504,揚明光,102/09/09,18:19:30,本公司民國一百零二年八月營收報告
22,3504,揚明光,102/10/09,17:02:50,本公司民國一百零二年九月營收報告
23,3504,揚明光,102/10/29,17:55:08,本公司民國一百零二年第三季財務報告
24,3504,揚明光,102/10/29,17:55:25,公告本公司董事會通過經理人聘任案
25,3504,揚明光,102/10/29,17:55:38,公告本公司財務主管及發言人異動
26,3504,揚明光,102/11/08,17:07:59,本公司民國一百零二年十月營收報告
27,3504,揚明光,102/12/09,17:22:28,本公司民國一百零二年十一月營收報告
28,3504,揚明光,102/12/19,17:47:09,代子公司蘇州揚明光學有限公司公告總經理異動
29,3504,揚明光,102/12/19,17:47:38,代子公司昆山揚明光學有限公司公告總經理異動
