,公司代號,公司名稱,發言日期,發言時間,主旨
0,3518,柏騰,100/01/07,16:57:48,公告本公司99年12月自結合併營業收入
1,3518,柏騰,100/02/08,17:40:26,公告本公司100年01月自結合併營業收入
2,3518,柏騰,100/02/09,15:19:06,公告更正99年12月背書保證明細表中本公司對 MACRO SIGHT TECHNOLOGY LTD.背書保證資料中實際動支金額
3,3518,柏騰,100/02/11,17:36:24,公告本公司發言人異動
4,3518,柏騰,100/02/17,17:54:22,公告本公司董事會決議透過子公司精華國際投資有限公司 及柏霆(蘇州)光電科技有限公司間接投資大陸地區事業柏 霆(江蘇)光電科技有限公司
5,3518,柏騰,100/03/08,17:05:43,公告本公司100年02月自結合併營業收入
6,3518,柏騰,100/03/14,11:27:09,公告100年03月11日日本大地震對本公司財務及業務並無影響
7,3518,柏騰,100/03/25,17:34:18,公告本公司董事會決議召開一○○年度股東常會
8,3518,柏騰,100/03/25,17:35:25,公告本公司董事會通過九十九年度盈餘分配案
9,3518,柏騰,100/03/25,17:36:55,公告本公司董事會決議解除本公司經理人競業禁止之限制
10,3518,柏騰,100/03/25,18:32:02,公告本公司董事會決議透過第三地區轉投資 公司間接投資中國大陸重慶地區投資事業
11,3518,柏騰,100/03/25,18:32:26,公告本公司董事會決議透過第三地區轉投資 公司間接投資中國大陸四川地區投資事業
12,3518,柏騰,100/04/08,13:57:14,公告本公司100年03月自結合併營業收入
13,3518,柏騰,100/05/06,19:59:47,公告本公司100年04月自結合併營業收入
14,3518,柏騰,100/06/08,16:00:08,公告本公司100年05月自結合併營業收入
15,3518,柏騰,100/06/17,16:30:35,公告本公司100年股東常會重要決議
16,3518,柏騰,100/06/17,16:30:45,公告本公司股東會通過解除董事競業禁止之限制
17,3518,柏騰,100/06/23,18:33:04,公告本公司董事會決議除息基準日
18,3518,柏騰,100/06/23,18:33:22,本公司董事會決議發行一○○年度國內第一次無擔保轉換公司債
19,3518,柏騰,100/06/23,19:44:51,更正公告本公司發行國內第一次無擔保轉換公司債
20,3518,柏騰,100/07/08,16:27:21,公告本公司100年06月自結合併營業收入
21,3518,柏騰,100/07/18,18:46:14,本公司董事會通過第1、2及3次買回庫藏股辦理註銷減資
22,3518,柏騰,100/07/21,18:34:41,公告修正本公司99年度年報資料(股東會後修訂本)
23,3518,柏騰,100/07/22,19:43:04,公告本公司註銷庫藏股減資辦理變更登記完成事宜
24,3518,柏騰,100/08/08,17:14:42,公告本公司100年07月自結合併營業收入
25,3518,柏騰,100/08/16,17:37:34,公告本公司董事會決議向經濟部投審會撤銷 柏騰(泰州)光電科技有限公司投資案
26,3518,柏騰,100/08/16,17:37:48,公告本公司董事會決議解除本公司經理人競業禁止之限制
27,3518,柏騰,100/08/17,14:49:00,本公司及子公司對柏騰(昆山)光電科技有限公司背書保證餘額達 新臺幣一千萬元以上且對其背書保證、長期投資及資金貸與餘額 合計數達該本公司最近期財務報表淨值百分之三十以上
28,3518,柏騰,100/08/17,14:49:13,本公司新增背書保證金額達新臺幣三千萬元以上且達本公司最近 期財務報表淨值百分之五以上
29,3518,柏騰,100/08/22,16:52:01,"代子公司Macro Sight International Co., Ltd.公告新增資金 貸與金額達新臺幣一千萬元以上且達本公司最近期財務報表淨值 百分之二以上"
30,3518,柏騰,100/09/08,16:00:38,公告本公司100年08月自結合併營業收入
31,3518,柏騰,100/10/07,14:49:57,公告本公司100年09月自結合併營業收入
32,3518,柏騰,100/10/13,11:26:43,更正100年9月份衍生性商品交易資訊
33,3518,柏騰,100/11/02,19:17:32,公告本公司董事會通過延長國內第一次無擔保轉換 公司債募集期間
34,3518,柏騰,100/11/08,15:11:24,公告本公司100年10月自結合併營業收入
35,3518,柏騰,100/12/08,14:39:20,公告本公司100年11月自結合併營業收入
36,3518,柏騰,100/12/08,15:55:32,"代子公司MACRO SIGHT INTERNATIONAL CO., LTD.公告新增資金貸 與金額達本公司最近期淨值百分之二。"
37,3518,柏騰,100/12/22,18:38:46,本公司董事會決議成立薪資報酬委員會
