,公司代號,公司名稱,發言日期,發言時間,主旨
0,3530,晶相光,100/01/06,15:56:09,公告本公司法人董事及其代表人解任
1,3530,晶相光,100/01/06,15:57:00,公告本公司董事發生變動已達三分之一
2,3530,晶相光,100/01/06,15:58:27,公告本公司監察人辭任
3,3530,晶相光,100/01/13,15:50:48,公告董事會決議召開臨時股東會
4,3530,晶相光,100/02/18,10:41:42,公告本公司財務主管、會計主管異動
5,3530,晶相光,100/03/04,11:43:07,公告本公司董事會重要決議
6,3530,晶相光,100/03/07,15:01:29,公告本公司100年度股東臨時會董監事改選名單
7,3530,晶相光,100/03/07,15:08:04,公告本公司100年度股東臨時會決議解除董事從事競業行為
8,3530,晶相光,100/03/07,16:03:13,公告本公司改選董事長
9,3530,晶相光,100/03/07,16:04:43,公告本公司財務主管、會計主管異動
10,3530,晶相光,100/03/07,16:05:39,公告本公司內部稽核主管異動
11,3530,晶相光,100/03/07,16:05:52,公告本公司董事會決議辦理現金增資發行新股
12,3530,晶相光,100/03/15,13:37:00,公告100/03/11日本地震對本公司財務、業務無影響
13,3530,晶相光,100/03/29,14:09:50,公告本公司變更股務代理機構事宜
14,3530,晶相光,100/04/08,13:45:30,本公司董事會決議不分派股利
15,3530,晶相光,100/04/08,13:46:20,本公司董事會決議召開股東會事宜
16,3530,晶相光,100/04/12,16:46:15,公告本公司董事會決議現金增資基準日
17,3530,晶相光,100/04/12,16:47:33,公告本公司董事會決議現金增資之認股權價格除權基準日及繳款日
18,3530,晶相光,100/04/26,08:54:30,修正99年度財務報表申報部份資料
19,3530,晶相光,100/04/29,14:08:44,公告董事會決議修訂100年股東常會召集事由
20,3530,晶相光,100/06/21,16:23:52,公告本公司全體董事、監察人放棄認購100年現金增資發行 普通股股數達得認購股數1/2以上，洽由特定人認購相關事宜
21,3530,晶相光,100/06/30,11:13:33,本公司100年股東常會重要決議事項
22,3530,晶相光,100/06/30,11:23:23,公告本公司內部稽核主管異動
23,3530,晶相光,100/07/21,09:43:07,公告本公司九十九年度年報修訂事宜
24,3530,晶相光,100/10/03,15:54:37,公告本公司董事會重要決議
25,3530,晶相光,100/12/22,14:50:01,公告本公司董事會決議成立薪酬委員會
