,公司代號,公司名稱,發言日期,發言時間,主旨
0,3535,晶彩科,102/03/01,16:55:35,本公司代理發言人異動公告
1,3535,晶彩科,102/03/22,16:11:39,公告本公司董事會重要決議事項
2,3535,晶彩科,102/03/22,16:24:47,本公司董事會決議召集102年股東常會
3,3535,晶彩科,102/03/22,16:30:56,董事會決議股利分派
4,3535,晶彩科,102/03/27,15:17:19,公告102/3/27地震對本公司財務及業務並無重大影響
5,3535,晶彩科,102/06/14,14:01:47,本公司102年股東常會重要決議
6,3535,晶彩科,102/06/14,14:04:00,公告本公司102年股東常會決議解除新任董事競業禁止之限制
7,3535,晶彩科,102/06/14,14:15:17,公告102年股東常會董監改選結果
8,3535,晶彩科,102/06/14,14:15:44,本公司董事長續任公告
9,3535,晶彩科,102/06/14,14:17:36,公告本公司董事會決議薪酬委員會成員
10,3535,晶彩科,102/06/18,14:59:57,本公司研發主管異動公告
11,3535,晶彩科,102/07/19,10:22:58,補正本公司101年度年報
12,3535,晶彩科,102/12/17,16:18:42,"係因本公司有價證券於集中交易市場達公布注意交易資訊標準, 故公布相關財務業務等重大訊息,以利投資人區別了解"
