,公司代號,公司名稱,發言日期,發言時間,主旨
0,3536,誠創,104/01/12,17:57:51,本公司訂定103年現金增資認股價格、簽訂委託代收股款 及專戶存儲合約。
1,3536,誠創,104/01/22,15:05:46,代子公司誠創科技(蘇州)有限公司公告財會主管異動案。
2,3536,誠創,104/01/29,16:24:05,公告本公司103年12月份高流動性資產、短期借款 及一年內到期之長期負債相關財務資訊
3,3536,誠創,104/02/04,09:21:46,本公司現金增資股款催繳公告
4,3536,誠創,104/02/05,18:02:30,代取得人海華國際資產管理股份限公司依證券交易法 第43條之1第1項規定辦理公告
5,3536,誠創,104/02/26,14:00:48,公告本公司104年01月份高流動性資產、短期借款 及一年內到期之長期負債相關財務資訊
6,3536,誠創,104/03/04,13:40:12,公告本公司現金增資案催繳期間屆滿暨股票補撥發放事宜
7,3536,誠創,104/03/19,11:00:07,澄清104年3月19日經濟日報A8版之新聞內容。
8,3536,誠創,104/03/27,16:07:50,公告本公司104年02月份高流動性資產、短期借款 及一年內到期之長期負債相關財務資訊
9,3536,誠創,104/03/27,16:30:32,公告本公司董事會決議不分派股利
10,3536,誠創,104/03/27,16:33:22,公告本公司董事會決議召開104年股東常會。
11,3536,誠創,104/04/10,17:39:18,更正本公司104年3月月營收資訊
12,3536,誠創,104/04/27,15:16:25,公告本公司104年03月份高流動性資產、短期借款 及一年內到期之長期負債相關財務資訊
13,3536,誠創,104/05/08,16:00:45,更正本公司104年3月營收資訊
14,3536,誠創,104/05/20,14:06:22,公告本公司104年04月份高流動性資產、短期借款 及一年內到期之長期負債相關財務資訊
15,3536,誠創,104/06/25,16:38:50,公告本公司104年05月份高流動性資產、短期借款 及一年內到期之長期負債相關財務資訊
16,3536,誠創,104/06/30,13:56:09,公告本公司一○四年股東常會重要決議事項
17,3536,誠創,104/07/28,14:44:19,公告本公司104年06月份高流動性資產、短期借款 及一年內到期之長期負債相關財務資訊
18,3536,誠創,104/08/21,17:19:00,公告本公司104年07月份高流動性資產、短期借款 及一年內到期之長期負債相關財務資訊
19,3536,誠創,104/09/22,16:17:59,公告本公司104年08月份高流動性資產、短期借款 及一年內到期之長期負債相關財務資訊
20,3536,誠創,104/09/30,18:01:10,本公司內部稽核主管異動
21,3536,誠創,104/10/28,17:36:05,公告本公司104年09月份高流動性資產、短期借款 及一年內到期之長期負債相關財務資訊
22,3536,誠創,104/11/11,17:26:59,本公司董事會決議內部稽核主管異動
23,3536,誠創,104/11/23,17:17:14,公告本公司104年10月份高流動性資產、短期借款 及一年內到期之長期負債相關財務資訊
24,3536,誠創,104/12/21,14:52:30,公告本公司104年11月份高流動性資產、短期借款 及一年內到期之長期負債相關財務資訊
