,公司代號,公司名稱,發言日期,發言時間,主旨
0,3543,州巧,107/03/29,16:55:33,公告本公司董事會決議召開股東常會
1,3543,州巧,107/03/29,16:58:07,代子公司公告資金貸餘額達處理準則第二十二條 第一項第二款及第三款之規定標準
2,3543,州巧,107/04/26,17:17:36,公告本公司董事會通過106年度員工酬勞及董事酬勞案
3,3543,州巧,107/04/26,17:34:46,本公司背書保證餘額達處理準則第二十五條第一項 第三之規定公告
4,3543,州巧,107/04/26,17:35:28,董事會決議股利分派
5,3543,州巧,107/05/18,15:17:41,更正本公司104、105及106年度財務分析資料
6,3543,州巧,107/05/23,16:58:08,公告本公司獨立董事辭任
7,3543,州巧,107/05/23,16:59:14,公告本公司審計委員會委員及薪酬委員會委員辭任事宜
8,3543,州巧,107/06/20,18:31:07,本公司107年股東常會重要決議
9,3543,州巧,107/06/20,18:36:15,本公司107年股東常會全面改選董事(含獨立董事) 暨董事變動達三分之一
10,3543,州巧,107/06/20,18:37:32,公告本公司審計委員會成員異動
11,3543,州巧,107/06/20,18:39:04,公告本公司薪資報酬委員會成員異動
12,3543,州巧,107/06/20,18:39:53,公告本公司股東會決議通過解除新任董事競業禁止案
13,3543,州巧,107/06/28,16:59:28,公告本公司董事會決議通過推選董事長案
14,3543,州巧,107/06/28,17:00:33,公告本公司第4屆薪資報酬委員會委任名單
15,3543,州巧,107/06/28,17:01:41,本公司代3家子公司公告取得理財商品(董事會通過投資額度)
16,3543,州巧,107/07/05,17:35:13,公告本公司現金股利配息基準日
17,3543,州巧,107/07/18,17:02:28,本公司代子公司州巧科技(廈門)有限公司公告取得理財商品 (實際取得之補充公告)
18,3543,州巧,107/07/20,16:12:07,本公司代子公司蘇州州巧精密金屬有限公司公告取得理財商品 (實際取得之補充公告)
19,3543,州巧,107/08/08,16:48:30,公告本公司董事會通過庫藏股份註銷之減資基準日案
20,3543,州巧,107/08/08,16:49:36,本公司董事會決議召開107年第一次股東臨時會
21,3543,州巧,107/08/08,16:50:28,公告本公司107年累計合併營收自結數與會計師查核數差異說明 說明
22,3543,州巧,107/09/20,16:23:21,本公司註銷庫藏股變更登記完成
23,3543,州巧,107/09/26,17:54:57,公告本公司107年第1次股東臨時會重要決議事項
24,3543,州巧,107/09/26,17:55:35,公告本公司107年第1次股東臨時會補選獨立董事當選名單
25,3543,州巧,107/09/26,17:56:12,公告107年第1次股東臨時會通過解除本公司新任董事之競業禁止案
26,3543,州巧,107/09/26,18:09:45,公告本公司審計委員會成員異動
27,3543,州巧,107/10/08,17:23:52,本公司代子公司州巧科技(廈門)有限公司公告處分理財商品
28,3543,州巧,107/10/16,16:41:47,本公司代子公司州巧科技(廈門)有限公司公告取得理財商品
29,3543,州巧,107/10/18,16:07:02,本公司代子公司蘇州州巧精密金屬有限公司公告處分理財商品
30,3543,州巧,107/10/19,16:07:57,本公司代子公司蘇州州巧精密金屬有限公司公告取得理財商品
31,3543,州巧,107/12/14,16:38:50,本公司代子公司州巧科技(廈門)有限公司公告處分理財商品
32,3543,州巧,107/12/19,16:18:57,本公司代子公司蘇州州巧精密金屬有限公司公告處分理財商品
