,公司代號,公司名稱,發言日期,發言時間,主旨
0,3545,敦泰,100/01/24,16:51:48,公告本公司1000124董事會重要決議事項
1,3545,敦泰,100/01/24,16:52:03,公告本公司董事會決議召開股東常會日期及相關事宜
2,3545,敦泰,100/01/27,11:16:47,澄清100/01/26聯合晚報報導內容
3,3545,敦泰,100/03/14,11:41:06,公告100年3月11日日本大地震對本公司財務及業務並無重大影響
4,3545,敦泰,100/04/21,18:56:06,公告董事會決議發放股利
5,3545,敦泰,100/04/21,18:56:18,公告本公司1000421董事會重要決議事項
6,3545,敦泰,100/05/16,13:35:45,澄清100/5/16自由時報C2版有關營收之報導內容
7,3545,敦泰,100/06/01,14:31:14,旭曜科技股份有限公司100年股東常會議事手冊附件八(第18 頁)內容誤植更正
8,3545,敦泰,100/06/15,11:13:09,公告本公司100年股東常會重要決議事項
9,3545,敦泰,100/06/15,11:13:21,公告本公司股東會決議解除董事競業禁止限制
10,3545,敦泰,100/07/21,14:21:12,公告本公司100年除息基準日
11,3545,敦泰,100/07/21,14:21:24,公告本公司董事會決議因流通在外股數變動而調整股東配息率
12,3545,敦泰,100/07/22,15:35:10,公告本公司因流通在外股數變動而調整股東配息率-更正主旨
13,3545,敦泰,100/07/25,15:10:14,公告本公司1000725董事會重要決議事項
14,3545,敦泰,100/08/26,16:40:32,"公告本公司受邀參加100/9/6-7 HSBC舉辦的""Technology Day"""
15,3545,敦泰,100/08/26,16:40:54,"公告本公司受邀參加100/9/14 Credit Suisse舉辦的""Asian Technology Conference 2011"""
16,3545,敦泰,100/09/15,16:48:34,公告本公司受邀參加100/9/16國票證券舉辦的投資論壇
17,3545,敦泰,100/09/15,16:48:53,公告本公司受邀參加100/9/22統一證券舉辦的投資論壇
18,3545,敦泰,100/09/27,12:22:04,澄清100/9/27工商時報B3版之報導內容
19,3545,敦泰,100/10/11,15:55:17,"公告本公司受邀參加100/10/18 BNP Paribas舉辦的""Taiwan Conference 2011"""
20,3545,敦泰,100/10/11,15:55:36,"公告本公司受邀參加100/11/08 Deutsche Bank舉辦的"" Access Taiwan Conference 2011"""
21,3545,敦泰,100/10/24,11:59:42,公告本公司1001024董事會重要決議事項
22,3545,敦泰,100/11/18,17:05:05,公告本公司法人董事之變動
23,3545,敦泰,100/11/18,17:05:26,公告本公司法人董事之代表人變動
24,3545,敦泰,100/12/16,13:32:08,公告本公司董事會決議設置薪資報酬委員會
25,3545,敦泰,100/12/16,13:32:32,公告本公司總經理異動
26,3545,敦泰,100/12/16,13:32:46,公告本公司自然人董事之變動
27,3545,敦泰,100/12/27,10:32:47,澄清100/12/27蘋果日報B4版之報導內容
