,公司代號,公司名稱,發言日期,發言時間,主旨
0,3550,聯穎,103/03/26,15:53:45,公告本公司董事會決議召開103年股東常會
1,3550,聯穎,103/03/26,15:54:35,"公告本公司經理人同時擔任本公司大陸地區 轉投資事業之經理人,且該轉投資事業與本公司 經營同類業務"
2,3550,聯穎,103/03/26,16:49:15,董事會決議股利分派
3,3550,聯穎,103/06/20,13:50:02,公告本公司103年股東常會全面改選董事事宜
4,3550,聯穎,103/06/20,13:50:56,公告本公司103年股東常會監察人解任事宜
5,3550,聯穎,103/06/20,13:51:33,公告本公司103年股東常會全面改選獨立董事事宜
6,3550,聯穎,103/06/20,13:52:19,公告本公司103年股東常會重要決議事項
7,3550,聯穎,103/06/20,13:53:16,公告本公司股東會解除董事之競業禁止事宜
8,3550,聯穎,103/06/20,13:53:50,本公司薪資報酬委員會委員任期屆滿解任事宜
9,3550,聯穎,103/06/30,15:47:37,本公司董事會決議102年度現金股利之除息基準日
10,3550,聯穎,103/06/30,15:48:24,公告本公司董事會選任董事長
11,3550,聯穎,103/06/30,15:49:18,公告本公司董事會成立審計委員會委任審計委員
12,3550,聯穎,103/06/30,15:50:27,公告本公司董事會委任薪資報酬委員會委員
13,3550,聯穎,103/07/24,13:59:22,更正本公司102年5月至103年6月背書保證公告資訊
14,3550,聯穎,103/07/24,17:09:58,補公告本公司背書保證達公開發行公司資金貸與及背書 保證處理準則第二十五條第一項第二、三、四款標準
15,3550,聯穎,103/07/24,17:11:54,補公告本公司背書保證達公開發行公司資金貸與及背書 保證處理準則第二十五條第一項第四款標準
16,3550,聯穎,103/07/24,17:13:24,補公告本公司背書保證達公開發行公司資金貸與及背書 保證處理準則第二十五條第一項第四款標準
17,3550,聯穎,103/08/13,16:29:16,公告本公司背書保證達公開發行公司資金貸與及背書保證 處理準則第二十五條第一項第四款標準
