,公司代號,公司名稱,發言日期,發言時間,主旨
0,3591,艾笛森,109/01/06,08:06:52,代子公司揚州艾笛森光電有限公司公告取得理財產品
1,3591,艾笛森,109/01/14,13:53:15,代子公司東莞艾笛森光電有限公司公告取得理財產品
2,3591,艾笛森,109/01/14,14:37:08,代子公司揚州艾笛森光電有限公司公告取得理財產品
3,3591,艾笛森,109/01/21,14:53:53,代子公司揚州艾特光電有限公司公告取得理財產品
4,3591,艾笛森,109/01/22,09:48:34,代子公司揚州艾特光電有限公司公告取得理財產品(更正1/21公告 中事實發生日誤植)
5,3591,艾笛森,109/01/29,21:04:20,代大陸子公司公告春節復工時間延至2月10日
6,3591,艾笛森,109/02/13,17:39:24,代子公司揚州艾特光電有限公司公告取得理財產品
7,3591,艾笛森,109/02/21,16:32:53,代子公司揚州艾特光電有限公司公告處分理財產品
8,3591,艾笛森,109/02/21,16:33:39,代子公司揚州艾特光電有限公司公告取得理財產品
9,3591,艾笛森,109/03/03,17:08:41,公告本公司董事會決議通過清算子公司
10,3591,艾笛森,109/03/03,17:08:58,本公司董事會決議民國108年股東會通過之私募發行普通股 不繼續辦理
11,3591,艾笛森,109/03/03,17:09:38,公告本公司董事會決議股利分派
12,3591,艾笛森,109/03/03,17:10:13,本公司董事會決議召開109年股東常會公告
13,3591,艾笛森,109/03/09,17:38:45,代子公司揚州艾笛森光電有限公司公告處分理財產品
14,3591,艾笛森,109/03/13,14:37:49,代子公司揚州艾特光電有限公司公告處分理財產品
15,3591,艾笛森,109/03/16,13:41:59,代子公司東莞艾笛森光電有限公司公告處分理財產品
16,3591,艾笛森,109/03/19,15:41:34,公告本公司受邀參加富邦證券舉辦之線上法說會
17,3591,艾笛森,109/03/31,13:57:11,公告本公司董事會決議買回庫藏股維護公司信用及股東權益
18,3591,艾笛森,109/05/12,17:47:30,本公司之重要子公司揚州艾笛森光電有限公司辦理減資案
19,3591,艾笛森,109/05/12,17:48:13,本公司之子公司東莞艾笛森光電有限公司盈餘匯回案
20,3591,艾笛森,109/05/29,15:58:10,公告本公司第六次買回庫藏股期間屆滿及執行情形
21,3591,艾笛森,109/06/16,11:33:09,公告本公司109年股東常會重要決議事項
22,3591,艾笛森,109/06/16,11:34:17,公告本公司董事會決議除息基準日
23,3591,艾笛森,109/08/04,15:16:22,公告本公司董事會通過新增集團子公司間資金貸與案
24,3591,艾笛森,109/08/04,15:17:04,公告本公司研發主管職務調整
25,3591,艾笛森,109/08/17,14:01:19,公告本公司受邀參加富邦證券舉辦之線上法說會
