,公司代號,公司名稱,發言日期,發言時間,主旨
0,3593,力銘,100/02/14,15:38:12,公告本公司稽核主管乙職
1,3593,力銘,100/02/16,16:51:39,公告本公司財務、會計主管乙職
2,3593,力銘,100/03/09,16:47:19,更正本公司99年12月及100年1月資金貸與資訊揭露 明細表公告
3,3593,力銘,100/03/14,11:42:17,公告日本強震對本公司財務及業務無重大影響
4,3593,力銘,100/03/15,14:16:53,本公司辦公室搬遷 (新竹縣竹北市台元街36號5樓之3)
5,3593,力銘,100/03/15,14:17:09,本公司財務、會計主管任命案
6,3593,力銘,100/03/15,14:17:21,本公司內部稽核主管任命案
7,3593,力銘,100/03/15,14:18:41,本公司董事會決議召開100年股東常會
8,3593,力銘,100/03/15,14:18:54,本公司董事會擬提請股東會解除本公司新任董事競業禁止
9,3593,力銘,100/03/15,15:31:21,公告本公司董事會通過九十九年度財務報告
10,3593,力銘,100/03/15,15:34:26,代子公司力銘電子(蘇州)有限公司依據『公開發行公司 資金貸與及背書保證處理準則』第22條第一項第三款 規定公告(延展一年)
11,3593,力銘,100/04/27,18:08:37,更正本公司股東會召集事由
12,3593,力銘,100/04/27,18:12:45,代子公司蘇州力寶電子有限公司辦理現金增資案公告
13,3593,力銘,100/04/28,10:30:45,"主旨誤植為代子公司蘇州力寶電子有限公司辦理現金增資 案公告,更正為本公司董事會通過大陸增資案公告"
14,3593,力銘,100/04/29,17:43:33,本公司董事會決議發放股利
15,3593,力銘,100/05/16,07:51:21,本公司發言人異動
16,3593,力銘,100/06/28,13:35:57,本公司一00年股東常會改選董事
17,3593,力銘,100/06/28,13:44:28,股東會解除本公司新選任董事競業禁止之限制案
18,3593,力銘,100/06/28,13:44:47,本公司一00年股東常會重要決議事項
19,3593,力銘,100/06/28,13:45:15,本公司董事會一致推舉吳輝煌先生擔任董事長
20,3593,力銘,100/07/21,11:23:22,更正本公司99年度年報(第32頁)
21,3593,力銘,100/08/24,18:05:14,本公司董事會決議除息基準日
22,3593,力銘,100/10/17,17:13:57,代子公司(力銘蘇州)公告董事長變動情形
23,3593,力銘,100/10/17,17:14:21,代子公司(蘇州力寶)公告董事長變動情形
24,3593,力銘,100/10/21,17:31:20,公告本公司董事會決議成立薪酬委員會及制定薪酬委員會組織規程
