,公司代號,公司名稱,發言日期,發言時間,主旨
0,3596,智易,104/01/14,17:45:12,本公司103年現金增資發行普通股催繳公告
1,3596,智易,104/02/16,16:47:26,公告本公司103年度合併財務報告
2,3596,智易,104/02/16,16:47:54,公告董事會決議召開104年股東常會事宜
3,3596,智易,104/02/16,16:48:21,本公司103年現金增資催繳期間屆滿公告
4,3596,智易,104/03/09,14:58:55,公告本公司召開法人說明會相關資訊
5,3596,智易,104/05/05,16:21:20,代子公司智同科技股份有限公司公告董事會決議發放股利
6,3596,智易,104/05/05,16:21:47,代子公司智同科技股份有限公司公告董事會決議召開 104年股東常會事宜
7,3596,智易,104/05/08,16:58:40,公告本公司104年度第一季合併財務報告
8,3596,智易,104/05/08,16:59:25,公告本公司董事會決議股利分派
9,3596,智易,104/06/16,13:49:45,代子公司智同科技股份有限公司公告104年股東常會重要 決議事項
10,3596,智易,104/06/16,13:50:15,代子公司智同科技股份有限公司公告104年股東常會決議 解除董事競業禁止之限制
11,3596,智易,104/06/23,13:40:23,公告本公司104年股東常會重要決議事項
12,3596,智易,104/06/23,13:43:20,公告本公司104年股東常會決議解除董事競業禁止之限制
13,3596,智易,104/07/14,15:02:34,公告本公司董事會決議現金股利配息基準日 現金基準日
14,3596,智易,104/07/30,16:37:44,代子公司智同科技股份有限公司公告董事會決議配息基準日
15,3596,智易,104/08/06,15:17:37,公告本公司104年上半年度合併財務報告
16,3596,智易,104/08/07,14:45:16,公告本公司董事會決議辦理限制員工權利新股收回註銷減資 事宜
17,3596,智易,104/09/02,13:33:44,"公告本公司註銷102年度發行之限制員工權利新股39,000股 減資變更登記完成 。"
18,3596,智易,104/10/08,14:27:33,公告本公司更正衍生性商品交易資訊申報事宜
19,3596,智易,104/10/22,17:33:34,代重要子公司Arcadyan Holding (BVI) Corp.公告，新 增資金貸與金額達本公司最近期財務報表淨值2%以上
20,3596,智易,104/11/11,15:41:43,公告本公司104年前三季合併財務報告
21,3596,智易,104/11/11,15:46:13,公告本公司召開法人說明會相關資訊
22,3596,智易,104/11/13,11:41:37,澄清媒體報導
