,公司代號,公司名稱,發言日期,發言時間,主旨
0,3617,碩天,105/02/25,14:57:52,更正本公司105年1月資金貸與業務往來金額
1,3617,碩天,105/03/15,16:52:23,公告本公司董事會決議召開民國一○五年股東常會
2,3617,碩天,105/04/14,18:02:59,本公司董事會決議104年度股利分派
3,3617,碩天,105/04/14,18:04:57,公告本公司董事會通過104年度員工酬勞及董監事酬勞
4,3617,碩天,105/04/14,18:08:13,本公司依「公開發行公司資金貸與及背書保證處理準則」 第二十五條第一項第四款規定辦理
5,3617,碩天,105/05/12,16:37:36,更正本公司105/3月資金貸與資訊
6,3617,碩天,105/05/12,16:41:20,本公司依「公開發行公司資金貸與及背書保證處理準則」 第二十五條第一項第四款規定辦理
7,3617,碩天,105/06/08,13:25:56,公告本公司105年股東常會重要決議事項
8,3617,碩天,105/06/08,14:01:15,公告本公司董事會決議除息基準日相關事宜
9,3617,碩天,105/07/20,15:28:02,代子公司更正105年6月資金貸與資訊
10,3617,碩天,105/07/20,15:50:18,公告更正本公司2015年度年報部份資料
11,3617,碩天,105/10/18,17:36:39,代子公司更正105年8月及9月資金貸與資訊
