,公司代號,公司名稱,發言日期,發言時間,主旨
0,3622,洋華,100/01/13,16:58:20,本公司應邀參加Credit Suisse舉辦之 Taiwan Investment Conference 2011
1,3622,洋華,100/01/13,18:43:56,"轉投資洋華貝里斯,再轉投資洋華(香港),再間接轉投資洋華(越南)"
2,3622,洋華,100/01/14,14:01:17,公告本公司應邀參加Credit Suisse舉辦之 Taiwan Investment Conference 2011於公開資訊觀測站上傳資料之補充說明
3,3622,洋華,100/01/17,13:08:55,媒體澄清
4,3622,洋華,100/02/25,21:24:23,轉投資洋華貝里斯
5,3622,洋華,100/03/01,18:15:12,轉投資洋華貝里斯
6,3622,洋華,100/03/14,11:55:39,公告日本地震對本公司財務及業務並無重大影響
7,3622,洋華,100/03/14,13:43:43,本公司召開九十九年第四季線上法人說明會
8,3622,洋華,100/03/16,15:54:35,公告本公司董事會決議通過召開100年股東常會相關事宜
9,3622,洋華,100/03/17,08:15:31,代子公司LEAD WELL公告資金貸與子公司友威光電(惠州)
10,3622,洋華,100/03/17,08:16:13,"本公司資金貸與子公司LEAD WELL Technology Co.,Ltd."
11,3622,洋華,100/03/17,08:16:53,"本公司資金貸與子公司YOUNG FAST OPTOELECTRONICS(HK)CO.,LTD"
12,3622,洋華,100/03/17,13:32:07,媒體澄清
13,3622,洋華,100/03/22,18:03:02,公告本公司股務代理機構：群益證券股份有限公司股務代理部變 更營業處所事宜
14,3622,洋華,100/04/14,16:55:51,媒體澄清
15,3622,洋華,100/04/26,18:37:08,代子公司洋華貝里斯公告轉投資洋華香港，再轉投資洋華越南
16,3622,洋華,100/04/27,18:41:52,更正100年度第一季會計師核閱報告內容
17,3622,洋華,100/04/27,18:48:28,補充公告本公司董事會決議通過召開100年股東常會相關事宜
18,3622,洋華,100/04/27,18:49:26,公告本公司董事會決議通過99年度股利分配案事宜
19,3622,洋華,100/04/27,18:50:32,公告本公司董事會決議辦理盈餘、資本公積轉增資發行新股事宜
20,3622,洋華,100/05/10,09:25:02,媒體澄清
21,3622,洋華,100/05/10,19:41:21,本公司應邀參加麥格里證券舉辦之 Greater China Conference
22,3622,洋華,100/05/13,19:34:03,公告本公司應邀參加麥格里證券舉辦之Greater China Conference於公開資訊觀測站上傳資料之補充說明
23,3622,洋華,100/05/13,21:31:05,公告本公司法人董事改派代表人
24,3622,洋華,100/05/23,19:48:20,公告桃園縣政府裁罰本公司違反空氣污染防制法罰鍰新台幣10萬元
25,3622,洋華,100/06/15,17:37:19,公告本公司一ＯＯ年股東常會重要決議事項
26,3622,洋華,100/06/15,17:39:49,公告本公司全面改選董事及監察人名單
27,3622,洋華,100/06/15,17:40:43,公告解除本公司董事競業禁止
28,3622,洋華,100/06/15,17:53:52,公告本公司董事會選任董事長
29,3622,洋華,100/06/16,13:38:58,媒體澄清
30,3622,洋華,100/07/06,21:11:15,公告本公司董事會決議除息及除權基準日相關事宜
