,公司代號,公司名稱,發言日期,發言時間,主旨
0,3661,世芯-KY,103/03/07,17:50:56,本公司董事會通過102年度合併財務報表
1,3661,世芯-KY,103/03/07,17:51:19,公告本公司背書保證超限改善計畫之執行情形
2,3661,世芯-KY,103/03/07,17:56:36,公告本公司董事會決議股東會召開日期、召集事由
3,3661,世芯-KY,103/03/07,18:04:53,公告本公司董事會通過為子公司背書保證額度展期
4,3661,世芯-KY,103/03/07,18:43:22,董事會決議股利分派
5,3661,世芯-KY,103/03/19,14:13:24,公告本公司董事會決議股東會召開日期、召集事由(更正 停止過戶起訖日期)
6,3661,世芯-KY,103/05/02,15:09:30,更正102年度合併財務報告
7,3661,世芯-KY,103/05/02,15:41:19,本公司之股東會各項議案參考資料上傳更正事宜
8,3661,世芯-KY,103/05/26,17:45:58,公告本公司背書保證超限改善計畫之執行情形
9,3661,世芯-KY,103/05/26,17:59:17,本公司董事會通過擬向臺灣證券交易所提出第一上市申請 ，暨股票發行計畫案
10,3661,世芯-KY,103/05/26,18:44:33,公告本公司103年股東常會重要決議事項
11,3661,世芯-KY,103/05/28,17:09:09,因應本公司上市申請需要委託簽證會計師出具內控專審報告
12,3661,世芯-KY,103/06/06,11:24:35,澄清媒體報導
13,3661,世芯-KY,103/08/01,17:07:59,本公司董事會通過103年上半年度合併財務報表
14,3661,世芯-KY,103/08/01,17:08:23,公告本公司擬成立台灣分公司
15,3661,世芯-KY,103/08/01,17:11:57,公告本公司董事會決議配息基準日
16,3661,世芯-KY,103/08/01,17:14:44,本公司代子公司依公開發行公司資金貸與及背書保證 處理準則第二十五條第一項第四款公告
17,3661,世芯-KY,103/08/08,19:05:31,公告本公司調整103年現金股利配息率
18,3661,世芯-KY,103/09/04,10:49:35,澄清103年09月04日工商時報A19版之報導
19,3661,世芯-KY,103/09/05,15:25:32,公告本公司受邀參加野村證券舉辦之Pre-IPO Day
20,3661,世芯-KY,103/09/16,14:10:20,本公司除息公告-補正結匯匯率
21,3661,世芯-KY,103/09/24,14:41:11,公告本公司初次上市現金增資委託代收及存儲價款機構
22,3661,世芯-KY,103/09/29,18:20:25,公告本公司受邀參加宏遠證券所舉辦小型法人座談會
23,3661,世芯-KY,103/10/01,16:55:46,公告本公司受邀參加野村證券所舉辦小型法人座談會
24,3661,世芯-KY,103/10/03,13:56:12,公告本公司將於103年10月8日舉辦上市前業績發表會
25,3661,世芯-KY,103/10/07,17:19:16,公告本公司股票初次上市前現金增資基準日及認股繳款期間
26,3661,世芯-KY,103/10/08,10:32:55,澄清103年10月08日工商時報B3版之報導
27,3661,世芯-KY,103/10/13,10:37:21,澄清103年10月13日經濟日報C4版之報導
28,3661,世芯-KY,103/10/13,18:01:17,更正公告本公司初次上市現金增資委託代收及存儲價款機構
29,3661,世芯-KY,103/10/15,10:24:31,公告本公司股務代理機構名稱、辦公處所及連絡電話
30,3661,世芯-KY,103/10/15,16:19:41,本公司受邀參加「凱基證券」所舉辦海外法人座談會
31,3661,世芯-KY,103/10/21,15:08:21,公告本公司股票即將終止興櫃交易並轉至證券交易所上市交易
32,3661,世芯-KY,103/10/21,15:26:48,公告本公司股票初次上市現金增資每股承銷價格
33,3661,世芯-KY,103/10/23,10:46:38,公告本公司辦理股票初次上市過額配售事宜
34,3661,世芯-KY,103/10/24,15:21:13,本公司初次上市現金增資收足股款公告
35,3661,世芯-KY,103/10/27,15:06:46,本公司董事會通過103年前3季合併財務報表
36,3661,世芯-KY,103/11/05,13:45:41,公告本公司掛牌首五營業日穩定價格操作結果
37,3661,世芯-KY,103/11/26,16:21:06,本公司受邀參加臺灣證券交易所舉辦之「外國上市公司業績說明會」
