,公司代號,公司名稱,發言日期,發言時間,主旨
0,3661,世芯-KY,104/01/05,19:11:09,公告本公司投資設立Alchip Inc. BVI(暫定)之相關訊息
1,3661,世芯-KY,104/01/09,17:57:02,公告本公司申請股票上市時所出具之承諾事項暨其後續執行情形
2,3661,世芯-KY,104/03/04,14:26:11,公告本公司於104年3月6日召開法人說明會
3,3661,世芯-KY,104/03/05,15:40:56,董事會決議股利分派
4,3661,世芯-KY,104/03/05,15:53:13,本公司董事會決議買回庫藏股
5,3661,世芯-KY,104/03/05,17:48:14,本公司董事會通過民國103年合併財務報表
6,3661,世芯-KY,104/03/05,18:23:11,公告本公司董事會決議股東會召開日期、召集事由
7,3661,世芯-KY,104/03/05,18:23:37,董事會決議發行員工認股權憑證公告
8,3661,世芯-KY,104/03/11,18:51:36,公告本公司於104年3月12日參加國泰證券舉辦之投資論壇
9,3661,世芯-KY,104/03/13,17:45:05,公告本公司取得會計師103年度內部控制專案審查報告
10,3661,世芯-KY,104/04/15,15:54:43,公告本公司申請股票上市時所出具之承諾事項暨其後續執行情形
11,3661,世芯-KY,104/04/22,18:27:19,本公司董事會通過民國104年第一季合併財務報表
12,3661,世芯-KY,104/04/24,18:25:07,本公司104年4月24日董事會追認修正後員工認股權憑證發行及 認股辦法
13,3661,世芯-KY,104/05/05,16:17:31,公告本公司第1次買回庫藏股執行期間屆滿及執行狀況
14,3661,世芯-KY,104/05/08,15:11:22,更正公告本公司第1次買回庫藏股執行期間屆滿及執行狀況之本次 實際買回期間、本次已買回股份總金額及本次平均每股買回價格
15,3661,世芯-KY,104/05/14,15:16:33,本公司董事會決議買回庫藏股
16,3661,世芯-KY,104/05/15,16:05:07,更正本公司董事會決議買回庫藏股期間
17,3661,世芯-KY,104/06/12,16:49:37,公告本公司104年股東常會重要決議事項
18,3661,世芯-KY,104/06/12,16:50:02,公告本公司股東會通過解除董事競業禁止之限制
19,3661,世芯-KY,104/07/09,15:20:02,公告本公司申請股票上市時所出具之承諾事項暨其後續執行情形
20,3661,世芯-KY,104/07/13,17:09:25,公告本公司第2次買回庫藏股執行期間屆滿及執行狀況
21,3661,世芯-KY,104/07/20,12:06:22,公告更正本公司103年度股東會年報部分內容
22,3661,世芯-KY,104/07/31,14:31:59,公告本公司董事會決議配息基準日
23,3661,世芯-KY,104/07/31,15:21:00,公告本公司董事會決議第一次及第二次買回庫藏股註銷減資基準日
24,3661,世芯-KY,104/08/06,18:23:27,公告本公司調整104年現金股利配息率
25,3661,世芯-KY,104/08/17,16:22:00,公告本公司註銷第一次及第二次買回庫藏股辦理完成
26,3661,世芯-KY,104/09/07,16:55:51,代重要子公司世芯電子(股)公司補公告董事會決議103年度 盈餘不分配
27,3661,世芯-KY,104/09/10,15:22:56,本公司除息公告-補正結匯匯率
28,3661,世芯-KY,104/10/12,14:03:29,更正本公司104年6月至104年9月背書保證公告資訊
