,公司代號,公司名稱,發言日期,發言時間,主旨
0,3669,圓展,107/03/09,19:11:29,公告董事會決議召開107年股東常會相關事宜
1,3669,圓展,107/03/09,19:20:35,董事會決議股利分派
2,3669,圓展,107/03/31,16:15:17,公告本公司內部稽核主管異動
3,3669,圓展,107/04/25,15:48:52,公告董事會決議召開107年股東常會相關事宜(新增討論事項)
4,3669,圓展,107/04/30,17:29:34,公告本公司內部稽核主管異動
5,3669,圓展,107/06/08,15:21:14,公告本公司民國107年股東常會重要決議事項
6,3669,圓展,107/06/08,15:22:56,公告本公司訂定民國107年除息基準日相關事宜
7,3669,圓展,107/08/02,18:09:52,公告本公司董事會決議通過註銷庫藏股暨訂定減資基準日
8,3669,圓展,107/08/02,18:20:08,公告本公司召開法人說明會相關資訊
9,3669,圓展,107/08/22,16:24:14,公告本公司註銷庫藏股辦理減資之變更登記完成
