,公司代號,公司名稱,發言日期,發言時間,主旨
0,3669,圓展,108/03/15,18:01:37,公告董事會決議召開108年股東常會相關事宜
1,3669,圓展,108/03/15,18:04:42,董事會決議股利分派
2,3669,圓展,108/06/12,17:44:08,公告本公司民國108年股東常會重要決議事項
3,3669,圓展,108/06/12,17:44:34,公告本公司訂定民國108年除息基準日相關事宜
4,3669,圓展,108/06/12,17:44:52,公告本公司民國108年股東常會決議通過解除董事競業禁止 之限制案
5,3669,圓展,108/06/12,17:45:10,公告本公司審計委員會委員異動
6,3669,圓展,108/06/12,17:45:26,公告本公司薪資報酬委員會委員異動
7,3669,圓展,108/06/12,17:45:40,公告本公司董事會選任董事長
8,3669,圓展,108/06/12,17:46:08,公告本公司民國108年股東常會改選董事相關資訊
9,3669,圓展,108/07/15,16:03:54,更正本公司108年06月資金貸與累計至本月止最 高餘額及期末餘額
10,3669,圓展,108/08/07,18:05:15,公告本公司董事會委任執行長
11,3669,圓展,108/08/07,18:06:06,公告本公司董事會委任總經理
12,3669,圓展,108/08/07,18:06:56,公告本公司董事會委任財務長
13,3669,圓展,108/08/07,18:07:37,公告本公司董事會委任研發主管
14,3669,圓展,108/08/07,18:08:37,公告本公司內部稽核主管異動
15,3669,圓展,108/08/07,18:09:39,公告本公司董事會決議通過解除經理人競業禁止之限制案
16,3669,圓展,108/08/15,16:51:39,公告本公司召開法人說明會相關資訊
17,3669,圓展,108/08/26,11:42:59,澄清經濟日報B4版之報導
