,公司代號,公司名稱,發言日期,發言時間,主旨
0,3686,達能,104/01/09,15:07:39,"公告本公司註銷限制員工權利新股147,500股減資變更登記完成"
1,3686,達能,104/03/25,17:59:14,公告本公司董事會重要決議事項
2,3686,達能,104/03/25,18:00:28,公告本公司董事會通過103年度財務報表
3,3686,達能,104/03/25,18:01:04,本公司董事會決議召開104年度股東常會相關事宜
4,3686,達能,104/03/25,18:01:50,董事會決議不發放股利
5,3686,達能,104/03/25,18:02:34,公告本公司配合會計事務所內部輪調調整變更簽證會計師
6,3686,達能,104/04/17,17:19:47,公告本公司取消部份訂購機器設備
7,3686,達能,104/04/30,16:11:01,更正本公司104年1至3月營收公告數
8,3686,達能,104/05/06,19:15:43,公告本公司董事會重要決議事項
9,3686,達能,104/05/06,19:17:48,公告本公司104年第1季財務報告提報董事會
10,3686,達能,104/05/06,19:18:42,公告本公司董事會決議擬發行104年度限制員工權利新股
11,3686,達能,104/05/06,19:19:09,補充公告本公司董事會決議召開104年股東常會相關事宜
12,3686,達能,104/05/29,18:30:10,公告本公司研發主管異動
13,3686,達能,104/06/17,17:49:15,公告本公司104年股東常會重要決議事項
14,3686,達能,104/06/17,17:49:51,公告本公司董事會重要決議事項
15,3686,達能,104/08/04,18:29:54,公告本公司董事會重要決議事項
16,3686,達能,104/08/04,18:32:27,公告本公司104年第2季財務報告提報董事會
17,3686,達能,104/11/10,18:12:38,公告本公司董事會重要決議事項
18,3686,達能,104/11/10,18:13:01,公告本公司104年第3季財務報告提報董事會
19,3686,達能,104/11/10,18:13:26,公告本公司董事會決議註銷限制員工權利新股暨訂定減資基準日
20,3686,達能,104/12/03,16:52:25,係因本公司有價證券於集中交易市場達公布注意交易資訊標準， 故公布相關財務業務等重大訊息，以利投資人區別瞭解。
21,3686,達能,104/12/03,17:27:42,係因本公司有價證券於集中交易市場達公布注意交易資訊標準， 故公布相關財務業務等重大訊息，以利投資人區別瞭解。(更正增 減百分比正負數)
22,3686,達能,104/12/15,18:18:39,"公告本公司註銷限制員工權利新股49,000股減資變更登記完成"
23,3686,達能,104/12/22,18:10:29,公告本公司董事會重要決議事項
