,公司代號,公司名稱,發言日期,發言時間,主旨
0,3686,達能,107/01/24,17:27:09,公告本公司106年12月份自結財務報表財務資訊
1,3686,達能,107/02/23,16:15:33,公告本公司107年01月份自結財務報表財務資訊
2,3686,達能,107/02/27,17:35:27,公告本公司董事會重要決議事項
3,3686,達能,107/02/27,17:35:50,公告本公司董事會通過106年度財務報表
4,3686,達能,107/02/27,17:36:11,董事會決議股利分派
5,3686,達能,107/02/27,17:36:31,公告本公司配合會計事務所內部輪調調整變更簽證會計師
6,3686,達能,107/03/13,17:03:14,公告本公司董事會重要決議事項
7,3686,達能,107/03/13,17:03:44,本公司召開107年股東常會公告。
8,3686,達能,107/03/23,17:02:43,公告本公司107年02月份自結財務報表財務資訊
9,3686,達能,107/04/26,17:06:17,公告本公司107年03月份自結財務報表財務資訊
10,3686,達能,107/05/14,18:25:49,公告本公司董事會重要決議事項
11,3686,達能,107/05/14,18:26:55,公告本公司董事會通過107年第一季財務報表
12,3686,達能,107/05/25,18:49:28,公告本公司107年04月份自結財務報表財務資訊
13,3686,達能,107/05/29,18:01:31,公告本公司107年股東常會重要決議事項
14,3686,達能,107/06/19,17:48:43,公告本公司董事會重要決議事項
15,3686,達能,107/06/25,18:09:43,公告本公司107年05月份自結財務報表財務資訊
16,3686,達能,107/07/12,17:38:15,澄清媒體報導
17,3686,達能,107/07/13,11:29:25,澄清媒體報導
18,3686,達能,107/07/13,17:49:06,澄清媒體報導
19,3686,達能,107/07/25,17:14:53,公告本公司107年06月份自結財務報表財務資訊
20,3686,達能,107/08/03,19:44:36,公告本公司董事會重要決議事項
21,3686,達能,107/08/03,19:45:01,公告本公司董事會通過107年第2季財務報表
22,3686,達能,107/08/03,19:45:31,資產減損
23,3686,達能,107/08/23,17:33:48,公告本公司107年07月份自結財務報表財務資訊
24,3686,達能,107/09/14,16:51:29,公告本公司財務主管及會計主管異動
25,3686,達能,107/09/14,16:52:50,公告本公司發言人異動
26,3686,達能,107/09/25,17:07:57,公告本公司107年08月份自結財務報表財務資訊
27,3686,達能,107/10/24,17:11:23,公告本公司107年09月份自結財務報表財務資訊
28,3686,達能,107/11/07,17:19:19,公告本公司董事會重要決議事項
29,3686,達能,107/11/07,17:19:42,公告本公司董事會通過107年第3季財務報表
30,3686,達能,107/11/07,17:20:10,公告本公司財務主管及會計主管異動
31,3686,達能,107/11/08,11:25:07,澄清媒體報導
32,3686,達能,107/11/09,15:11:20,107年第三季業績報告
33,3686,達能,107/11/22,17:01:11,公告本公司將於107年11月23日召開法人說明會
34,3686,達能,107/11/22,17:02:06,公告本公司107年10月份自結財務報表財務資訊
35,3686,達能,107/12/25,17:13:22,公告本公司107年11月份自結財務報表財務資訊
