,公司代號,公司名稱,發言日期,發言時間,主旨
0,3694,海華,104/03/16,16:47:53,公告本公司董事會決議召開一○四年股東常會
1,3694,海華,104/03/16,16:50:07,董事會決議股利分派
2,3694,海華,104/06/18,18:22:11,公告本公司民國104年股東常會重要決議事項
3,3694,海華,104/06/18,18:22:35,公告本公司董事任期屆滿改選事宜
4,3694,海華,104/06/18,18:22:58,公告本公司股東會決議解除董事競業禁止限制事宜
5,3694,海華,104/06/18,18:23:17,公告本公司董事會推舉董事長事宜
6,3694,海華,104/06/18,18:23:36,公告本公司審計委員會任期屆滿改選事宜
7,3694,海華,104/06/18,18:24:04,公告本公司董事會委任薪資報酬委員事宜
8,3694,海華,104/08/04,16:58:35,係因本公司有價證券於集中交易市場達公布注意交易資訊標準， 故公布相關財務、業務等重大訊息，以利投資人區別瞭解。
9,3694,海華,104/08/10,09:59:34,公告蘇迪勒颱風對本公司業務及財務並無影響
