,公司代號,公司名稱,發言日期,發言時間,主旨
0,3702,大聯大,109/01/10,17:55:04,公告本公司108年12月份自結合併營收
1,3702,大聯大,109/01/15,10:41:18,本公司就公開收購案之說明
2,3702,大聯大,109/01/15,17:31:24,本公司公告公開收購文曄科技股份有限公司普通股，公開收購條件已成就
3,3702,大聯大,109/01/17,17:50:31,公告本公司增加持有被控股公司家數
4,3702,大聯大,109/01/20,18:48:39,本公司公告公開收購文曄科技股份有限公司普通股，公開收購 條件均已成就，且應賣有價證券數量超過預定收購最高數量
5,3702,大聯大,109/01/31,00:20:26,本公司公告公開收購文曄科技股份有限公司普通股之公開收購期間屆滿
6,3702,大聯大,109/02/04,17:36:43,公告本公司董事會通過捐贈事宜
7,3702,大聯大,109/02/04,17:37:16,公告本公司董事會通過解除董事競業禁止之限制
8,3702,大聯大,109/02/06,13:55:51,公告本公司依公開收購方式取得文曄科技股份有限公 司股權(補充108/11/12公告)
9,3702,大聯大,109/02/10,18:30:30,公告本公司109年1月份自結合併營收
10,3702,大聯大,109/03/02,16:45:50,代子公司大聯大商貿有限公司公告更正109年1月衍生性商品交易 資訊
11,3702,大聯大,109/03/10,14:23:19,公告本公司109年2月份自結合併營收
12,3702,大聯大,109/03/13,15:54:08,代子公司-世平興業(股)公司公告董事會(代行股東會職權)重要 決議事項
13,3702,大聯大,109/03/18,17:28:23,公告本公司108年第四季自結財務報表相關資訊
14,3702,大聯大,109/03/19,17:34:49,代子公司-友尚(股)公司、詮鼎科技(股)公司公告董事會(代行股東 會職權)重要決議事項
15,3702,大聯大,109/03/23,17:52:05,代子公司-品佳(股)公司、凱悌(股)公司公告董事會(代行股東會 職權)重要決議事項
16,3702,大聯大,109/03/23,17:52:28,公告本公司減少持有被控股公司家數
17,3702,大聯大,109/03/24,17:46:30,公告本公司董事會決議召開109年度股東常會
18,3702,大聯大,109/03/30,17:58:01,代子公司-凱悌(股)公司公告董事會(代行股東會職權)重要決議 事項
19,3702,大聯大,109/03/30,17:58:42,代子公司-凱悌(股)公司公告董事會決議股東紅利除息基準日
20,3702,大聯大,109/04/09,21:22:17,公告本公司109年3月份自結合併營收
21,3702,大聯大,109/04/27,18:14:06,公告本公司減少持有被控股公司家數
22,3702,大聯大,109/04/28,20:09:36,公告本公司董事會決議分派普通股股利
23,3702,大聯大,109/04/28,20:10:04,公告本公司董事會決議分派甲種特別股股利
24,3702,大聯大,109/04/28,20:10:37,公告本公司董事會決議修訂109年股東常會召集事由(新增討論 事項)
25,3702,大聯大,109/04/28,20:11:03,代子公司-友尚(股)公司公告指派代理執行長
26,3702,大聯大,109/04/28,20:54:03,本公司董事會決議增資100%轉投資子公司世友投資(股)公司
27,3702,大聯大,109/04/30,20:54:19,代子公司大聯大商貿有限公司公告董事會決議取得使用權資產
28,3702,大聯大,109/05/08,19:19:39,公告本公司109年4月份自結合併營收
29,3702,大聯大,109/05/15,20:16:05,代子公司世友投資(股)公司公告董事會 決議投資新設100%持股之薩摩亞子公司
30,3702,大聯大,109/05/15,20:17:05,代子公司世友投資(股)公司公告董事會決議透由 新設100%持股之薩摩亞子公司轉投資設立100%持股 之香港子公司
31,3702,大聯大,109/05/15,20:17:23,代子公司世友投資(股)公司公告董事會決議透由 新設100%持股之香港子公司轉投資設立100%持股 之東莞子公司
32,3702,大聯大,109/05/15,20:17:42,代子公司世友投資(股)公司公告董事會 決議間接投資大陸新設子公司
33,3702,大聯大,109/05/15,20:17:57,公告本公司增加持有被控股公司家數
34,3702,大聯大,109/05/22,15:07:45,公告本公司受邀參加凱基證券於109年5月27日舉辦之法人說明會相關資訊
35,3702,大聯大,109/05/27,17:53:06,公告本公司受邀參加凱基證券舉辦之法人說明會說明109年第一季 財務報表相關資訊
36,3702,大聯大,109/05/28,17:21:26,公告本公司受邀參加花旗環球證券於5/29所舉辦之Regional Tech Investor Conference 2020
37,3702,大聯大,109/05/28,18:40:37,公告本公司董事會決議通過擬公開收購台驊國際 投資控股股份有限公司普通股
38,3702,大聯大,109/06/10,18:45:02,公告本公司109年5月份自結合併營收
39,3702,大聯大,109/06/15,17:55:29,代子公司-世平興業(股)公司公告董事會(代行股東會職權)重要 決議事項
40,3702,大聯大,109/06/15,17:55:58,代子公司-世平興業(股)公司公告董事會決議股東紅利除權息 基準日
41,3702,大聯大,109/06/15,17:56:12,代子公司-世平興業(股)公司公告董事會決議辦理增資發行新股
42,3702,大聯大,109/06/15,17:56:31,代子公司-世平興業(股)公司公告董事會決議不分派109年 第一季股利
43,3702,大聯大,109/06/18,15:29:38,本公司董事會決議通過公開收購台驊國際投資控股股份有限公司之普通股
44,3702,大聯大,109/06/18,15:31:22,本公司董事會決議通過公開收購台驊國際投資控 股股份有限公司之普通股
45,3702,大聯大,109/06/18,19:02:44,代子公司-友尚(股)公司、富威科技(股)公司、建智(股)公司、 詮鼎科技(股)公司、振遠科技(股)公司公告董事會(代行股東會 職權)重要決議事項
46,3702,大聯大,109/06/18,19:03:07,代子公司-友尚(股)公司、富威科技(股)公司、建智(股)公司、詮 鼎科技(股)公司、振遠科技(股)公司公告董事會決議股東紅利 除權息基準日
47,3702,大聯大,109/06/18,19:03:30,代子公司-詮鼎科技(股)公司公告董事會決議辦理增資發行新股
48,3702,大聯大,109/06/18,19:03:52,代子公司-友尚(股)公司、詮鼎科技(股)公司公告董事會決議 109年第一季股利發放情形
49,3702,大聯大,109/06/18,19:04:13,"代子公司Yosun Hong Kong Corp. Ltd.、Richpower Electronic Devices Co., Ltd.公告例行性股東常會召開日期"
50,3702,大聯大,109/06/18,19:14:07,代子公司-詮鼎科技(股)公司公告董事會決議增資100%轉投資 子公司昱博科技(股)公司
51,3702,大聯大,109/06/23,16:34:13,代子公司-品佳(股)公司公告董事會(代行股東會職權)重要 決議事項
52,3702,大聯大,109/06/23,16:34:32,代子公司-品佳(股)公司公告董事會決議108年第四季股利除權息 基準日及109年第一季股利分派情形
53,3702,大聯大,109/06/23,16:34:52,代子公司-品佳(股)公司公告董事會決議辦理增資發行新股
54,3702,大聯大,109/06/24,19:13:10,公告本公司109年度股東常會重要決議事項
55,3702,大聯大,109/06/24,19:14:17,公告本公司第六屆董事(含獨立董事)名單
56,3702,大聯大,109/06/24,19:14:49,公告本公司109年股東常會通過解除本公司董事競業禁止之限制
57,3702,大聯大,109/06/24,19:15:10,公告本公司董事會選任董事長、副董事長
58,3702,大聯大,109/06/24,19:18:04,公告本公司審計委員會及薪酬委員會成員異動
59,3702,大聯大,109/07/04,12:03:02,本公司董事會決議提高公開收購台驊國際投資控股股份有限公司 普通股之每股收購對價
60,3702,大聯大,109/07/04,12:32:38,補充109年6月18日公告，原公告申報內容變更，綜合考量整體狀 況，擬提高公開收購台驊國際投資控股(股)股份有限公司之每股 收購對價
61,3702,大聯大,109/07/06,11:31:43,公開收購人變更公開收購台驊國際投資控股股份有限公司普通股之收購條件
62,3702,大聯大,109/07/06,16:52:55,代子公司大聯大商貿(深圳)有限公司公告更正109年4月衍生性商 品交易資訊
63,3702,大聯大,109/07/08,10:05:46,本公司公開收購台驊國際投資控股股份有限公司普通股，公開收購條件已成就
64,3702,大聯大,109/07/09,06:51:39,本公司公開收購台驊國際投資控股股份有限公司普通股之公開收購期間屆滿
65,3702,大聯大,109/07/09,19:30:20,公告本公司109年6月份自結合併營收
66,3702,大聯大,109/07/10,18:36:56,代子公司WPG ELECTRONICS (HK) LIMITED公告董事會 決議取得設備暨系統
67,3702,大聯大,109/07/13,10:42:28,公告本公司公開收購台驊國際投資控股股份有限公司普通股，本次收購對價 已匯入受委任機構凱基證券股份有限公司名下之公開收購專戶
68,3702,大聯大,109/07/15,15:11:56,公告本公司公開收購取得台驊國際投資控股(股)公司 普通股股權(補充109/06/18、07/04公告)
69,3702,大聯大,109/07/16,14:29:28,公告本公司109年度現金股利/股息配發基準日
70,3702,大聯大,109/07/23,15:16:17,"代子公司-Yosun Hong Kong Corp. Ltd.、Richpower Electronic Devices Co., Ltd.公告例行性股東常會重要決議事項"
71,3702,大聯大,109/08/10,18:14:22,公告本公司109年7月份自結合併營收
72,3702,大聯大,109/08/11,17:59:09,公告本公司受邀參加凱基證券於109年8月18日舉辦之法人說明會相關資訊
73,3702,大聯大,109/08/11,17:59:22,公告本公司執行長異動
74,3702,大聯大,109/08/11,20:57:26,公告本公司執行長委任案
75,3702,大聯大,109/08/13,19:39:38,公告本公司109年第二季財務報表相關資訊
76,3702,大聯大,109/09/08,17:02:59,代子公司WPG INTERNATIONAL (HONG KONG) LIMITED、WPI INTERNATIONAL (HONG KONG) LIMITED公告例行性股東常會召開日 期
77,3702,大聯大,109/09/08,17:03:25,公告本公司將於9/10參加國泰證券所舉辦之國泰證券第三季論壇
78,3702,大聯大,109/09/10,16:06:48,公告本公司109年8月份自結合併營收
79,3702,大聯大,109/09/14,17:11:53,代子公司-世平興業(股)公司公告董事會決議不分派109年第二季 股利
80,3702,大聯大,109/09/15,18:05:11,代子公司-品佳(股)公司公告董事會(代行股東會職權)重要決議事 項
81,3702,大聯大,109/09/15,18:05:51,代子公司-品佳(股)公司公告董事會決議不分派109年第二季股利
82,3702,大聯大,109/09/17,17:51:56,代子公司-建智(股)公司、富威科技(股)公司、友尚(股)公司 公告董事會(代行股東會職權)重要決議事項
83,3702,大聯大,109/09/17,17:52:10,代子公司-友尚(股)公司、詮鼎科技(股)公司公告董事會決議不分 派109年第二季股利
84,3702,大聯大,109/09/18,22:41:52,代子公司-建智(股)公司、富威科技(股)公司、友尚(股)公司公告 董事會(代行股東會職權)重要決議事項(日期誤植更正公告)
85,3702,大聯大,109/09/18,22:42:09,代子公司-友尚(股)公司、詮鼎科技(股)公司公告董事會決議不分 派109年第二季股利(日期誤植更正公告)
86,3702,大聯大,109/09/19,19:02:22,公告本公司董事會決議取得文曄(股)公司甲種特別股
87,3702,大聯大,109/09/19,19:03:44,公告本公司董事會通過辦理現金增資發行乙種特別股
88,3702,大聯大,109/09/21,15:07:11,公告本公司減少持有被控股公司家數
89,3702,大聯大,109/09/26,16:41:50,代子公司-品佳(股)公司公告更正109年8月衍生性商品交易資訊
90,3702,大聯大,109/09/30,16:51:01,代子公司-WPG INTERNATIONAL (HONG KONG) LIMITED、WPI INTERNATIONAL (HONG KONG) LIMITED公告例行性股東常會重要決 議事項
91,3702,大聯大,109/10/12,15:53:49,公告本公司109年9月份自結合併營收
